timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
49,3394,1,20160101,20190101,1,1,1,1,1,0,0,B-V Link Barstow-Victorville,Year-round calendar (Monday-Friday),Southbound,horizontal
50,3398,0,20160101,20190101,0,0,0,0,0,1,0,B-V Link Victorville-San Bernardino,Year-round calendar (Saturday only),Northbound,horizontal
51,3398,0,20160101,20190101,1,1,1,1,1,0,0,B-V Link Victorville-San Bernardino,Year-round calendar (Monday-Friday),Northbound,horizontal
52,3398,1,20160101,20190101,0,0,0,0,0,1,0,B-V Link Victorville-San Bernardino,Year-round calendar (Saturday only),Southbound,horizontal
53,3398,1,20160101,20190101,1,1,1,1,1,0,0,B-V Link Victorville-San Bernardino,Year-round calendar (Monday-Friday),Southbound,horizontal
54,5136,0,20160101,20180101,0,0,0,0,0,1,1,Central Barstow,Year Round (Weekend),Westbound,horizontal
55,5136,0,20160101,20180101,1,1,1,1,1,0,0,Central Barstow,Year Round (Monday-Friday),Westbound,horizontal
56,5136,1,20160101,20180101,0,0,0,0,0,1,1,Central Barstow,Year Round (Weekend),Eastbound,horizontal
57,5136,1,20160101,20180101,1,1,1,1,1,0,0,Central Barstow,Year Round (Monday-Friday),Eastbound,horizontal
58,3406,0,20160101,20190101,1,1,1,1,0,0,0,Express VV to VVC,Year-round calendar (Monday-Thursday),Northbound,horizontal
59,3406,1,20160101,20190101,1,1,1,1,0,0,0,Express VV to VVC,Year-round calendar (Monday-Thursday),Southbound,horizontal
60,3390,0,20160101,20190101,0,0,0,0,0,0,1,Hesperia Post Office - Super Target - DISCONTINUED,Year-round calendar (Sunday only),Eastbound,horizontal
61,3390,0,20160101,20190101,0,0,0,0,0,1,0,Hesperia Post Office - Super Target - DISCONTINUED,Year-round calendar (Saturday only),Eastbound,horizontal
62,3390,0,20160101,20190101,1,1,1,1,1,0,0,Hesperia Post Office - Super Target - DISCONTINUED,Year-round calendar (Monday-Friday),Eastbound,horizontal
63,3390,1,20160101,20190101,0,0,0,0,0,0,1,Hesperia Post Office - Super Target - DISCONTINUED,Year-round calendar (Sunday only),Westbound,horizontal
64,3390,1,20160101,20190101,0,0,0,0,0,1,0,Hesperia Post Office - Super Target - DISCONTINUED,Year-round calendar (Saturday only),Westbound,horizontal
65,3390,1,20160101,20190101,1,1,1,1,1,0,0,Hesperia Post Office - Super Target - DISCONTINUED,Year-round calendar (Monday-Friday),Westbound,horizontal
66,3388,,20160101,20190101,0,0,0,0,0,0,1,Hesperia Route Deviation,Year-round calendar (Sunday only),,horizontal
67,3388,,20160101,20190101,0,0,0,0,0,1,0,Hesperia Route Deviation,Year-round calendar (Saturday only),,horizontal
68,3388,,20160101,20190101,1,1,1,1,1,0,0,Hesperia Route Deviation,Year-round calendar (Monday-Friday),,horizontal
69,7122,,20160101,20190101,0,0,0,0,0,0,1,Hesperia - Victor Valley Mall,Year-round calendar (Sunday only),,horizontal
70,7122,,20160101,20190101,0,0,0,0,0,1,0,Hesperia - Victor Valley Mall,Year-round calendar (Saturday only),,horizontal
71,7122,,20160101,20190101,1,1,1,1,1,0,0,Hesperia - Victor Valley Mall,Year-round calendar (Monday-Friday),,horizontal
72,3393,,20160101,20190101,0,0,0,0,0,0,1,Hwy 395-Palmdale - Victor Valley Mall,Year-round calendar (Sunday only),,horizontal
73,3393,,20160101,20190101,0,0,0,0,0,1,0,Hwy 395-Palmdale - Victor Valley Mall,Year-round calendar (Saturday only),,horizontal
74,3393,,20160101,20190101,1,1,1,1,1,0,0,Hwy 395-Palmdale - Victor Valley Mall,Year-round calendar (Monday-Friday),,horizontal
75,3386,0,20160101,20190101,0,0,0,0,0,0,1,Lorene-7th - Apple Valley Post Office,Year-round calendar (Sunday only),Eastbound,horizontal
76,3386,0,20160101,20190101,0,0,0,0,0,1,0,Lorene-7th - Apple Valley Post Office,Year-round calendar (Saturday only),Eastbound,horizontal
77,3386,0,20160101,20190101,1,1,1,1,1,0,0,Lorene-7th - Apple Valley Post Office,Year-round calendar (Monday-Friday),Eastbound,horizontal
78,3386,1,20160101,20190101,0,0,0,0,0,0,1,Lorene-7th - Apple Valley Post Office,Year-round calendar (Sunday only),Westbound,horizontal
79,3386,1,20160101,20190101,0,0,0,0,0,1,0,Lorene-7th - Apple Valley Post Office,Year-round calendar (Saturday only),Westbound,horizontal
80,3386,1,20160101,20190101,1,1,1,1,1,0,0,Lorene-7th - Apple Valley Post Office,Year-round calendar (Monday-Friday),Westbound,horizontal
81,3397,0,20160101,20190101,0,0,0,0,0,0,1,Lorene-7th - Victor Valley College,Year-round calendar (Sunday only),Northbound,horizontal
82,3397,0,20160101,20190101,0,0,0,0,0,1,0,Lorene-7th - Victor Valley College,Year-round calendar (Saturday only),Northbound,horizontal
83,3397,0,20160101,20190101,1,1,1,1,1,0,0,Lorene-7th - Victor Valley College,Year-round calendar (Monday-Friday),Northbound,horizontal
84,3397,1,20160101,20190101,0,0,0,0,0,0,1,Lorene-7th - Victor Valley College,Year-round calendar (Sunday only),Southbound,horizontal
85,3397,1,20160101,20190101,0,0,0,0,0,1,0,Lorene-7th - Victor Valley College,Year-round calendar (Saturday only),Southbound,horizontal
86,3397,1,20160101,20190101,1,1,1,1,1,0,0,Lorene-7th - Victor Valley College,Year-round calendar (Monday-Friday),Southbound,horizontal
87,3391,,20160101,20190101,0,0,0,0,0,0,1,Lorene-7th - Victor Valley Hospital,Year-round calendar (Sunday only),,horizontal
88,3391,,20160101,20190101,0,0,0,0,0,1,0,Lorene-7th - Victor Valley Hospital,Year-round calendar (Saturday only),,horizontal
89,3391,,20160101,20190101,1,1,1,1,1,0,0,Lorene-7th - Victor Valley Hospital,Year-round calendar (Monday-Friday),,horizontal
90,3395,0,20160101,20190101,0,0,0,0,0,0,1,Lorene-7th - Victor Valley Mall,Year-round calendar (Sunday only),Northbound,horizontal
91,3395,0,20160101,20190101,0,0,0,0,0,1,0,Lorene-7th - Victor Valley Mall,Year-round calendar (Saturday only),Northbound,horizontal
92,3395,0,20160101,20190101,1,1,1,1,1,0,0,Lorene-7th - Victor Valley Mall,Year-round calendar (Monday-Friday),Northbound,horizontal
93,3395,1,20160101,20190101,0,0,0,0,0,0,1,Lorene-7th - Victor Valley Mall,Year-round calendar (Sunday only),Southbound,horizontal
94,3395,1,20160101,20190101,0,0,0,0,0,1,0,Lorene-7th - Victor Valley Mall,Year-round calendar (Saturday only),Southbound,horizontal
95,3395,1,20160101,20190101,1,1,1,1,1,0,0,Lorene-7th - Victor Valley Mall,Year-round calendar (Monday-Friday),Southbound,horizontal
96,7106,0,20160101,20190101,0,0,0,0,1,0,0,Needles Link,Year-round calendar (Friday only),Eastbound,horizontal
97,7106,1,20160101,20190101,0,0,0,0,1,0,0,Needles Link,Year-round calendar (Friday only),Westbound,horizontal
98,7121,,20160101,20190101,0,0,0,0,0,1,1,Newberry Springs - Barsrtow,Year-round calendar (Weekend),,horizontal
99,7121,,20160101,20190101,1,1,1,1,1,0,0,Newberry Springs - Barsrtow,Year-round calendar (Monday-Friday),,horizontal
100,3399,0,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Northbound,horizontal
101,3399,1,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Southbound,horizontal
102,3400,0,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Northbound,horizontal
103,3400,1,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Southbound,horizontal
104,3401,0,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Northbound,horizontal
105,3401,1,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Southbound,horizontal
106,3402,0,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Northbound,horizontal
107,3402,1,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Southbound,horizontal
108,3403,0,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Northbound,horizontal
109,3403,1,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Southbound,horizontal
110,3404,0,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Northbound,horizontal
111,3404,1,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Southbound,horizontal
112,3405,0,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Northbound,horizontal
113,3405,1,20160101,20190101,1,1,1,1,1,0,0,NTC Commuter,Year-round calendar (Monday-Friday),Southbound,horizontal
114,5797,0,20160101,20190101,0,0,0,0,0,0,1,Oak Hills - Hesperia,Year-round calendar (Sunday only),Direction A,horizontal
115,5797,0,20160101,20190101,0,0,0,0,0,1,0,Oak Hills - Hesperia,Year-round calendar (Saturday only),Direction A,horizontal
116,5797,0,20160101,20190101,1,1,1,1,1,0,0,Oak Hills - Hesperia,Year-round calendar (Monday-Friday),Direction A,horizontal
117,5797,1,20160101,20190101,0,0,0,0,0,0,1,Oak Hills - Hesperia,Year-round calendar (Sunday only),Direction B,horizontal
118,5797,1,20160101,20190101,0,0,0,0,0,1,0,Oak Hills - Hesperia,Year-round calendar (Saturday only),Direction B,horizontal
119,5797,1,20160101,20190101,1,1,1,1,1,0,0,Oak Hills - Hesperia,Year-round calendar (Monday-Friday),Direction B,horizontal
120,3396,0,20160101,20190101,0,0,0,0,0,1,0,Tri-Community Dar - DISCONTINUED,Year-round calendar (Saturday only),Northbound,horizontal
121,3396,0,20160101,20190101,1,1,1,1,1,0,0,Tri-Community Dar - DISCONTINUED,Year-round calendar (Monday-Friday),Northbound,horizontal
122,3396,1,20160101,20190101,0,0,0,0,0,1,0,Tri-Community Dar - DISCONTINUED,Year-round calendar (Saturday only),Southbound,horizontal
123,3396,1,20160101,20190101,1,1,1,1,1,0,0,Tri-Community Dar - DISCONTINUED,Year-round calendar (Monday-Friday),Southbound,horizontal
124,3380,0,20160101,20190101,0,0,0,0,0,0,1,Victor Valley Mall - Hesperia Po - DISCONTINUED,Year-round calendar (Sunday only),Northbound,horizontal
125,3380,0,20160101,20190101,0,0,0,0,0,1,0,Victor Valley Mall - Hesperia Po - DISCONTINUED,Year-round calendar (Saturday only),Northbound,horizontal
126,3380,0,20160101,20190101,1,1,1,1,1,0,0,Victor Valley Mall - Hesperia Po - DISCONTINUED,Year-round calendar (Monday-Friday),Northbound,horizontal
127,3380,1,20160101,20190101,0,0,0,0,0,0,1,Victor Valley Mall - Hesperia Po - DISCONTINUED,Year-round calendar (Sunday only),Southbound,horizontal
128,3380,1,20160101,20190101,0,0,0,0,0,1,0,Victor Valley Mall - Hesperia Po - DISCONTINUED,Year-round calendar (Saturday only),Southbound,horizontal
129,3380,1,20160101,20190101,1,1,1,1,1,0,0,Victor Valley Mall - Hesperia Po - DISCONTINUED,Year-round calendar (Monday-Friday),Southbound,horizontal
130,3392,0,20160101,20190101,0,0,0,0,0,0,1,Victor Valley Mall - Vv College,Year-round calendar (Sunday only),Eastbound,horizontal
131,3392,0,20160101,20190101,0,0,0,0,0,1,0,Victor Valley Mall - Vv College,Year-round calendar (Saturday only),Eastbound,horizontal
132,3392,0,20160101,20190101,1,1,1,1,1,0,0,Victor Valley Mall - Vv College,Year-round calendar (Monday-Friday),Eastbound,horizontal
133,3392,1,20160101,20190101,0,0,0,0,0,0,1,Victor Valley Mall - Vv College,Year-round calendar (Sunday only),Westbound,horizontal
134,3392,1,20160101,20190101,0,0,0,0,0,1,0,Victor Valley Mall - Vv College,Year-round calendar (Saturday only),Westbound,horizontal
135,3392,1,20160101,20190101,1,1,1,1,1,0,0,Victor Valley Mall - Vv College,Year-round calendar (Monday-Friday),Westbound,horizontal
136,7145,0,20160101,20190101,1,1,1,1,1,0,0,Victor Valley Mall - Wrightwood,Year-round calendar (Monday-Friday),Eastbound,horizontal
