stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
34.077412,,-117.470969,,5853,San Bernardino Av Beech Av,San Bernardino @ Beech Eb Fs,0
34.075484,,-117.370436,,6727,S Riverside Av E San Bernardino Av,Riverside @ Senior Way Sb Ns,0
34.077502,,-117.449048,,5858,San Bernardino Av Citrus Av,San Bernardino @ Oleander Eb Ns,0
34.077506,,-117.444255,,5859,San Bernardino Av Chantry Av,San Bernardino @ Cypress Eb Fs,0
34.077206,,-117.370349,,6726,S Riverside Av E San Bernardino Av,Riverside @ San Bernardino Sb Fs,0
34.081241,,-117.370352,,6725,S Riverside Av Unnamed St,Riverside @ Randall Sb Mid,0
34.084605,,-117.370399,,6724,S Riverside Ave S E Randall Ave S,Riverside @ Randall Sb Fs,0
34.116134,,-117.173672,,6581,Church St Water St,Church @ River Oak Nb Fs,0
34.133119,,-117.435961,,7993,Sierra Av S Highland Av,Sierra @ Highland Nb Ns,0
34.128834,,-117.435939,,7992,Sierra Av Walnut St,Sierra @ Walnut Nb Fs,0
34.121162,,-117.20882,,6584,Palm Av Baseline St,Palm @ Baseline Sb Fs,0
34.092977,,-117.333513,,7880,S Rancho Av W Mill St,Rancho @ Mills Nb Fs,0
34.155272,,-117.337434,,7883,Nolan St W Kern St,Nolan @ Kern,0
34.119782,,-117.3225,,7882,N Medical Center Dr W 11th St,Medical Center @ 11thst,0
34.121395,,-117.343937,,7885,W Baseline St N Lassen St,Baseline @ Lassen Wb Ns,0
34.121251,,-117.285428,,7884,W Baseline St E Baseline St,Baseline @ Sierra Way Eb Ns,0
34.092212,,-117.4178,,7886,Merrill Av Alder Av,Merril @ Alder Wb Ns,0
34.10853,,-117.217477,,6588,Central Av 5th St,Central @ 5th Nb Fs,0
34.138784,,-117.442575,,7995,Sierra Lakes Pkwy Tiburon Wy,Sierra Lakes @ Tiburon Wb Fs,0
34.055572,,-117.172136,,8096,E Citrus Av N Church St,Redlands High School,0
34.139594,,-117.436252,,7994,Sierra Lakes Pkwy Sierra Av,Sierra Lakes @ Sierra Wb Fs,0
