realtime_trip_id,trip_id
t1AC-sl17-p5D6-r58,t_161815_b_6375_tn_1
t37A-sl17-p5D7-r59,t_161815_b_6375_tn_2
t484-sl17-p5D7-r59,t_161840_b_6375_tn_6
t1AF-sl17-p5D7-r5B,t_161840_b_6375_tn_1
t6BD-sl17-p5D7-r5C,t_197149_b_6375_tn_0
t489-sl17-p5D7-r5E,t_197150_b_6375_tn_0
t48A-sl17-p5D7-rAE,t_197151_b_6375_tn_0
t1B0-sl17-p610-r58,t_161833_b_6375_tn_2
t1B1-sl17-p610-r59,t_161840_b_6375_tn_2
t482-sl17-p610-r59,t_161840_b_6375_tn_4
t1AE-sl17-p610-r5A,t_161833_b_6375_tn_1
t481-sl17-p610-r5B,t_161840_b_6375_tn_3
t483-sl17-p610-r5B,t_161840_b_6375_tn_5
t1B7-sl17-p611-r5E,t_161836_b_6375_tn_1
t1BA-sl17-p611-r5E,t_161836_b_6375_tn_2
t1BB-sl17-p612-rAE,t_197148_b_6375_tn_0
t683-sl17-p58D-r5E,t_14327_b_6375_tn_0
t45-sl15-pCB-r9B,t_14140_b_6375_tn_0
t69E-sl17-p5B0-r5,t_161844_b_6375_tn_0
t45-sl26-p5BF-r9B,t_199632_b_none_tn_0
tDD-sl15-pF0-r77,t_14317_b_6375_tn_0
tDD-sl26-p5C7-r77,t_199659_b_none_tn_0
t5C9-sl17-p57E-r57,t_76390_b_6375_tn_1
t5CA-sl17-p57E-r57,t_76390_b_6375_tn_2
t5CB-sl17-p57E-r57,t_76390_b_6375_tn_3
t5CC-sl17-p58A-r9A,t_76361_b_6375_tn_1
t5CD-sl17-p58A-r9A,t_76361_b_6375_tn_2
t5CE-sl17-p58A-r9A,t_76361_b_6375_tn_3
t5C9-sl26-p5D2-r57,t_199826_b_none_tn_1
t5CA-sl26-p5D2-r57,t_199826_b_none_tn_2
t5CB-sl26-p5D2-r57,t_199826_b_none_tn_3
t5CC-sl26-p5D3-r9A,t_199827_b_none_tn_1
t5CD-sl26-p5D3-r9A,t_199827_b_none_tn_2
t5CE-sl26-p5D3-r9A,t_199827_b_none_tn_3
t50D-sl26-p5DF-r6F,t_199711_b_none_tn_1
t50E-sl26-p5DF-rB7,t_199711_b_none_tn_2
t50F-sl26-p5E0-r6F,t_199688_b_none_tn_1
t515-sl26-p5E0-r6F,t_199688_b_none_tn_7
