timetable_id,stop_id,stop_sequence,stop_name,connected_routes
26,12222,16,Walton Ave. and Joseph Street,5/Southwest Yuba City
26,12221,17,Walton Ave. and Lincoln Road,5/Southwest Yuba City
26,12220,18,Walton Ave. and McCune Avenue,5/Southwest Yuba City
26,12218,19,Walton Ave. and Cherry Street,5/Southwest Yuba City
26,12216,20,Walton Ave. and Camino Del Flores,5/Southwest Yuba City
26,12213,21,Franklin Road and Walton Ave.,5/Southwest Yuba City
26,12212,22,Franklin Road and Winco Foods,5/Southwest Yuba City
26,12434,23,Bridge St and ToysRUs,"2A/Yuba City Loop, 5/Southwest Yuba City"
26,12208,24,Bridge Street and JoAnn Way,"2A/Yuba City Loop, 5/Southwest Yuba City"
26,12209,25,Walton Ave. and Bridge St.,"2A/Yuba City Loop, 5/Southwest Yuba City"
26,12143,26,Lassen Boulevard and Walton Avenue,"1/Yuba City to Yuba College, 5/Southwest Yuba City"
26,12144,27,Lassen Boulevard and Tharp Rd.,"1/Yuba City to Yuba College, 5/Southwest Yuba City"
26,12145,28,Lassen Boulevard and Klamath,"1/Yuba City to Yuba College, 5/Southwest Yuba City"
26,12146,29,Harter Road and Spirit Way,"1/Yuba City to Yuba College, 5/Southwest Yuba City"
26,12147,30,Harter Road and Yuba City Marketplace,"1/Yuba City to Yuba College, 5/Southwest Yuba City"
26,12148,31,Butte House Road and Harter Road ,"1/Yuba City to Yuba College, 5/Southwest Yuba City"
26,12149,32,Butte House Rd. and Tharp Rd.,"1/Yuba City to Yuba College, 5/Southwest Yuba City"
26,12150,33,Stabler Ln. and Butte House Rd.,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
26,12152,34,Stabler Ln. and Starr Drive,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
26,12433,35,Walton Terminal Sam's Club,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
27,758939,1,Yuba Co. Government Center and I & 9th Streets,"1/Yuba City to Yuba College, /Foothill Route, /Live Oak Route, /Wheatland Route"
27,12322,2,North Beale Road and SouthSide,"1/Yuba City to Yuba College, 3/Olivehurst to Yuba College, 4A/Marysville Loop, 4B/Marysville Loop, 6/Linda Shuttle, /Wheatland Route"
27,12419,3,Spruce Avenue and Evergreen Drive,/Wheatland Route
27,12420,4,Highway 65 and Third Street,/Wheatland Route
27,12421,5,Main Street and C Street,/Wheatland Route
27,12422,6,Anderson Way and McCurry St. (Wheatland Ranch),/Wheatland Route
27,12423,7,Donner Trail Manor and 121 C Street (in office parking lot),/Wheatland Route
28,12419,1,Spruce Avenue and Evergreen Drive,/Wheatland Route
28,12420,2,Highway 65 and Third Street,/Wheatland Route
28,12421,3,Main Street and C Street,/Wheatland Route
28,12422,4,Anderson Way and McCurry St. (Wheatland Ranch),/Wheatland Route
28,12423,5,Donner Trail Manor and 121 C Street (in office parking lot),/Wheatland Route
28,12321,6,North Beale Road and Wal-Mart,"1/Yuba City to Yuba College, 3/Olivehurst to Yuba College, 4A/Marysville Loop, 4B/Marysville Loop, 6/Linda Shuttle, /Wheatland Route"
28,758939,7,Yuba Co. Government Center and I & 9th Streets,"1/Yuba City to Yuba College, /Foothill Route, /Live Oak Route, /Wheatland Route"
29,14926,1,Walton Ave & Sam's Club Entrance (NB),"2A/Yuba City Loop, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
29,12153,2,Stabler Ln. and Starr Drive,2A/Yuba City Loop
29,12151,3,Butte House Rd. and Stabler Ln. (Rite-Aid),"1/Yuba City to Yuba College, 2A/Yuba City Loop"
29,12154,4,Butte House Rd. and Civic Center Blvd.,"1/Yuba City to Yuba College, 2A/Yuba City Loop"
