stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3116,1,3RD ST & CARROLL AVE   , ,37.7253,-122.3942, , 
3122,1,3RD ST & EVANS AVE   , ,37.742682,-122.387908, , 
3123,1,3RD ST & EVANS AVE  , ,37.74244,-122.38815, , 
3124,1,3RD ST & FOLSOM ST   , ,37.784204,-122.399326, , 
3127,1,3RD ST & HUDSON AVE   , ,37.74012,-122.3887, , 
3128,1,3RD ST & HOWARD ST   , ,37.784945,-122.400254, , 
3129,1,3RD ST & INNES AVE   , ,37.73932,-122.38926, , 
3134,1,3RD ST & LA SALLE AVE   , ,37.737213,-122.389803, , 
3135,1,3RD ST & KIRKWOOD AVE, ,37.737927,-122.389619, , 
3136,1,3RD ST & STEVENSON ST, ,37.786373,-122.40211, , 
3141,1,3RD ST & PALOU AVE   , ,37.734091,-122.390928, , 
3143,1,3RD ST & OAKDALE AVE, ,37.734787,-122.390721, , 
3144,1,3RD ST & PERRY ST   , ,37.782106,-122.396805, , 
3145,1,3RD ST & REVERE AVE   , ,37.73225,-122.39146, , 
3146,1,3RD ST & SALINAS AVE  , ,37.72078,-122.39649, , 
3149,1,3RD ST & VAN DYKE AVE   , ,37.729238,-122.392593, , 
3150,1,3RD ST & WILLIAMS AVE  , ,37.729166,-122.392776, , 
3153,1,4TH ST & 3RD ST   , ,37.772966,-122.389694, , 
3161,1,4TH ST & MARKET ST   , ,37.785527,-122.405675, , 
3163,1,4TH ST & TOWNSEND ST   , ,37.777109,-122.395135, , 
3164,1,4TH ST & TOWNSEND ST, ,37.776894,-122.394895, , 
3166,1,5TH ST & BRANNAN ST   , ,37.77654,-122.39857, , 
3168,1,5TH ST & FOLSOM ST   , ,37.78031,-122.40357, , 
3170,1,5TH ST & HOWARD ST   , ,37.78145,-122.40475, , 
3171,1,5TH ST & HOWARD ST   , ,37.78123,-122.40474, , 
3172,1,5TH ST & MISSION ST   , ,37.78296,-122.40665, , 
3173,1,5TH ST & MISSION ST   , ,37.78277,-122.40665, , 
3174,1,5TH ST & TOWNSEND ST   , ,37.77549,-122.39716, , 
3177,1,6TH AVE & BALBOA ST  , ,37.777146,-122.463918, , 
3178,1,6TH AVE & BALBOA ST  , ,37.776985,-122.46409, , 
