stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0430,0430,Carmel Valley Rd / Meadows,,36.531995,-121.840916,,,0,
0432,0432,Carmel Valley Rd / All Saints School,,36.530896,-121.83455,,,0,
0434,0434,Carmel Valley Rd / Carmel Valley Manor,,36.529407,-121.825912,,,0,
0435,0435,Carmel Valley Rd / 8940 Carmel Valley Rd,,36.52884,-121.820042,,,0,
0436,0436,Carmel Valley Rd / Loma Del Rey,,36.526668,-121.816597,,,0,
0438,0438,Carmel Valley Rd / Mid Valley Center,,36.522831,-121.809211,,,0,
0440,0440,Carmel Valley Rd / Scarlett Road,,36.517965,-121.784319,,,0,
0441,0441,Carmel Valley Rd / Equestrian Center,,36.502524,-121.758594,,,0,
0442,0442,Carmel Valley Rd /  Garland Ranch,,36.510098,-121.767462,,,0,
0444,0444,Carmel Valley Rd / Laureles Grade,,36.500134,-121.755467,,,0,
0446,0446,Carmel Valley Rd / Boronda,,36.493827,-121.746292,,,0,
0447,0447,Carmel Valley Rd / Ford,,36.483104,-121.73779,,,0,
0448,0448,Carmel Valley Rd / Via Contenta,,36.477935,-121.728849,,,0,
0451,0451,Del Fino Pl / Carmel Valley Rd,,36.480304,-121.732915,,,0,
0452,0452,Rippling River / Carmel Valley Rd,,36.476153,-121.725378,,,0,
0453,0453,Carmel Valley Rd / Ford Road,,36.48289,-121.737719,,,0,
0455,0455,Carmel Valley Rd /  Boronda,,36.493527,-121.745849,,,0,
0457,0457,Carmel Valley Rd / Laureles Grade,,36.501164,-121.756803,,,0,
0458,0458,Carmel Valley Rd / Equestrian Center,,36.503771,-121.759893,,,0,
0459,0459,Carmel Valley Rd / Garland Ranch,,36.510215,-121.767292,,,0,
0461,0461,Carmel Valley Rd / Scarlett Road,,36.517884,-121.783883,,,0,
0463,0463,Carmel Valley Rd / Tierra Grande,,36.524121,-121.810816,,,0,
0465,0465,Carmel Valley Rd / Loma Del Rey,,36.527251,-121.81699,,,0,
0466,0466,Carmel Valley Rd / 8941 Carmel Valley Rd,,36.528936,-121.819964,,,0,
0467,0467,Carmel Valley Rd / Los Arboles Drive,,36.529761,-121.826864,,,0,
0469,0469,Carmel Valley Rd / All Saints School,,36.531121,-121.834965,,,0,
0471,0471,Carmel Valley Rd / Meadows Road,,36.532207,-121.841401,,,0,
0473,0473,Carmel Valley Rd / Valley Green,,36.534142,-121.850131,,,0,
0475,0475,Carmel Valley Rd / Brookdale,,36.536304,-121.858477,,,0,
0477,0477,Carmel Valley Rd / Canada Way,,36.540065,-121.864919,,,0,
0478,0478,Carmel Valley Rd / Congregation Beth Israel,,36.540628,-121.875256,,,0,
0479,0479,Carmel Valley Rd / Via Petra,,36.541467,-121.87856,,,0,
0480,0480,Pacific Meadows Ln / Pacific Meadows,,36.546541,-121.877718,,,0,
0481,0481,Carmel Valley Rd / Via Mallorca,,36.54198,-121.880572,,,0,
0483,0483,Carmel Valley Rd / Rancho Canada,,36.543098,-121.892765,,,0,
0485,0485,Carmel Valley Rd / Rio Vista,,36.544151,-121.899208,,,0,
0487,0487,Carmel Rancho Blvd / Carmel Rancho Center,,36.541791,-121.904966,,,0,
0489,0489,Carmel Rancho Blvd / # 26378,,36.540221,-121.90498,,,0,
0490,0490,Del Mesa Drive / Del Mesa,,36.544168,-121.872151,,,0,
0491,0491,Carmel Rancho Blvd / Rio Road,,36.538792,-121.904969,,,0,
0495,0495,Ocean /  Santa Fe,,36.555116,-121.918173,,,0,
0496,0496,Carpenter / 6th Ave,,36.55585,-121.915593,,,0,
0497,0497,Carpenter / 4th Ave,,36.558342,-121.915636,,,0,
0498,0498,Carpenter / 2nd Ave,,36.560528,-121.915656,,,0,
0499,0499,Carpenter / Valley Way,,36.563433,-121.915264,,,0,
0504,0504,Carmelo / Ocean Ave,,36.554685,-121.927026,,,0,
0507,0507,Carmelo / 9th Ave,,36.551232,-121.926975,,,0,
0509,0509,Carmelo / 11th Ave,,36.548743,-121.926969,,,0,
