trip_id,stop_id
9673940-124-A-Weekday-55,315608
9673940-124-A-Weekday-55,315003
9673940-124-A-Weekday-55,315035
9673940-124-A-Weekday-55,315033
9673940-124-A-Weekday-55,315617
9673940-124-A-Weekday-55,315614
9673940-124-A-Weekday-55,315040
9673940-124-A-Weekday-55,315609
9673940-124-A-Weekday-55,314012
9673940-124-A-Weekday-55,314002
9673940-124-A-Weekday-55,314901
9673940-124-A-Weekday-55,313011
9673940-124-A-Weekday-55,313604
9673940-124-A-Weekday-55,312009
9673940-124-A-Weekday-55,311106
9673941-124-A-Weekday-55,315608
9673941-124-A-Weekday-55,315467
9673941-124-A-Weekday-55,315003
9673941-124-A-Weekday-55,315035
9673941-124-A-Weekday-55,315033
9673941-124-A-Weekday-55,315617
9673941-124-A-Weekday-55,315614
9673941-124-A-Weekday-55,315040
9673941-124-A-Weekday-55,315609
9673941-124-A-Weekday-55,314012
9673941-124-A-Weekday-55,314002
9673941-124-A-Weekday-55,314901
9673941-124-A-Weekday-55,313011
9673941-124-A-Weekday-55,313604
9673941-124-A-Weekday-55,312009
9673941-124-A-Weekday-55,311106
9673942-124-A-Weekday-55,315608
9673942-124-A-Weekday-55,315003
9673942-124-A-Weekday-55,315035
9673942-124-A-Weekday-55,315033
9673942-124-A-Weekday-55,315617
9673942-124-A-Weekday-55,315614
9673942-124-A-Weekday-55,315040
9673942-124-A-Weekday-55,315609
9673942-124-A-Weekday-55,314012
9673942-124-A-Weekday-55,314002
9673942-124-A-Weekday-55,314901
9673942-124-A-Weekday-55,313011
9673942-124-A-Weekday-55,313604
9673942-124-A-Weekday-55,312009
9673942-124-A-Weekday-55,311106
9673943-124-A-Weekday-55,315614
9673943-124-A-Weekday-55,315040
9673943-124-A-Weekday-55,315609
9673943-124-A-Weekday-55,314012
9673943-124-A-Weekday-55,314002
9673943-124-A-Weekday-55,314901
9673943-124-A-Weekday-55,313011
9673943-124-A-Weekday-55,313604
9673943-124-A-Weekday-55,312009
9673943-124-A-Weekday-55,311106
9673944-124-A-Weekday-55,316005
9673944-124-A-Weekday-55,316903
9673944-124-A-Weekday-55,315608
9673944-124-A-Weekday-55,315003
9673944-124-A-Weekday-55,315035
9673944-124-A-Weekday-55,315033
9673944-124-A-Weekday-55,315617
9673944-124-A-Weekday-55,315614
9673944-124-A-Weekday-55,315040
9673944-124-A-Weekday-55,315609
9673944-124-A-Weekday-55,314012
9673944-124-A-Weekday-55,314002
9673944-124-A-Weekday-55,314901
9673944-124-A-Weekday-55,313011
9673944-124-A-Weekday-55,313604
9673944-124-A-Weekday-55,312009
9673944-124-A-Weekday-55,311106
9673945-124-A-Weekday-55,315608
9673945-124-A-Weekday-55,315467
9673945-124-A-Weekday-55,315003
9673945-124-A-Weekday-55,315035
9673945-124-A-Weekday-55,315033
9673945-124-A-Weekday-55,315617
9673945-124-A-Weekday-55,315614
9673945-124-A-Weekday-55,315040
9673945-124-A-Weekday-55,315609
9673945-124-A-Weekday-55,314012
9673945-124-A-Weekday-55,314002
9673945-124-A-Weekday-55,314901
9673945-124-A-Weekday-55,313011
9673945-124-A-Weekday-55,313604
9673945-124-A-Weekday-55,312009
9673945-124-A-Weekday-55,311106
9673946-124-A-Weekday-55,315608
9673946-124-A-Weekday-55,315003
9673946-124-A-Weekday-55,315035
9673946-124-A-Weekday-55,315033
9673946-124-A-Weekday-55,315617
9673946-124-A-Weekday-55,315614
9673946-124-A-Weekday-55,315040
9673946-124-A-Weekday-55,315609
9673946-124-A-Weekday-55,314012
9673946-124-A-Weekday-55,314002
9673946-124-A-Weekday-55,314901
9673946-124-A-Weekday-55,313011
9673946-124-A-Weekday-55,313604
9673946-124-A-Weekday-55,312009
9673946-124-A-Weekday-55,311106
9673947-124-A-Weekday-55,315608
9673947-124-A-Weekday-55,315467
9673947-124-A-Weekday-55,315003
9673947-124-A-Weekday-55,315035
9673947-124-A-Weekday-55,315033
9673947-124-A-Weekday-55,315617
9673947-124-A-Weekday-55,315040
9673947-124-A-Weekday-55,315614
9673947-124-A-Weekday-55,315609
9673947-124-A-Weekday-55,314012
9673947-124-A-Weekday-55,314002
9673947-124-A-Weekday-55,314901
9673947-124-A-Weekday-55,313011
9673947-124-A-Weekday-55,312018
9673947-124-A-Weekday-55,312008
9673947-124-A-Weekday-55,312009
9673947-124-A-Weekday-55,311106
9673948-124-A-Weekday-55,316005
