stop_id,accessibility_id,cardinal_direction,relative_position,stop_city
311300,2,NW,FS,Pacifica
311301,2,NW,FS,Pacifica
311302,2,SW,FS,Pacifica
311420,2,SE,FS,Daly City
311506,2,NW,NS,Pacifica
311510,2,NO,OP,Pacifica
311605,2,NE,FS,Pacifica
311606,2,NO,AT,Pacifica
311607,2,SE,NS,Pacifica
311608,2,SE,NS,Pacifica
311609,2,NE,FS,Pacifica
311610,2,SE,FS,Pacifica
311611,2,SW,NS,Pacifica
311612,2,SW,NS,Pacifica
311613,2,NW,FS,Pacifica
311614,2,SE,FS,Pacifica
311615,2,NE,NS,Pacifica
311616,2,NW,FS,Pacifica
311617,2,NW,FS,Pacifica
311618,2,SE,FS,Pacifica
311619,2,EA,AT,South Coastside
311620,2,WE,AT,South Coastside
312002,2,NW,FS,Montara
312004,2,NE,FS,Montara
312005,2,SW,FS,Moss Beach
312006,2,SW,FS,Montara
312007,2,NE,FS,Montara
312008,2,SW,FS,Montara
312009,2,NE,FS,Montara
312011,2,NW,FS,Montara
312012,2,EA,AT,Montara
312013,2,EA,AT,Moss Beach
312014,2,EA,AT,Montara
312018,2,SE,NS,Montara
312021,2,SE,FS,Montara
312022,2,NW,NS,Montara
312023,2,WE,AT,Moss Beach
312024,2,NW,FS,Montara
312025,2,SW,NS,Montara
312026,2,SW,NS,Montara
312027,2,NE,NS,Montara
313001,2,SW,FS,El Granada
313002,2,NW,NS,Moss Beach
313003,2,SE,NS,Moss Beach
313004,2,NW,NS,Moss Beach
313005,2,NE,FS,Moss Beach
313006,2,NW,FS,Moss Beach
313007,2,NE,FS,Moss Beach
313011,2,NE,OP,Moss Beach
313604,2,SO,AT,Montara
313605,2,NE,FS,Moss Beach
313606,2,WE,AT,Moss Beach
313607,2,SE,NS,Moss Beach
313608,2,SW,FS,Moss Beach
313609,2,NE,FS,El Granada
313610,2,NW,NS,El Granada
314001,2,SW,FS,El Granada
314002,2,SE,NS,El Granada
314003,2,NE,FS,El Granada
314004,2,SE,NS,El Granada
314005,2,SW,FS,El Granada
314006,2,NW,NS,El Granada
314009,2,SW,FS,El Granada
314010,2,SE,NS,El Granada
314011,2,NW,NS,El Granada
314012,2,NE,FS,El Granada
314013,2,SW,FS,El Granada
314014,2,EA,OP,Moss Beach
314015,2,SW,FS,Moss Beach
314016,2,NE,FS,El Granada
314900,2,SE,FS,El Granada
314901,2,NE,NS,El Granada
314902,2,NE,NS,Moss Beach
314903,2,SW,NS,El Granada
315001,2,EA,AT,Half Moon Bay
315002,2,NE,FS,El Granada
315003,2,NE,FS,Half Moon Bay
315006,2,NE,FS,Half Moon Bay
315008,2,SW,FS,Half Moon Bay
315010,2,NE,FS,Half Moon Bay
315011,2,NW,NS,Half Moon Bay
315012,2,NE,FS,Half Moon Bay
315013,2,NW,NS,Half Moon Bay
315014,2,SW,FS,Half Moon Bay
315015,2,EA,OP,Half Moon Bay
315016,2,SW,FS,Half Moon Bay
315017,2,NW,NS,Half Moon Bay
315018,2,NE,FS,Half Moon Bay
315019,2,NE,FS,Half Moon Bay
315020,2,SW,OP,Half Moon Bay
315021,2,SW,FS,Half Moon Bay
315022,2,NE,FS,Half Moon Bay
315023,2,NW,NS,Half Moon Bay
315024,2,SO,AT,South Coastside
315025,2,NE,NS,Half Moon Bay
315026,2,SE,FS,Half Moon Bay
315027,2,SO,AT,South Coastside
315028,2,SE,OP,Half Moon Bay
315029,2,SO,FS,Half Moon Bay
315030,2,SE,AT,South Coastside
315031,2,NW,FS,South Coastside
315033,2,SE,NS,Half Moon Bay
315034,2,SE,NS,Half Moon Bay
315035,2,NE,FS,Half Moon Bay
315036,2,EA,NS,Half Moon Bay
315039,2,SE,NS,Half Moon Bay
315040,2,WE,AT,Half Moon Bay
315041,2,NW,NS,Half Moon Bay
315463,2,SW,FS,Half Moon Bay
315467,2,SW,FS,Half Moon Bay
315604,2,NW,NS,Half Moon Bay
315605,2,NW,NS,Half Moon Bay
315606,2,NW,NS,Half Moon Bay
315607,2,SW,NS,South Coastside
315608,2,SO,AT,Half Moon Bay
315609,2,NO,AT,Half Moon Bay
315610,2,SE,FS,Half Moon Bay
315612,2,NW,NS,Half Moon Bay
315614,2,SW,FS,Half Moon Bay
315615,2,SE,NS,Half Moon Bay
315616,2,EA,FS,Half Moon Bay
315617,2,NE,FS,Half Moon Bay
315900,2,NE,NS,South Coastside
315901,2,SE,FS,South Coastside
315902,2,NW,FS,South Coastside
315903,2,SW,NS,South Coastside
316002,2,SE,FS,South Coastside
316003,2,SW,NS,South Coastside
316004,2,NE,NS,South Coastside
316005,2,NE,FS,South Coastside
316010,2,NE,NS,South Coastside
316603,2,WE,OP,Half Moon Bay
316902,2,SE,FS,South Coastside
316903,2,NW,FS,South Coastside
321001,2,EA,AT,Woodside
321005,2,SE,FS,Woodside
321006,2,NE,NS,Woodside
321008,2,SE,NS,Woodside
321009,2,NW,NS,Woodside
321011,2,SE,FS,Woodside
321012,2,NW,FS,Woodside
321013,2,NW,NS,Woodside
321106,2,SE,FS,County San Mateo
321107,2,NW,FS,Woodside
322002,2,SW,NS,Portola Valley
322003,2,SW,FS,Portola Valley
322004,2,NE,FS,Portola Valley
322006,2,SE,NS,Portola Valley
322011,2,WE,FS,Portola Valley
322012,2,SW,NS,Portola Valley
322020,2,NW,NS,Portola Valley
322021,2,NE,FS,Portola Valley
322022,2,SW,FS,Portola Valley
322023,2,NE,FS,Portola Valley
322024,2,NE,FS,County San Mateo
322025,2,NE,FS,Portola Valley
322026,2,SW,FS,Portola Valley
322029,2,NW,NS,Woodside
322031,2,NE,FS,Woodside
322032,2,SW,FS,Portola Valley
322033,2,SW,FS,Portola Valley
322034,2,EA,OP,Portola Valley
322035,2,WE,AT,Portola Valley
322036,2,WE,OP,Portola Valley
322037,2,NE,FS,Portola Valley
322039,2,SE,NS,Portola Valley
322503,2,NW,NS,Portola Valley
322510,2,SE,NS,Woodside
322511,2,NE,NS,Portola Valley
322515,2,SW,NS,Portola Valley
322518,2,SE,FS,Portola Valley
322519,2,NE,NS,Portola Valley
322603,2,SW,NS,Portola Valley
322604,2,NW,FS,Portola Valley
322900,2,SW,NS,County San Mateo
322901,2,NE,FS,County San Mateo
322902,2,NW,NS,County San Mateo
322903,2,NW,FS,County San Mateo
322904,2,SE,FS,Woodside
322905,2,SE,FS,Woodside
322906,2,NE,NS,Woodside
322907,2,NW,FS,County San Mateo
322908,2,SW,NS,County San Mateo
322909,2,NE,FS,Woodside
322910,2,NW,FS,County San Mateo
331001,2,SW,FS,San Francisco
331003,2,SE,FS,San Francisco
331006,2,SW,FS,San Francisco
331013,2,SW,FS,San Francisco
331015,2,SE,FS,San Francisco
331017,2,SE,FS,San Francisco
331019,2,NW,FS,San Francisco
331044,2,WE,OP,San Francisco
331045,2,SW,FS,San Francisco
331059,2,SE,FS,San Francisco
331067,2,SW,NS,San Francisco
331070,2,NW,FS,San Francisco
331071,2,SE,FS,San Francisco
331416,2,SE,FS,San Francisco
331417,2,SE,FS,San Francisco
331418,2,SE,FS,San Francisco
331419,2,SW,NS,San Francisco
331420,2,NW,FS,San Francisco
331421,2,NW,FS,San Francisco
331422,2,NW,FS,San Francisco
331430,2,NW,FS,San Francisco
331437,2,SE,FS,San Francisco
331504,2,SE,FS,San Francisco
331525,2,EA,AT,San Francisco
331526,2,SE,NS,San Francisco
331527,2,SW,FS,San Francisco
331528,2,SE,NS,San Francisco
331529,2,SE,FS,San Francisco
331531,2,NE,FS,San Francisco
331532,2,WE,OP,San Francisco
331533,2,NW,FS,San Francisco
331534,2,NW,FS,San Francisco
331535,2,NW,FS,San Francisco
331536,2,NW,FS,San Francisco
331537,2,SE,FS,San Francisco
331538,2,EA,OP,San Francisco
331539,2,SE,FS,San Francisco
331541,2,SE,FS,San Francisco
331542,2,EA,OP,San Francisco
331543,2,SW,NS,San Francisco
331544,2,SE,FS,San Francisco
331545,2,SE,FS,San Francisco
331546,2,NW,FS,San Francisco
331552,2,NE,FS,San Francisco
331553,2,WE,OP,San Francisco
331555,2,NE,FS,San Francisco
331556,2,WE,OP,San Francisco
331557,2,EA,,San Francisco
331601,2,NE,NS,San Francisco
331605,2,SE,NS,San Francisco
331606,2,SW,FS,San Francisco
331609,2,SW,NS,San Francisco
331610,2,SE,NS,San Francisco
331613,2,EA,FS,San Francisco
332001,2,SW,NS,Broadmoor
332002,2,NW,FS,Broadmoor
332003,2,SW,FS,Daly City
332004,2,SE,NS,Daly City
332005,2,NE,FS,Daly City
332006,2,SW,NS,Daly City
332007,2,NO,AT,Daly City
332008,2,NO,AT,Daly City
332009,2,NW,FS,Daly City
332010,2,SE,NS,Daly City
332011,2,NE,NS,Daly City
332014,2,SE,AT,Daly City
332019,2,SE,AT,Daly City
332021,2,SE,AT,Daly City
332023,2,SW,FS,Brisbane
332027,2,NE,NS,Daly City
332032,2,SE,FS,Daly City
332033,2,NE,NS,Daly City
332036,2,NW,NS,Daly City
332037,2,NW,FS,Daly City
332038,2,SW,NS,Daly City
332040,2,SW,NS,Daly City
332041,2,SE,FS,Daly City
332042,2,SW,NS,Daly City
332043,2,NW,FS,Daly City
332046,2,,,Daly City
332048,2,SE,FS,Daly City
332052,2,NE,NS,Daly City
332057,2,SW,FS,Daly City
332058,2,SE,NS,Daly City
332059,2,SW,FS,Daly City
332060,2,NW,NS,Daly City
332061,2,NE,FS,Daly City
332064,2,SE,NS,Daly City
332065,2,SW,FS,Daly City
332066,2,NE,FS,Daly City
332067,2,SW,FS,Daly City
332068,2,NE,NS,Daly City
332072,2,SW,NS,Daly City
332073,2,NW,FS,Daly City
332074,2,SE,FS,Daly City
332075,2,NW,FS,Daly City
332077,2,SE,NS,Pacifica
332078,2,SW,FS,Daly City
332086,2,NO,OP,Daly City
332087,2,NW,FS,Daly City
332088,2,SW,NS,Daly City
332089,2,SW,NS,Daly City
332095,2,SW,NS,Daly City
332097,2,NE,NS,Daly City
332107,2,WE,AT,Daly City
332110,2,SW,FS,Daly City
332111,2,NE,FS,Daly City
332112,2,NE,OP,Daly City
332113,2,SW,FS,Daly City
332114,2,SE,NS,Daly City
332116,2,SE,OP,Daly City
332117,2,SW,FS,Daly City
332118,2,NE,FS,Daly City
332119,2,NW,NS,Daly City
332120,2,NE,FS,Daly City
332121,2,SW,FS,Daly City
332122,2,SW,FS,Daly City
332123,2,SE,OP,Daly City
332124,2,SW,NS,Daly City
332125,2,NW,FS,Daly City
332126,2,NE,NS,Daly City
332127,2,NE,NS,San Francisco
332128,2,SE,FS,San Francisco
332129,2,SE,FS,Daly City
332130,2,NW,FS,Daly City
332131,2,NE,NS,Daly City
332132,2,SE,FS,Daly City
332134,2,NE,NS,Daly City
332141,2,NW,FS,Daly City
332143,2,EA,OP,Daly City
332151,2,NW,NS,Daly City
332152,2,NE,FS,Daly City
332153,2,SW,FS,Daly City
332154,2,NE,FS,Daly City
332155,2,WE,OP,Daly City
332156,2,NE,FS,Daly City
332157,2,NE,FS,Daly City
332158,2,SW,FS,Daly City
332159,2,SW,FS,Daly City
332160,2,NE,FS,Daly City
332161,2,SE,NS,South San Francisco
332162,2,NW,NS,South San Francisco
332163,2,NE,NS,Daly City
332164,2,SE,OP,Daly City
332165,2,NW,FS,Daly City
332166,2,SE,FS,Daly City
332167,2,NW,FS,Daly City
332168,2,SW,NS,Daly City
332169,2,NW,FS,Daly City
332170,2,SW,NS,Daly City
332171,2,NW,FS,Daly City
332172,2,SE,FS,Daly City
332173,2,SW,NS,Daly City
332175,2,NW,FS,Daly City
332178,2,NW,NS,Daly City
332184,2,NE,FS,Daly City
332186,2,NE,FS,Colma
332188,2,SW,OP,Daly City
332189,2,NW,FS,Daly City
332190,2,NW,FS,Daly City
332191,2,NW,FS,Daly City
332192,2,SE,NS,Daly City
332193,2,SW,FS,Daly City
332194,2,NE,FS,Daly City
332200,2,SE,OP,Daly City
332202,2,SW,NS,Daly City
332203,2,SW,NS,Daly City
332205,2,SE,OP,Broadmoor
