stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_name,location_type
37.991092,,-122.078228,831320,,Muir Rd/Sweetwater Dr,0
37.844836,,-121.981795,831132_merged_422181192,,3131 Stone Valley Rd,0
37.820436,,-122.121208,831329,,Camino Pablo/Hodges Dr,0
37.816799,,-122.11862,831328,,Camino Pablo/Shuey Dr,0
37.947642,,-121.963524,83880,,Ygnacio Valley Rd/Michigan Blvd,0
37.947508,,-121.963202,83881,,Ygnacio Valley Rd/Michigan Blvd,0
37.971252,,-122.055854,832010,,Diamond Blvd/Willow Way,0
37.970512,,-122.054727,832011,,1970 Diamond Blvd,0
37.973695,,-122.057443,832012,,2070 Diamond Blvd,0
37.892259,,-122.116126,831213,,Mt Diablo Blvd/First St,0
37.896663,,-122.098032,831212,,Mt Diablo Blvd/Mt Diablo Ct,0
37.895881,,-122.103185,831211,,Mt Diablo Blvd/Carol Ln,0
37.894815,,-122.106225,831210,,Mt Diablo Blvd/Hampton Dr,0
37.891859,,-122.094039,831217,,Pleasant Hill Rd/Condit Rd,0
37.886373,,-122.0928,831216,,Pleasant Hill Rd/Olympic Blvd,0
37.885855,,-122.092788,831215,,Olympic Blvd/Pleasant Hill Rd,0
37.884447,,-122.083682,831214,,Olympic Blvd/Bridgefield Rd,0
37.895202,,-122.095756,831219,,Pleasant Hill Rd/Old Tunnel Rd,0
37.897905,,-122.096117,831218,,Pleasant Hill Rd/Hwy 24,0
37.823114,,-121.997992,831103,,Diablo Rd/El Pintado,0
37.823053,,-121.992499,831102,,480 Diablo Rd,0
37.825865,,-121.987408,831101,,Diablo Rd/Arroyo Dr,0
37.830175,,-121.987375,831100,,Diablo Rd/El Cerro Blvd,0
37.968802,,-122.051679,83859,,Willow Pass Rd/Diamond Blvd,0
37.962887,,-122.060668,83858,,Sun Valley Blvd/Santa Monica Dr,0
37.951158,,-121.955999,83857,,Washington Blvd/Clayton Rd,0
37.948999,,-121.956229,83856,,Washington Blvd/Kelrose Ct,0
37.948053,,-121.956712,83855,,Washington Blvd/Pennsylvania Blvd,0
37.949115,,-121.956493,83854,,Washington Blvd/Kelrose Ct,0
37.951229,,-121.956344,83853,,Washington Blvd/Clayton Rd,0
37.976678,,-121.991732,83852,,1750 West St,0
37.97417,,-121.994741,83851,,West St/Wilson Ln,0
37.971742,,-121.997671,83850,,West St/Denver St,0
37.85146,,-122.03313,83970_merged_422181188,,3158 Danville Blvd,0
37.992354,,-122.112693,83929,,Center Ave/Veterans Ct,0
37.992444,,-122.118636,83928,,590 Center Ave,0
37.988856,,-122.106386,83923,,Center Ave/Rolling Hill Way,0
37.986199,,-122.10422,83922,,Center Ave/Morello Ave,0
37.99617,,-122.121024,83927,,Pine St/Douglas Dr,0
37.992587,,-122.118487,83926,,597 Center Ave,0
37.992736,,-122.113706,83925,,Center Ave/Veterans Clinic Driveway,0
37.991286,,-122.110484,83924,,Center Ave/Kaiser Dr,0
37.933828,,-121.928202,83453,,Marsh Creek Rd/El Molino Dr,0
37.935194,,-121.932199,83452,,Marsh Creek Rd/Greystone Rd,0
37.951684,,-121.955965,83451,,Clayton Rd/Washington Blvd,0
37.943458,,-121.941789,83450,,Clayton Rd/Mitchell Canyon Rd,0
37.932346,,-121.923804,83454,,Marsh Creek Rd/Bigelow St,0
37.891004,,-122.03245,831929,,Walnut Blvd/Golden Hill Pl,0
37.894344,,-122.041017,831928,,Walnut Blvd/Fraser Dr,0
37.903338,,-122.052567,831925,,Walnut Blvd/Sierra Dr,0
37.907779,,-122.054824,831924,,Walnut Blvd/Ygnacio Valley Rd,0
37.898274,,-122.048152,831927,,Walnut Blvd/Walker Ave,0
37.900387,,-122.050083,831926,,Walnut Blvd/Homestead Ave,0
37.908466,,-122.055112,831923,,Walnut Blvd/Ygnacio Valley Rd,0
37.97887,,-122.034097,83637,,Grant St/Pacheco St,0
37.976096,,-122.032059,83636,,Grant St/Concord Blvd,0
37.971859,,-122.043478,83635,,Gateway Blvd/Willow Pass Rd,0
37.971209,,-122.042569,83634,,Gateway Blvd/Clayton Rd,0
37.974103,,-122.060087,83633,,UFCW And Employers Plaza,0
37.976204,,-122.055539,83632,,Galaxy Way/Meridian Park Blvd,0
37.97615,,-122.056033,83631,,Galaxy Way/Meridian Park Blvd,0
37.972468,,-122.040698,83630,,Fry Way/Clayton Rd,0
37.984124,,-122.035447,83639,,Grant St/High School Ave,0
37.979726,,-122.034822,83638,,Grant St/Bonifacio St,0
37.769899,,-121.960151,831697,,San Ramon Transit Center,0
37.770176,,-121.960334,831696,,San Ramon Transit Center,0
37.770417,,-121.960495,831695,,San Ramon Transit Center,0
37.767472,,-121.958363,831694,,Bishop Ranch 3,0
37.760959,,-121.956506,831693,,Bishop Ranch 1,0
37.759808,,-121.958946,831692,,Chevron San Ramon,0
37.731805,,-121.924041,831691,,Wisteria St/Tangerine St,0
37.729086,,-121.931866,831690,,Village Pkwy/Alcosta Blvd,0
37.769845,,-121.960254,831699,,San Ramon Transit Center,0
37.941496,,-122.045014,83703,,Mohr Ln/Wicket Ct,0
37.939568,,-122.045437,83702,,Mohr Ln/Nuala St,0
37.939033,,-122.045517,83701,,Mohr Ln/Bentley St,0
37.941362,,-122.045255,83700,,Mohr Ln/Wicket Ct,0
37.94788,,-122.050571,83707,,Mohr Ln/Monument Blvd,0
37.946213,,-122.048064,83706,,Mohr Ln/Del Rio Cir,0
37.945841,,-122.045445,83705,,Mohr Ln/Del Rio Cir,0
37.94527,,-122.044433,83704,,1026 Mohr Ln,0
37.968406,,-122.031936,83709,,Monument Blvd/Cowell Rd,0
37.968557,,-122.032258,83708,,Monument Blvd/Oakmead Ave,0
37.887481,,-122.054991,831744,,Creekside Dr/Quail Ct,0
37.877464,,-122.027144,831747,,Dapplegray Ln/Westmoreland Cir,0
37.875135,,-122.027578,831746,,Dapplegray Ln/Stewart Ave,0
37.882132,,-122.049864,831741,,Creekside Dr/End,0
37.883835,,-122.05098,831740,,Creekside Dr/Near Ct,0
37.886258,,-122.052697,831743,,Creekside Dr/Creekside Oaks,0
37.883898,,-122.050762,831742,,Creekside Dr/Near Ct,0
37.879247,,-122.028018,831748,,Dapplegray Ln/Rudgear Rd,0
37.85082,,-122.12542,831352,,Moraga Rd/Devin Dr,0
37.846839,,-122.126168,831353,,Moraga Rd/Corliss Dr,0
37.85787,,-122.124289,831350,,Moraga Rd/Kendall Cir,0
37.854639,,-122.125016,831351,,Moraga Rd/Ascot Dr,0
37.83527,,-122.130121,831356,,Moraga Way/School St,0
37.837262,,-122.134657,831357,,Moraga Way/Camino Ricardo,0
37.837524,,-122.125985,831354,,Moraga Rd/Alta Mesa Dr,0
37.834221,,-122.127434,831355,,Moraga Rd/Moraga Way,0
37.841221,,-122.142066,831358,,Moraga Way/Hardie Dr,0
37.841131,,-122.142444,831359,,Moraga Way/Miramonte Dr,0
37.765336,,-121.984377,831594,,Bollinger Canyon Rd/Ascension Dr,0
37.766593,,-121.986429,831595,,Bollinger Canyon Rd/Marsh Dr,0
37.767904,,-121.988584,831596,,Bollinger Canyon Rd/Dos Rios Dr,0
37.769571,,-121.992756,831597,,Bollinger Canyon Rd/Fountainhead Dr,0
37.759557,,-121.97083,831590,,Bollinger Canyon Rd/Talavera Dr,0
37.759457,,-121.976949,831591,,Bollinger Canyon Rd/Andora Ln,0
37.761991,,-121.980628,831592,,Bollinger Canyon Rd/Aranda Dr,0
37.763766,,-121.982691,831593,,Bollinger Canyon Rd/Norris Canyon,0
38.011267,,-122.033799,832007,,Industrial Way/Pike Ln,0
38.013621,,-122.034929,832006,,Industrial Way/Bates Ave,0
38.011124,,-122.03396,832005,,Industrial Way/Pike Ct,0
37.911578,,-122.046573,832004,,Marchbanks Dr/Ygnacio Valley Rd,0
37.765697,,-121.952277,832003,,Bollinger Canyon Rd/Alcosta Blvd,0
37.763403,,-121.903814,832002,,Bollinger Canyon Rd/Windemere Pkwy,0
37.762877,,-121.904342,832001,,Bollinger Canyon Rd/Windemere Pkwy,0
37.764376,,-121.953641,832000,,Bollinger Canyon Rd/Market Pl,0
37.973115,,-122.057385,832009,,2001 Diamond Blvd,0
37.974479,,-122.058525,832008,,Diamond Blvd/Galaxy Way,0
37.905141,,-122.142092,831178,,Happy Valley Rd/Panorama Dr,0
37.891345,,-122.125515,831179,,Happy Valley Rd/Mt Diablo Blvd,0
37.902472,,-122.137435,831172,,Happy Valley Rd/Palo Alto Dr,0
37.900658,,-122.133148,831173,,Happy Valley Rd/Rose Ln,0
37.893125,,-122.151934,831170,,El Nido Ranch Rd/Upper Happy Valley,0
37.893938,,-122.162142,831171,,El Nido Ranch Rd/Lizann Dr,0
37.902188,,-122.13639,831176,,Happy Valley Rd/Franklin Ln,0
37.905391,,-122.14246,831177,,Happy Valley Rd/Panorama Dr,0
37.90648,,-122.152797,831174,,Happy Valley Rd/Upper Happy Valley,0
37.900783,,-122.133022,831175,,Happy Valley Rd/Rose Ln,0
37.970046,,-121.999979,83848,,West St/Wesley Ct,0
37.970528,,-121.999095,83849,,West St/Salem St,0
37.962161,,-121.993953,83840,,Treat Blvd/Bel Air Dr,0
37.976669,,-121.992031,83844,,West St/Forestview Ave,0
37.974973,,-121.994064,83845,,West St/Glendale Ave,0
37.973393,,-121.996017,83846,,West St/Clayton Way,0
37.972019,,-121.997636,83847,,West St/Chestnut Ave,0
38.012695,,-122.12043,831007,,Pacheco Blvd/Bush St,0
