service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
6_merged_422181212,20170813,20171118,0,0,0,1,1,0,0
11_merged_422181215,20171119,20180224,1,0,1,0,0,0,0
8_merged_422181214,20170813,20171118,0,1,1,1,1,0,0
7_merged_422181223,20171119,20180224,1,1,1,1,0,0,0
12_merged_422181217,20171119,20180224,0,1,0,1,0,0,0
8_merged_422181226,20171119,20180224,0,1,1,1,1,0,0
2_merged_422181220,20171119,20180224,0,1,0,1,1,0,0
2_merged_422181208,20170813,20171118,0,1,0,1,1,0,0
9_merged_422181225,20171119,20180224,1,1,0,1,1,0,0
1_merged_422181206,20170813,20171118,1,0,0,0,0,0,0
5_merged_422181221,20171119,20180224,0,0,0,0,0,0,1
4_merged_422181222,20171119,20180224,0,0,0,0,0,1,0
3_merged_422181207,20170813,20171118,0,0,1,0,0,0,0
7_merged_422181211,20170813,20171118,1,1,1,1,0,0,0
11_merged_422181203,20170813,20171118,1,0,1,0,0,0,0
12_merged_422181205,20170813,20171118,0,1,0,1,0,0,0
5_merged_422181209,20170813,20171118,0,0,0,0,0,0,1
9_merged_422181213,20170813,20171118,1,1,0,1,1,0,0
1_merged_422181218,20171119,20180224,1,0,0,0,0,0,0
10_merged_422181216,20171119,20180224,1,1,1,1,1,0,0
3_merged_422181219,20171119,20180224,0,0,1,0,0,0,0
4_merged_422181210,20170813,20171118,0,0,0,0,0,1,0
10_merged_422181204,20170813,20171118,1,1,1,1,1,0,0
6_merged_422181224,20171119,20180224,0,0,0,1,1,0,0
