route_id,service_id,trip_headsign,trip_id,direction_id,block_id,shape_id
27,4_merged_422181222,San Ramon,42186316,0,,38363
12,2_merged_422181220,Diablo Valley College,4213395,1,,38332
12,1_merged_422181218,Diablo Valley College,4213394,1,,38332
12,3_merged_422181219,Diablo Valley College,4213396,1,,38332
15,4_merged_422181210,,150004014,0,,
8,1_merged_422181218,Martinez AMTRAK,42122719,1,,38324
13,1_merged_422181206,BART Walnut Creek,131001070,1,,
25,5_merged_422181221,Martinez via Downtown Pleasant Hill,4217892,0,,38359
4,1_merged_422181218,BART Concord,42108128,1,,38315
4,2_merged_422181220,BART Concord,42108129,1,,38315
33,1_merged_422181218,Shadelands,42238379,0,,38415
13,3_merged_422181219,BART Walnut Creek,42137318,1,,38334
30,1_merged_422181218,BART Walnut Creek,422059165,1,,38372
30,2_merged_422181220,BART Walnut Creek,422059166,1,,38372
30,3_merged_422181219,BART Walnut Creek,422059167,1,,38372
13,2_merged_422181220,BART Walnut Creek,42137317,1,,38334
13,1_merged_422181218,BART Walnut Creek,42137316,1,,38334
7,3_merged_422181207,BART Concord via John Muir Medical Center,71003042,1,,
12,2_merged_422181220,BART Concord,42127732,0,,38331
6,3_merged_422181207,AMTRAK via Downtown Pleasant Hill,60003018,0,,
6,3_merged_422181207,AMTRAK via Downtown Pleasant Hill,60003015,0,,
6,3_merged_422181207,AMTRAK via Downtown Pleasant Hill,60003012,0,,
23,5_merged_422181221,Diablo Valley College via Monument,4217095,0,,38355
28,3_merged_422181207,BART Dublin via Windemere Pkwy,280003039,0,,
28,3_merged_422181207,BART Dublin via Windemere Pkwy,280003033,0,,
34,3_merged_422181219,BART Walnut Creek via BART Pleasant Hill,42242421,0,,38417
28,3_merged_422181207,BART Dublin via Windemere Pkwy,280003030,0,,
30,4_merged_422181210,Broadway Plaza,300004136,0,,
28,3_merged_422181207,BART Dublin via Windemere Pkwy,280003036,0,,
10,2_merged_422181208,John Muir Medical Center,100002011,0,,
10,2_merged_422181208,John Muir Medical Center,100002014,0,,
3,3_merged_422181207,BART Pleasant Hill,31003018,1,,
3,3_merged_422181207,BART Pleasant Hill,31003015,1,,
3,3_merged_422181207,BART Pleasant Hill,31003012,1,,
41,3_merged_422181219,BART Walnut Creek,42259115,0,,38442
33,2_merged_422181220,Shadelands,42236629,0,,38415
33,1_merged_422181218,Shadelands,42236628,0,,38415
4,1_merged_422181206,BART Pleasant Hill,40001031,0,,
4,1_merged_422181206,BART Pleasant Hill,40001037,0,,
4,1_merged_422181206,BART Pleasant Hill,40001034,0,,
17,12_merged_422181205,,171012011,1,,
13,2_merged_422181220,San Ramon Transit Center,42135229,0,,38333
13,1_merged_422181218,San Ramon Transit Center,42135228,0,,38333
27,4_merged_422181222,BART Walnut Creek,4218704,1,,38364
12,1_merged_422181206,Diablo Valley College,121001028,1,,
12,1_merged_422181206,Diablo Valley College,121001025,1,,
12,1_merged_422181206,Diablo Valley College,121001022,1,,
2,3_merged_422181219,BART Concord,42102178,1,,38310
2,2_merged_422181220,BART Concord,42102177,1,,38310
2,1_merged_422181218,BART Concord,42102176,1,,38310
39,1_merged_422181206,Bishop Ranch,391001028,1,,
7,2_merged_422181208,BART North Concord via John Muir Medical Center,70002014,0,,
7,2_merged_422181208,BART North Concord via John Muir Medical Center,70002017,0,,
7,2_merged_422181208,BART North Concord via John Muir Medical Center,70002011,0,,
5,3_merged_422181219,BART Walnut Creek via BART Pleasant Hill,42111933,1,,38317
5,2_merged_422181220,BART Walnut Creek via BART Pleasant Hill,42111932,1,,38317
5,1_merged_422181218,BART Walnut Creek via BART Pleasant Hill,42111931,1,,38317
12,3_merged_422181219,Diablo Valley College,42132881,1,,38332
30,5_merged_422181221,BART Walnut Creek,422179169,1,,38372
31,3_merged_422181207,BART Walnut Creek,311003009,1,,
30,2_merged_422181220,BART Walnut Creek,422069202,1,,38372
30,3_merged_422181219,BART Walnut Creek,422069203,1,,38372
31,3_merged_422181207,BART Walnut Creek,311003003,1,,
30,1_merged_422181218,BART Walnut Creek,422069201,1,,38372
30,2_merged_422181220,Broadway Plaza,42198240,0,,38371
31,3_merged_422181207,BART Walnut Creek,311003006,1,,
29,2_merged_422181220,BART Dublin via San Ramon Valley Blvd,42195123,0,,38369
29,3_merged_422181219,BART Dublin via San Ramon Valley Blvd,42195124,0,,38369
8,2_merged_422181220,BART Pleasant Hill,42121026,0,,38323
8,3_merged_422181219,BART Pleasant Hill,42121027,0,,38323
9,1_merged_422181218,Martinez AMTRAK,42124016,1,,38326
8,1_merged_422181218,BART Pleasant Hill,42121025,0,,38323
6,2_merged_422181208,BART Concord via Downtown Pleasant Hill,61002068,1,,
6,2_merged_422181208,BART Concord via Downtown Pleasant Hill,61002065,1,,
9,3_merged_422181219,Martinez AMTRAK,42124018,1,,38326
6,2_merged_422181208,BART Concord via Downtown Pleasant Hill,61002062,1,,
