"fare_id","origin_id","destination_id"
"18","84","92"
"20","84","93"
"27","84","94"
"15","84","95"
"32","84","96"
"1","84","97"
"18","84","98"
"18","84","99"
"15","84","100"
"21","84","101"
"57","84","102"
"53","84","103"
"23","84","104"
"15","84","105"
"43","84","106"
"33","84","107"
"19","84","108"
"30","84","109"
"1","84","110"
"40","84","111"
"9","84","112"
"53","84","113"
"53","84","114"
"33","84","115"
"20","84","116"
"35","84","117"
"27","84","118"
"34","84","119"
"27","84","120"
"22","84","121"
"33","84","122"
"27","84","123"
"23","84","124"
"10","84","125"
"35","84","126"
"36","84","127"
"24","84","128"
"28","84","129"
"13","84","130"
"15","84","131"
"24","84","132"
"25","84","133"
"47","84","134"
"8","84","135"
"29","84","142"
"30","84","143"
"34","84","128"
"35","84","145"
"27","85","81"
"28","85","82"
"20","85","83"
"23","85","84"
"1","85","86"
"13","85","87"
"29","85","88"
"14","85","89"
"28","85","90"
"15","85","91"
"21","85","92"
"27","85","93"
"36","85","94"
"17","85","95"
"38","85","96"
"25","85","97"
"8","85","98"
"25","85","99"
"35","85","100"
"40","85","101"
"38","85","102"
"35","85","103"
"29","85","104"
"15","85","105"
"23","85","106"
"15","85","107"
"37","85","108"
"8","85","109"
"19","85","110"
"59","85","111"
"28","85","112"
"35","85","113"
"34","85","114"
"40","85","115"
"25","85","116"
"17","85","117"
"33","85","118"
"40","85","119"
"43","85","120"
"41","85","121"
"41","85","122"
"46","85","123"
"42","85","124"
"29","85","125"
"17","85","126"
"17","85","127"
"6","85","128"
"10","85","129"
"33","85","130"
"11","85","131"
"30","85","132"
"1","85","133"
"29","85","134"
"35","85","135"
"45","85","142"
"49","85","143"
"52","85","128"
"54","85","145"
"25","86","81"
"26","86","82"
"18","86","83"
"21","86","84"
"1","86","85"
"11","86","87"
"30","86","88"
"15","86","89"
"26","86","90"
"14","86","91"
"19","86","92"
"25","86","93"
"34","86","94"
"15","86","95"
"37","86","96"
"24","86","97"
"1","86","98"
"24","86","99"
"33","86","100"
"38","86","101"
"25","86","102"
"37","86","103"
"27","86","104"
"14","86","105"
"24","86","106"
"7","86","107"
"35","86","108"
"11","86","109"
"17","86","110"
"57","86","111"
"26","86","112"
"35","86","113"
"22","86","114"
"38","86","115"
"24","86","116"
"8","86","117"
"31","86","118"
"38","86","119"
"41","86","120"
"40","86","121"
"40","86","122"
"44","86","123"
"40","86","124"
"27","86","125"
"9","86","126"
"18","86","127"
"1","86","128"
"4","86","129"
"31","86","130"
"3","86","131"
"28","86","132"
"8","86","133"
"18","86","134"
"34","86","135"
"44","86","142"
"47","86","143"
"50","86","128"
"53","86","145"
"18","87","81"
"21","87","82"
"8","87","83"
"15","87","84"
"13","87","85"
"11","87","86"
"36","87","88"
"23","87","89"
"19","87","90"
"8","87","91"
"14","87","92"
"18","87","93"
"27","87","94"
"1","87","95"
"30","87","96"
"18","87","97"
"8","87","98"
"18","87","99"
"27","87","100"
"32","87","101"
"46","87","102"
"42","87","103"
"20","87","104"
"7","87","105"
"32","87","106"
"23","87","107"
"30","87","108"
"20","87","109"
"12","87","110"
"51","87","111"
"20","87","112"
"42","87","113"
"42","87","114"
"33","87","115"
"18","87","116"
"24","87","117"
"25","87","118"
"31","87","119"
"36","87","120"
"34","87","121"
"35","87","122"
"37","87","123"
"33","87","124"
"21","87","125"
"25","87","126"
"25","87","127"
"13","87","128"
"18","87","129"
"24","87","130"
"1","87","131"
"21","87","132"
"17","87","133"
"37","87","134"
"28","87","135"
"38","87","142"
"41","87","143"
"46","87","128"
"47","87","145"
"51","88","81"
"52","88","82"
"44","88","83"
"47","88","84"
"29","88","85"
"30","88","86"
"36","88","87"
"23","88","89"
"52","88","90"
"39","88","91"
"45","88","92"
"50","88","93"
"61","88","94"
"41","88","95"
"62","88","96"
"49","88","97"
"32","88","98"
"49","88","99"
"58","88","100"
"65","88","101"
"51","88","102"
"8","88","103"
"53","88","104"
"38","88","105"
"1","88","106"
"34","88","107"
"66","88","108"
"24","88","109"
"42","88","110"
"84","88","111"
"52","88","112"
"1","88","113"
"47","88","114"
"64","88","115"
"49","88","116"
"30","88","117"
"57","88","118"
"63","88","119"
"72","88","120"
"68","88","121"
"65","88","122"
"71","88","123"
"67","88","124"
"53","88","125"
"37","88","126"
"8","88","127"
"31","88","128"
"30","88","129"
"56","88","130"
"33","88","131"
"54","88","132"
"27","88","133"
"41","88","134"
"58","88","135"
"75","88","142"
"76","88","143"
"80","88","128"
"82","88","145"
"37","89","81"
"38","89","82"
"30","89","83"
"33","89","84"
"14","89","85"
"15","89","86"
"23","89","87"
"23","89","88"
"39","89","90"
"26","89","91"
"31","89","92"
"38","89","93"
"45","89","94"
"28","89","95"
"49","89","96"
"36","89","97"
"19","89","98"
"36","89","99"
"45","89","100"
"50","89","101"
"38","89","102"
"30","89","103"
"40","89","104"
"24","89","105"
"8","89","106"
"15","89","107"
"48","89","108"
"1","89","109"
"30","89","110"
"70","89","111"
"38","89","112"
"31","89","113"
"34","89","114"
"50","89","115"
"36","89","116"
"17","89","117"
"44","89","118"
"51","89","119"
"54","89","120"
"55","89","121"
"54","89","122"
"57","89","123"
"55","89","124"
"40","89","125"
"18","89","126"
"1","89","127"
"15","89","128"
"15","89","129"
