stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,to_from,schedules,stop_alias
81,Anaheim-ARTIC Metrolink Station,33.802582,-117.877998,81,http://www.metrolinktrains.com/stations/detail/station_id/81.html,BOTH,1,Anaheim
82,Anaheim Canyon Metrolink Station,33.854176,-117.840523,82,http://www.metrolinktrains.com/stations/detail/station_id/82.html,BOTH,1,Anaheim Canyon
83,Baldwin Park Metrolink Station,34.086426,-117.957397,83,http://www.metrolinktrains.com/stations/detail/station_id/83.html,BOTH,1,Baldwin Park
84,Buena Park Metrolink Station,33.875969,-117.986855,84,http://www.metrolinktrains.com/stations/detail/station_id/84.html,BOTH,1,Buena Park
85,Burbank-Bob Hope Airport Metrolink Station,34.192795,-118.3526,85,http://www.metrolinktrains.com/stations/detail/station_id/85.html,BOTH,1,Burbank-Bob Hope Airport
86,Downtown Burbank Metrolink Station,34.178944,-118.312866,86,http://www.metrolinktrains.com/stations/detail/station_id/86.html,BOTH,1,Burbank-Downtown
87,Cal State LA Metrolink Station,34.062119,-118.171646,87,http://www.metrolinktrains.com/stations/detail/station_id/87.html,BOTH,1,Cal State LA
88,Camarillo Metrolink Station,34.216656,-119.033829,88,http://www.metrolinktrains.com/stations/detail/station_id/88.html,BOTH,1,Camarillo
89,Chatsworth Metrolink Station,34.253197,-118.599411,89,http://www.metrolinktrains.com/stations/detail/station_id/89.html,BOTH,1,Chatsworth
90,Claremont Metrolink Station,34.093884,-117.716354,90,http://www.metrolinktrains.com/stations/detail/station_id/90.html,BOTH,1,Claremont
91,Commerce Metrolink Station,33.990734,-118.143776,91,http://www.metrolinktrains.com/stations/detail/station_id/91.html,BOTH,1,Commerce
92,Covina Metrolink Station,34.09214,-117.888893,92,http://www.metrolinktrains.com/stations/detail/station_id/92.html,BOTH,1,Covina
93,Downtown Pomona Metrolink Station,34.058765,-117.750549,93,http://www.metrolinktrains.com/stations/detail/station_id/93.html,BOTH,1,Pomona-Downtown
94,East Ontario Metrolink Station,34.039909,-117.579521,94,http://www.metrolinktrains.com/stations/detail/station_id/94.html,BOTH,1,Ontario-East
95,El Monte Metrolink Station,34.076805,-118.0355,95,http://www.metrolinktrains.com/stations/detail/station_id/95.html,BOTH,1,El Monte
96,Fontana Metrolink Station,34.095165,-117.438095,96,http://www.metrolinktrains.com/stations/detail/station_id/96.html,BOTH,1,Fontana
97,Fullerton Metrolink Station,33.868698,-117.922295,97,http://www.metrolinktrains.com/stations/detail/station_id/97.html,BOTH,1,Fullerton
98,Glendale Metrolink Station,34.123341,-118.258926,98,http://www.metrolinktrains.com/stations/detail/station_id/98.html,BOTH,1,Glendale
99,Industry Metrolink Station,34.007927,-117.845581,99,http://www.metrolinktrains.com/stations/detail/station_id/99.html,BOTH,1,Industry
100,Irvine Metrolink Station,33.657055,-117.732933,100,http://www.metrolinktrains.com/stations/detail/station_id/100.html,BOTH,1,Irvine
101,Laguna Niguel/ Mission Viejo Metrolink Station,33.553902,-117.675003,101,http://www.metrolinktrains.com/stations/detail/station_id/101.html,BOTH,1,Laguna Niguel/Mission Viejo
