"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"91out","33.867954","-117.837448","96"
"91out","33.867847","-117.841095","95"
"91out","33.867886","-117.843071","94"
"91out","33.868168","-117.852768","93"
"91out","33.868595","-117.867485","92"
"91out","33.868668","-117.868904","91"
"91out","33.868702","-117.870148","90"
"91out","33.867100","-117.882553","89"
"91out","33.866886","-117.907181","88"
"91out","33.866852","-117.909157","87"
"91out","33.867065","-117.911301","86"
"91out","33.867561","-117.913147","85"
"91out","33.868099","-117.914696","84"
"91out","33.868526","-117.916580","83"
"91out","33.868572","-117.922279","82"
"91out","33.868526","-117.925552","81"
"91out","33.868313","-117.940399","80"
"91out","33.868347","-117.944992","79"
"91out","33.868347","-117.946106","78"
"91out","33.868526","-117.947350","77"
"91out","33.869381","-117.952591","76"
"91out","33.872375","-117.968506","75"
"91out","33.875698","-117.986862","74"
"91out","33.875786","-117.987343","73"
"91out","33.875931","-117.988136","72"
"91out","33.876133","-117.989273","71"
"91out","33.876400","-117.990479","70"
"91out","33.876755","-117.991814","69"
"91out","33.877396","-117.993484","68"
"91out","33.882172","-118.001938","67"
"91out","33.892754","-118.020653","66"
"91out","33.903011","-118.038933","65"
"91out","33.911045","-118.053040","64"
"91out","33.913216","-118.056839","63"
"91out","33.914249","-118.058342","62"
"91out","33.915569","-118.059532","61"
"91out","33.916252","-118.060051","60"
"91out","33.917046","-118.060432","59"
"91out","33.917969","-118.060905","58"
"91out","33.919678","-118.061119","57"
"91out","33.921993","-118.061165","56"
"91out","33.929363","-118.061203","55"
"91out","33.942253","-118.061333","54"
"91out","33.946064","-118.061333","53"
"91out","33.947380","-118.061638","52"
"91out","33.948807","-118.062111","51"
"91out","33.952435","-118.065498","50"
"91out","33.960052","-118.073349","49"
"91out","33.962402","-118.076096","48"
"91out","33.963402","-118.077988","47"
"91out","33.965466","-118.084595","46"
"91out","33.968811","-118.095154","45"
"91out","33.971943","-118.100128","44"
"91out","33.977707","-118.108200","43"
"91out","33.980019","-118.112106","42"
"91out","33.980518","-118.113388","41"
"91out","33.990734","-118.143776","40"
"91out","33.995644","-118.158112","39"
"91out","34.007629","-118.193512","38"
"91out","34.015137","-118.215660","37"
"91out","34.015919","-118.218231","36"
"91out","34.016171","-118.220253","35"
"91out","34.016312","-118.221878","34"
"91out","34.016953","-118.223473","33"
"91out","34.018055","-118.224586","32"
"91out","34.019585","-118.224800","31"
"91out","34.020653","-118.224800","30"
"91out","34.022926","-118.225227","29"
"91out","34.030289","-118.226646","28"
"91out","34.046612","-118.230377","27"
"91out","34.047146","-118.230591","26"
"91out","34.048035","-118.230591","25"
"91out","34.049812","-118.230118","24"
"91out","34.051556","-118.229774","23"
"91out","34.052906","-118.229347","22"
"91out","34.053722","-118.228966","21"
"91out","34.054256","-118.228531","20"
"91out","34.054829","-118.227936","19"
"91out","34.055145","-118.227547","18"
"91out","34.055927","-118.227203","17"
"91out","34.056534","-118.226990","16"
"91out","34.059307","-118.227371","15"
"91out","34.060196","-118.227501","14"
"91out","34.060658","-118.227592","13"
"91out","34.061085","-118.227715","12"
"91out","34.061653","-118.228233","11"
"91out","34.061867","-118.228622","10"
"91out","34.061867","-118.229561","9"
"91out","34.061832","-118.230423","8"
"91out","34.061619","-118.231453","7"
"91out","34.061440","-118.231964","6"
"91out","34.060837","-118.232399","5"
"91out","34.059944","-118.232864","4"
"91out","34.059200","-118.233208","3"
"91out","34.058594","-118.233429","2"
"91out","34.056000","-118.233772","1"
"AVin","34.054199","-118.234818","86"
"AVin","34.061203","-118.232292","85"
"AVin","34.062656","-118.225639","84"
"AVin","34.067303","-118.223961","83"
"AVin","34.081867","-118.226852","82"
"AVin","34.088478","-118.226555","81"
"AVin","34.092770","-118.229866","80"
"AVin","34.096504","-118.236328","79"
"AVin","34.113304","-118.247658","78"
"AVin","34.125179","-118.260521","77"
"AVin","34.156815","-118.277824","76"
"AVin","34.162693","-118.284691","75"
"AVin","34.177219","-118.310410","74"
"AVin","34.189552","-118.325272","73"
"AVin","34.226025","-118.378716","72"
"AVin","34.290302","-118.447395","71"
"AVin","34.312523","-118.476135","70"
"AVin","34.315456","-118.490982","69"
"AVin","34.319492","-118.494926","68"
"AVin","34.323376","-118.502121","67"
"AVin","34.356392","-118.518135","66"
"AVin","34.362431","-118.523491","65"
"AVin","34.373638","-118.522491","64"
"AVin","34.394608","-118.538513","63"
"AVin","34.398972","-118.537987","62"
"AVin","34.407959","-118.451859","49"
"AVin","34.409313","-118.456505","50"
"AVin","34.409481","-118.472206","51"
"AVin","34.410145","-118.446075","48"
"AVin","34.410755","-118.435921","47"
"AVin","34.412655","-118.522362","57"
"AVin","34.413906","-118.477829","52"
"AVin","34.414314","-118.527451","58"
"AVin","34.414886","-118.482132","53"
"AVin","34.416889","-118.428528","46"
"AVin","34.419193","-118.420883","45"
"AVin","34.419502","-118.505379","56"
"AVin","34.419621","-118.483482","54"
"AVin","34.419945","-118.541702","61"
"AVin","34.421276","-118.487953","55"
"AVin","34.421448","-118.536781","59"
"AVin","34.421776","-118.539825","60"
"AVin","34.422974","-118.416168","44"
"AVin","34.423126","-118.405899","43"
"AVin","34.428288","-118.349609","38"
"AVin","34.428623","-118.381996","41"
"AVin","34.430313","-118.390213","42"
"AVin","34.433136","-118.375275","40"
"AVin","34.433575","-118.346130","37"
"AVin","34.434093","-118.367599","39"
"AVin","34.437145","-118.234520","25"
"AVin","34.437569","-118.220024","23"
"AVin","34.437977","-118.246201","27"
"AVin","34.438595","-118.239700","26"
"AVin","34.438667","-118.225266","24"
"AVin","34.439217","-118.274849","29"
"AVin","34.439495","-118.319534","35"
"AVin","34.439880","-118.216087","22"
"AVin","34.439922","-118.300613","33"
"AVin","34.440102","-118.289009","31"
"AVin","34.440651","-118.323975","36"
"AVin","34.441795","-118.253647","28"
"AVin","34.442192","-118.281807","30"
"AVin","34.442249","-118.296417","32"
"AVin","34.442387","-118.308365","34"
"AVin","34.447426","-118.211670","21"
"AVin","34.450523","-118.202713","20"
"AVin","34.455933","-118.197464","19"
"AVin","34.466110","-118.196152","18"
"AVin","34.470245","-118.191422","17"
"AVin","34.471207","-118.175972","15"
"AVin","34.471886","-118.184807","16"
"AVin","34.475716","-118.170235","14"
"AVin","34.479671","-118.152832","12"
"AVin","34.479996","-118.160896","13"
"AVin","34.482639","-118.141190","11"
"AVin","34.489620","-118.131981","10"
"AVin","34.495613","-118.120140","9"
"AVin","34.514526","-118.106148","8"
"AVin","34.518509","-118.097099","7"
"AVin","34.525578","-118.089394","6"
"AVin","34.527500","-118.090736","5"
"AVin","34.530682","-118.098763","4"
"AVin","34.551830","-118.114243","3"
"AVin","34.564339","-118.114990","2"
"AVin","34.698437","-118.136238","1"
"AVout","34.054199","-118.234818","1"
"AVout","34.061203","-118.232292","2"
"AVout","34.062656","-118.225639","3"
"AVout","34.067303","-118.223961","4"
"AVout","34.081867","-118.226852","5"
"AVout","34.088478","-118.226555","6"
"AVout","34.092770","-118.229866","7"
"AVout","34.096504","-118.236328","8"
"AVout","34.113304","-118.247658","9"
"AVout","34.125179","-118.260521","10"
"AVout","34.156815","-118.277824","11"
"AVout","34.162693","-118.284691","12"
"AVout","34.177219","-118.310410","13"
"AVout","34.189552","-118.325272","14"
"AVout","34.226025","-118.378716","15"
"AVout","34.290302","-118.447395","16"
"AVout","34.312523","-118.476135","17"
"AVout","34.315456","-118.490982","18"
"AVout","34.319492","-118.494926","19"
"AVout","34.323376","-118.502121","20"
"AVout","34.356392","-118.518135","21"
"AVout","34.362431","-118.523491","22"
"AVout","34.373638","-118.522491","23"
"AVout","34.394608","-118.538513","24"
"AVout","34.398972","-118.537987","25"
"AVout","34.407959","-118.451859","38"
"AVout","34.409313","-118.456505","37"
"AVout","34.409481","-118.472206","36"
"AVout","34.410145","-118.446075","39"
"AVout","34.410755","-118.435921","40"
"AVout","34.412655","-118.522362","30"
"AVout","34.413906","-118.477829","35"
"AVout","34.414314","-118.527451","29"
"AVout","34.414886","-118.482132","34"
"AVout","34.416889","-118.428528","41"
"AVout","34.419193","-118.420883","42"
"AVout","34.419502","-118.505379","31"
"AVout","34.419621","-118.483482","33"
"AVout","34.419945","-118.541702","26"
"AVout","34.421276","-118.487953","32"
"AVout","34.421448","-118.536781","28"
"AVout","34.421776","-118.539825","27"
"AVout","34.422974","-118.416168","43"
"AVout","34.423126","-118.405899","44"
"AVout","34.428288","-118.349609","49"
"AVout","34.428623","-118.381996","46"
"AVout","34.430313","-118.390213","45"
"AVout","34.433136","-118.375275","47"
"AVout","34.433575","-118.346130","50"
"AVout","34.434093","-118.367599","48"
"AVout","34.437145","-118.234520","62"
"AVout","34.437569","-118.220024","64"
"AVout","34.437977","-118.246201","60"
"AVout","34.438595","-118.239700","61"
"AVout","34.438667","-118.225266","63"
"AVout","34.439217","-118.274849","58"
"AVout","34.439495","-118.319534","52"
"AVout","34.439880","-118.216087","65"
"AVout","34.439922","-118.300613","54"
"AVout","34.440102","-118.289009","56"
"AVout","34.440651","-118.323975","51"
"AVout","34.441795","-118.253647","59"
"AVout","34.442192","-118.281807","57"
"AVout","34.442249","-118.296417","55"
"AVout","34.442387","-118.308365","53"
"AVout","34.447426","-118.211670","66"
"AVout","34.450523","-118.202713","67"
"AVout","34.455933","-118.197464","68"
"AVout","34.466110","-118.196152","69"
"AVout","34.470245","-118.191422","70"
"AVout","34.471207","-118.175972","72"
"AVout","34.471886","-118.184807","71"
"AVout","34.475716","-118.170235","73"
"AVout","34.479671","-118.152832","75"
"AVout","34.479996","-118.160896","74"
"AVout","34.482639","-118.141190","76"
"AVout","34.489620","-118.131981","77"
"AVout","34.495613","-118.120140","78"
"AVout","34.514526","-118.106148","79"
"AVout","34.518509","-118.097099","80"
"AVout","34.525578","-118.089394","81"
"AVout","34.527500","-118.090736","82"
"AVout","34.530682","-118.098763","83"
"AVout","34.551830","-118.114243","84"
"AVout","34.564339","-118.114990","85"
"AVout","34.698437","-118.136238","86"
"IEOCin","33.187592","-117.375732","1"
"IEOCin","33.202255","-117.387833","2"
"IEOCin","33.224243","-117.394287","3"
"IEOCin","33.240505","-117.411850","4"
