stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,ModoPorO,Modoc & Portesuello,MODOC RD & PILGRIM TERRACE DR,34.424858,-119.72607,,,,,,0
2,SaAnValN,San Andres & Valerio,SAN ANDRES ST & W ISLAY ST,34.420714,-119.71894,,,,,,0
3,CarrSaPN,Carrillo & San Pascual,W CARRILLO ST & SAN PASCUAL ST,34.415231,-119.708745,,,,,,0
4,TC,Transit Center,CHAPALA ST & W CARRILLO ST,34.420949,-119.7036,,,,,,0
7,MontMilN,Montecito & Milpas,E MONTECITO ST & N ALISOS ST,34.424932,-119.6822,,,,,,0
8,SaliMonN,Salinas & Montecito,STATE HWY 144 & N ALISOS ST,34.428849,-119.67659,,,,,,0
9,PuGoSalO,Punta Gorda & Salinas,PUNTA GORDA ST & CACIQUE ST,34.422963,-119.668508,,,,,,0
10,MilpMonO,Milpas & Montecito,N MILPAS ST & E MONTECITO ST,34.424216,-119.68226,,,,,,0
12,SaAnValO,San Andres & Valerio,SAN ANDRES ST & W VALERIO ST,34.420618,-119.718609,,,,,,0
14,TreaSamO,Treasure & Samarkand,TREASURE DR & NOGALES AVE,34.430419,-119.7312,,,,,,0
15,StatSaRO,State & San Roque,STATE ST & LAS POSITAS RD,34.440496,-119.734617,,,,,,0
16,StatLaCO,State & La Cumbre,STATE ST & LA CUMBRE RD,34.440577,-119.7515,,,,,,0
17,StatBroO,State & Broadmoor,STATE ST & BROADMOOR PLZ,34.440493,-119.7373,,,,,,0
19,HillHous,Hillside House,VERONICA SPRINGS RD & STATE ST,34.419075,-119.743269,,,,,,0
20,ArBuBePa,Arroyo Burro Beach Park,CLIFF DR & STATE ST,34.404222,-119.742969,,,,,,0
21,ClifMeiN,Cliff & Meigs,STATE HWY 225 & MEIGS RD,34.401329,-119.721618,,,,,,0
22,SBCCO,SBCC,STATE HWY 225 & RAMP,34.406762,-119.701296,,,,,,0
23,SBCCN,SBCC,STATE HWY 225 & WELDON RD,34.406724,-119.700626,,,,,,0
24,HollTurN,Hollister & Turnpike,HOLLISTER AVE & S TURNPIKE RD,34.436539,-119.78893,,,,,,0
25,HollKelN,Hollister & Kellogg,HOLLISTER AVE & KELLOGG AVE,34.435562,-119.8211,,,,,,0
26,StorHolN,Storke & Hollister,STORKE RD & RAMP,34.429643,-119.86989,,,,,,0
27,SaFeMrkt,Santa Felicia & Marketplace,SANTA FELICIA DR & LA CUMBRE HILLS LN,34.428824,-119.875646,,,,,,0
28,HollStoN,Hollister & Storke,HOLLISTER AVE & CORTONA DR,34.430076,-119.868335,,,,,,0
29,StatLaPN,State & Las Positas,STATE ST & LAS POSITAS RD,34.44026,-119.73379,,,,,,0
31,CaReTrNW,Calle Real & Turnpike West,CALLE REAL & PEBBLE HILL DR,34.442769,-119.791352,,,,,,0
32,UnivPatO,University & Patterson,UNIVERSITY DR & PORTOFINO WAY,34.445418,-119.807482,,,,,,0
33,FairEncN,Fairview Ave & Encina Road,N FAIRVIEW AVE & ENCINA RD,34.442278,-119.830788,,,,,,0
35,EnciFaiO,Encina Road & Fairview Ave,ENCINA RD & PADOVA DR,34.443077,-119.83019,,,,,,0
37,CaOaFaiO,Cathedral Oaks & Fairview,CATHEDRAL OAKS RD & CAMBRIDGE DR,34.45157,-119.831161,,,,,,0
38,CoOaPatN,Cathedral Oaks & Patterson,CATHEDRAL OAKS RD & AVENIDA PEQUENA,34.452966,-119.80729,,,,,,0
39,CaOaTurN,Cathedral Oaks & Turnpike,CATHEDRAL OAKS RD & N SAN MARCOS RD,34.451252,-119.78979,,,,,,0
40,FootCieN,Foothill & Cieneguitas,STATE HWY 192 & EL SUENO RD,34.451401,-119.760224,,,,,,0
42,UCSBNH,UCSB North Hall,DRIVEWAY & CASTILLO ST,34.415207,-119.84789,,,,,,0
43,WiCyBraO,Winchester Canyon & Bradford,WINCHESTER CANYON RD & BRADFORD DR,34.434937,-119.900585,,,,,,0
44,DeGuLagO,De La Guerra & Laguna,E DE LA GUERRA ST & LAGUNA ST,34.423675,-119.695062,,,,,,0
45,MilpGutN,Milpas & Gutierrez,N MILPAS ST & E GUTIERREZ ST,34.425403,-119.68426,,,,,,0
46,CVRHotO,Coast Village & Hot Springs,COAST VILLAGE HWY & HOT SPRINGS RD,34.422065,-119.65158,,,,,,0
47,EaVaSaYO,East Valley & San Ysidro,STATE HWY 192 & SANTA ROSA LN,34.437115,-119.632571,,,,,,0
48,EaVaRomN,East Valley & Romero Canyon,STATE HWY 192 & EASTGATE LN,34.436046,-119.601892,,,,,,0
49,NoJaSheO,North Jameson & Sheffield,N JAMESON LN & EASTGATE LN,34.422348,-119.614727,,,,,,0
50,SaYsSaLO,San Ysidro & San Leandro,SAN YSIDRO RD & LA VEREDA RD,34.42423,-119.63148,,,,,,0
51,ElCoCorN,El Colegio & Camino Corto,EL COLEGIO RD & WHITTIER DR,34.41728,-119.86597,,,,,,0
53,SaPaCaPN,San Pascual & Canon Perdido,SAN PASCUAL ST & W CANON PERDIDO ST,34.414157,-119.707216,,,,,,0
54,CaPeSaPO,Canon Perdido & San Pascual,W CANON PERDIDO ST & SAN PASCUAL ST,34.414036,-119.707424,,,,,,0
55,LaPoRicN,Las Positas & Richelle,STATE HWY 225 & RICHELLE LN,34.416422,-119.740906,,,,,,0
56,ClifMesN,Cliff & Mesa,STATE HWY 225 & MESA LN,34.403759,-119.731146,,,,,,0
58,SBJHS,Santa Barbara  Jr High School,E COTA ST & N QUARANTINA ST,34.425008,-119.689149,,,,,,0
59,CaPeElCO,Cam. Pescadero & El Colegio,CAMINO PESCADERO & El Colegio Rd,34.416935,-119.85878,,,,,,0
60,CaSurPiN,Camino Del Sur & Picasso,CAMINO DEL SUR & PICASSO RD,34.41514,-119.862637,,,,,,0
63,HaleDeLN,Haley & De La Vina,W HALEY ST & DE LA VINA ST,34.414885,-119.697468,,,,,,0
64,CasMontN,Castillo & Montecito,STATE HWY 225 & CASTILLO ST,34.411069,-119.697841,,,,,,0
67,TurnLaGO,Turnpike & La Gama,N TURNPIKE RD & LANARK ST,34.446617,-119.790411,,,,,,0
68,LaCoJH,La Colina JH,STATE HWY 192 & COCOPAH DR,34.451599,-119.757315,,,,,,0
69,RhoaRipl,Rhoads & Ripley,RHOADS AVE & RIPLEY ST,34.430451,-119.791498,,,,,,0
70,WalnSaLo,Walnut & San Lorenzo,WALNUT LN & SAN LORENZO DR,34.430403,-119.802272,,,,,,0
72,GVJH,Goleta Valley Junior High,STOW CANYON RD & AMHERST DR,34.448986,-119.83597,,,,,,0
75,RancGutO,Rancheria & Gutierrez,RANCHERIA ST & W GUTIERREZ ST,34.410384,-119.699705,,,,,,0
77,CaReJenN,Calle Real & Jenna,,34.436588,-119.898208,,,,,,0
78,BranEveO,Brandon & Evergreen,BRANDON DR & EVERGREEN DR,34.439787,-119.892721,,,,,,0
79,HollSBSN,Hollister & Santa Barbara Shores,HOLLISTER AVE & PALO ALTO DR,34.429663,-119.892777,,,,,,0
82,CaOaFaiN,Cathedral Oaks & Fairview,CATHEDRAL OAKS RD & N FAIRVIEW AVE,34.451331,-119.830168,,,,,,0
83,FootCieO,Foothill & Cieneguitas,STATE HWY 192 & COCOPAH DR,34.451575,-119.760153,,,,,,0
84,SMHS,San Marcos High School,S TURNPIKE RD & SAN SIMEON DR,34.440101,-119.789225,,,,,,0
85,HollPatO,Hollister & Patterson,HOLLISTER AVE & S SAN MARCOS RD,34.435111,-119.81001,,,,,,0
87,HollArbN,Hollister & Arboleda,HOLLISTER AVE & AUHAY DR,34.439699,-119.771946,,,,,,0
89,PalePorO,Palermo & Portofino,PALERMO DR & PORTOFINO WAY,34.427564,-119.74689,,,,,,0
90,ModoPalN,Modoc & Palermo,MODOC RD & PALERMO DR,34.429115,-119.742034,,,,,,0
92,ElCoSaCa,Santa Catalina Hall,EL COLEGIO RD & CAMINO CORTO,34.417525,-119.86801,,,,,,0
95,OrHiEvaN,Ortega Hill & Evans,ORTEGA HILL RD & MIDDLE RD,34.421634,-119.600844,,,,,,0
96,Carp7thN,Carpinteria & Seventh,CARPINTERIA AVE & RAMP,34.401673,-119.525869,,,,,,0
97,CarpPalO,Carpinteria & Palm,STATE HWY 224 & CARPINTERIA AVE,34.396497,-119.515319,,,,,,0
98,MarkAve,Via Real & Mark,VIA REAL & MARK AVE,34.38527,-119.486667,,,,,,0
99,CarpCaPN,Carpinteria & Casitas Plaza In,CARPINTERIA AVE & CARPINTERIA AVE,34.394268,-119.512994,,,,,,0
100,ViReSaYO,Via Real & Santa Ynez,VIA REAL & SANTA YNEZ AVE,34.404568,-119.526952,,,,,,0
102,ViReSPMO,Via Real & Sandpiper MHP,VIA REAL & SANDPIPER DR,34.406224,-119.54147,,,,,,0
103,CarpPalN,Carpinteria & Palm,STATE HWY 224 & CARPINTERIA AVE,34.396167,-119.515217,,,,,,0
104,AnapSBN,Anapamu & Santa Barbara,E ANAPAMU ST & SANTA BARBARA ST,34.425301,-119.7023,,,,,,0
108,StorHolO,Storke & Hollister,STORKE RD & SANTA FELICIA DR,34.429107,-119.86952,,,,,,0
109,HollCaON,Hollister & Cathedral Oaks,HOLLISTER AVE & WINCHESTER PL,34.430926,-119.905809,,,,,,0
110,HollEntN,Hollister & Entrance,HOLLISTER AVE & ENTRANCE RD,34.429755,-119.885153,,,,,,0
114,CaReKinN,Calle Real & Kingston,CALLE REAL & KINGSTON AVE,34.440992,-119.8212,,,,,,0
115,ArreCasO,Arrellaga & Castillo,W ARRELLAGA ST & CASTILLO ST,34.422712,-119.714359,,,,,,0
116,CabrStaN,Cabrillo & State,STATE HWY 225 & STATE ST,34.41244,-119.688752,,,,,,0
117,StatSola,State & Sola,STATE ST & ARLINGTON AVE,34.425208,-119.706862,,,,,,0
118,CabrStaO,Cabrillo & State,STATE HWY 225 & HELENA AVE,34.411995,-119.68962,,,,,,0
119,Zoo,Santa Barbara Zoo,NINOS DR & POR LA MAR CIR,34.419212,-119.66838,,,,,,0
120,Harbor,Harbor,HARBOR WAY & STATE HWY 225,34.403927,-119.694742,,,,,,0
122,ElCaPark,El Carro & El Carro Park,EL CARRO LN & CAMINO TRILLADO,34.404013,-119.511288,,,,,,0
123,SaYnViRe,Santa Ynez & Via Real,SANTA YNEZ AVE & VIA REAL,34.40464,-119.526646,,,,,,0
125,MounVale,Mountain & Valerio,MOUNTAIN AVE & W VALERIO ST,34.416694,-119.722333,,,,,,0
126,AnacAnaN,Anacapa & Anapamu,ANACAPA ST & E ANAPAMU ST,34.42408,-119.70295,,,,,,0
127,CotaOliN,Cota & Olive,E COTA ST & N SALSIPUEDES ST,34.423108,-119.690979,,,,,,0
128,FranCenN,Franklin Center,E MONTECITO ST & N ALISOS ST,34.427305,-119.67968,,,,,,0
136,CaOaAlph,Cathedral Oaks & Alpha Resource,CAMINO DEL REMEDIO,34.451353,-119.776096,,,,,,0
143,WiCyBraN,Winchester Canyon & Bradford,WINCHESTER CANYON RD & BRADFORD DR,34.434793,-119.900439,,,,,,0
144,HollPaON,Hollister & Pacific Oaks,HOLLISTER AVE & PACIFIC OAKS RD,34.429922,-119.87715,,,,,,0
153,CotaOliO,Cota & Olive,E COTA ST & OLIVE ST,34.42294,-119.691368,,,,,,0
156,StatLaCN,State & La Cumbre,STATE ST & LA CUMBRE RD,34.440346,-119.750451,,,,,,0
157,HollTurO,Hollister & Turnpike,HOLLISTER AVE & S TURNPIKE RD,34.436526,-119.79032,,,,,,0
164,EnciFaiN,Encina Road & Fairview Ave,ENCINA RD & N FAIRVIEW AVE,34.442933,-119.82988,,,,,,0
173,StatMisN,State & Mission,STATE ST & W PEDREGOSA ST,34.430584,-119.714463,,,,,,0
