stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
40001,40001,"Main St & Folsom St-Transbay Terminal",,  37.789703,-122.392197,1
40006,40006,"Folsom St & 2nd St",,  37.785618,-122.396530,1
40009,40009,"Howard St & 2nd St",,  37.786678,-122.398453,1
40012,40012,"4th St & Folsom St",,  37.781784,-122.400993,1
40018,40018,"Folsom St & 7th St",,  37.776505,-122.408104,1
40019,40019,"7th St & Market St",,  37.780727,-122.412750,1
40020,40020,"8th St & Mission St",,  37.777290,-122.413071,1
40021,40021,"Hyde St & McAllister St",,  37.781029,-122.415443,1
40022,40022,"McAllister St & Hyde St",,  37.780731,-122.415558,1
40023,40023,"San Francisco Civic Ctr-Golden Gate Ave & Polk St",,  37.781197,-122.418610,1
40024,40024,"McAllister St & Polk St- San Francisco Civic Ctr",,  37.780289,-122.418831,1
40025,40025,"Van Ness Ave & O'Farrell St",,  37.785015,-122.421402,1
40027,40027,"Van Ness Ave & Sutter St",,  37.787357,-122.421906,1
40028,40028,"Van Ness Ave & Sutter St",,  37.787724,-122.421654,1
40029,40029,"Van Ness Ave & Sacramento St",,  37.791603,-122.422722,1
40030,40030,"Van Ness Ave & Clay St",,  37.792355,-122.422577,1
40031,40031,"Van Ness Ave & Union St",,  37.798824,-122.424225,1
40032,40032,"Van Ness Ave & Union St",,  37.798481,-122.423836,1
40033,40033,"Lombard St & Fillmore St",,  37.799721,-122.436401,1
40034,40034,"Lombard St & Fillmore St",,  37.799961,-122.435974,1
40035,40035,"Richardson Ave & Lyon St",,  37.800785,-122.447868,1
40036,40036,"Richardson Ave & Francisco St",,  37.800171,-122.446663,1
40037,40037,"Golden Gate Bridge Toll Plaza-Hwy 101",,  37.806713,-122.475479,1
40038,40038,"Golden Gate Bridge Toll Plaza-Hwy 101",,  37.807365,-122.475266,1
40039,40039,"Van Ness Ave & Chestnut St",,  37.802444,-122.424637,1
40040,40040,"Van Ness Ave & Chestnut St",,  37.802086,-122.424850,1
40041,40041,"North Point St & Hyde St",,  37.805599,-122.420784,1
40042,40042,"North Point St & Hyde St",,  37.805790,-122.420280,1
40043,40043,"North Point St & Jones St",,  37.806068,-122.417191,1
40044,40044,"North Point St & Jones St",,  37.806194,-122.417313,1
40045,40045,"North Point St & Stockton St",,  37.806900,-122.410622,1
40046,40046,"North Point St & Stockton St",,  37.807060,-122.410149,1
40047,40047,"Battery St & Filbert St",,  37.802200,-122.401886,1
40048,40048,"Sansome St & Filbert St",,  37.802330,-122.402954,1
40049,40049,"Battery St & Jackson St",,  37.796833,-122.400764,1
40050,40050,"Sansome St & Pacific St",,  37.797672,-122.402023,1
40051,40051,"Battery St & Sacramento St",,  37.794220,-122.400246,1
40052,40052,"Sansome St & Sacramento St",,  37.794266,-122.401344,1
40053,40053,"Battery St & Pine St",,  37.791683,-122.399719,1
40054,40054,"1st St & Stevenson St",,  37.790733,-122.398903,1
40055,40055,"The Embarcadero & Bay St",,  37.806847,-122.406448,1
40056,40056,"North Point St & The Embarcadero",,  37.807236,-122.408554,1
40057,40057,"Fremont St & Mission St",,  37.790630,-122.396843,1
40058,40058,"Battery St & Green St",,  37.801010,-122.401627,1
40060,40060,"Golden Gate Ave & Laguna St",,  37.780109,-122.427139,1
40061,40061,"McAllister St & Laguna St",,  37.779324,-122.426735,1
40063,40063,"Van Ness Ave & Chestnut St",,  37.802338,-122.424896,1
40065,40065,"North Point St & Polk St",,  37.805313,-122.423897,1
40066,40066,"Battery St & Broadway",,  37.798397,-122.401100,1
40068,40068,"Howard St & Fremont St",,  37.789474,-122.394958,1
40069,40069,"Pine St & Battery St",,  37.792381,-122.399284,1
40074,40074,"Fremont St & Mission St",,  37.790421,-122.396576,1
