route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
b4ad95bf-97c0-46c5-9b8c-02ae00bcc9ec,d139e461-175c-4156-beb0-e6a23b64d978,"39AM","ROUTE 39 AM","SOUTHPORT COMMUTE - 39 AM",3,18468F,FFFFFF
a97747af-e086-45c1-97ba-f042c7a47c2f,d139e461-175c-4156-beb0-e6a23b64d978,"217AM","ROUTE 217 AM","DUNNIGAN - 217 AM",3,00B6DD,000000
a8e4bbf7-903b-4ea9-862f-730fab7f23d6,d139e461-175c-4156-beb0-e6a23b64d978,"45PM","ROUTE 45 PM","WOODLAND EXPRESS - 45 PM",3,EF4135,000000
20ce23e0-06be-40e1-bd60-ee17b0fe03ed,d139e461-175c-4156-beb0-e6a23b64d978,"214","ROUTE 214","EAST WOODLAND LOCAL - 214",3,F08434,000000
89be56d4-b4a1-4131-a585-0da92a0c37a7,d139e461-175c-4156-beb0-e6a23b64d978,"42A","ROUTE 42A","INTERCITY CLOCKWISE - 42A",3,17468F,FFFFFF
4ced9216-861d-410a-a90f-1755bd2121a7,d139e461-175c-4156-beb0-e6a23b64d978,"211","ROUTE 211","WEST WOODLAND LOCAL - 211",3,1B559E,000000
37d6d581-21c3-4e96-bec8-5f7d1d968a5b,d139e461-175c-4156-beb0-e6a23b64d978,"230AM","ROUTE 230 AM","DAVIS EXPRESS - 230 AM",3,0054A3,FFFFFF
bb1a462a-a778-408b-b7f8-c56051f937b9,d139e461-175c-4156-beb0-e6a23b64d978,"212","ROUTE 212","EAST WOODLAND LOCAL - 212",3,F08434,000000
10ea8f6c-402e-43e2-a805-8ac14b82392d,d139e461-175c-4156-beb0-e6a23b64d978,"220EB","ROUTE 220 EB","DAVIS/WINTERS/VACAVILLE - 220 EB",3,1A559D,000000
7d2d58ba-0b11-47d2-928d-f85be61a9cf5,d139e461-175c-4156-beb0-e6a23b64d978,"231PM","ROUTE 231 PM","DAVIS EXPRESS - 231 PM",3,EF4034,000000
a99c70a1-38cb-49fc-a8c3-9a0be4caf225,d139e461-175c-4156-beb0-e6a23b64d978,"340A","ROUTE 340-A","CALSTRS/ZIGGURAT/AMTRAK - 340-A",3,F04E2A,000000
1b014349-5f4f-478b-ac7a-92687a66af3c,d139e461-175c-4156-beb0-e6a23b64d978,"241AM","ROUTE 241 AM","WEST SACRAMENTO COMMUTE - 241 AM",3,18468F,FFFFFF
c0d41dc1-58bf-427d-ac7f-0697d0ac3fba,d139e461-175c-4156-beb0-e6a23b64d978,"243AM","ROUTE 243 AM","WOODLAND/DAVIS - 243 AM",3,7D9ACC,000000
b8e1402e-91a4-4a01-b04f-f99d3a55e547,d139e461-175c-4156-beb0-e6a23b64d978,"216AM","ROUTE 216 AM","KNIGHTS LANDING - 216 AM",3,00B6DD,000000
