service_id,date,exception_type
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20161002,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161004,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161005,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161010,1
42b038c6-d745-4dec-9417-2c1bc5957092,20161008,1
67a7b53c-48f5-4716-b569-d030280dc3db,20161015,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161018,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161020,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161027,1
67a7b53c-48f5-4716-b569-d030280dc3db,20161029,1
42b038c6-d745-4dec-9417-2c1bc5957092,20161112,1
42b038c6-d745-4dec-9417-2c1bc5957092,20161210,1
42b038c6-d745-4dec-9417-2c1bc5957092,20170114,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170103,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170104,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170105,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170106,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20170107,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20170108,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170109,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170110,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170111,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170112,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170113,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20170115,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170116,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170117,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170118,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170119,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170120,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20170121,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20170122,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170123,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170124,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170125,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170126,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170127,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20170128,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20170129,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170130,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170131,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20170201,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161223,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20161224,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161227,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161228,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161229,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161109,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20161113,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161114,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161115,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161117,1
3c550973-d966-4334-b2d8-916771cd87d4,20170102,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20161120,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161101,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161102,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161103,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161104,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161007,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161003,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161006,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161230,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20161231,1
3c550973-d966-4334-b2d8-916771cd87d4,20161226,1
93de6013-13d2-42aa-9c0e-1587c4a0015f,20161225,1
93de6013-13d2-42aa-9c0e-1587c4a0015f,20170101,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20161119,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161121,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161122,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161123,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20161126,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20161127,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161128,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161129,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161130,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161201,1
93de6013-13d2-42aa-9c0e-1587c4a0015f,20161124,1
3c550973-d966-4334-b2d8-916771cd87d4,20161125,1
3c550973-d966-4334-b2d8-916771cd87d4,20161111,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20161105,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20161106,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161107,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161202,1
18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,20161203,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20161204,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161205,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161206,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161207,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161208,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161209,1
a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,20161211,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161212,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161213,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161214,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161215,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161108,1
0216aad7-8464-4cd5-86c3-bdcfc6829e1e,20161110,1
3020bf5e-d46e-4ae5-ae93-d9371be32535,20161011,1
