route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
e146258a-a357-4646-9909-a0ba5b032813,3020bf5e-d46e-4ae5-ae93-d9371be32535,a58e3abc-153f-452c-9507-06f1514f6dc9,e0981062-6b78-4bfe-bbdb-6f28f86785c7,"West Sacramento Local",0,46de4f53-b7a2-4b58-87c0-0124e0b0bcb5
20ce23e0-06be-40e1-bd60-ee17b0fe03ed,3020bf5e-d46e-4ae5-ae93-d9371be32535,ecb73928-3701-42d1-8636-5fcf89f270ea,ac4fcfae-21a9-43c4-9f2f-ecbda40ca66e,"East Woodland Local - Clockwise",0,0d226428-e5f3-4214-8417-a83cc3bbb95b
a8e4bbf7-903b-4ea9-862f-730fab7f23d6,3020bf5e-d46e-4ae5-ae93-d9371be32535,0cbd409d-e8e7-435d-9544-9aebe278dd2d,305087fb-bfb2-4af4-9be5-4fba4704b751,"Sacramento/Woodland Express PM",0,395f155b-84ac-474d-a0b2-3a1a7bf59d28
89be56d4-b4a1-4131-a585-0da92a0c37a7,18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,329711a6-3a62-41b7-8a70-257df01ae85f,b5adbc6f-b64f-4ccd-9606-76eec5189afb,"Intercity Clockwise",1,cc57bf31-72d3-4ec9-832f-a4fde39435c5
89be56d4-b4a1-4131-a585-0da92a0c37a7,18b5f83a-92ec-4e2f-b8aa-d5c170b1aee8,b1470c16-c181-4677-a6c9-4f31e94e0e33,b5adbc6f-b64f-4ccd-9606-76eec5189afb,"Intercity Clockwise",1,3576d520-9b4b-45f3-bbf2-3a22eeb4a7ea
1764153e-7765-4fe1-a54a-cd831670d466,3020bf5e-d46e-4ae5-ae93-d9371be32535,2d710fb1-856a-4017-b0b8-ae592acc93e0,824e70fd-951a-474c-ae70-c6e944a8c18c,"West Sacramento Local",0,11641a06-753c-499c-8326-18f722deb03a
e146258a-a357-4646-9909-a0ba5b032813,a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,2ce93420-30fd-498c-84fc-6a0dca731508,e0981062-6b78-4bfe-bbdb-6f28f86785c7,"West Sacramento Local",0,171a655a-2e8c-435b-abeb-23a828f2b164
e146258a-a357-4646-9909-a0ba5b032813,a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,c3b5deec-7f0c-465c-8234-3ab010b320e5,e0981062-6b78-4bfe-bbdb-6f28f86785c7,"West Sacramento Local",0,171a655a-2e8c-435b-abeb-23a828f2b164
e146258a-a357-4646-9909-a0ba5b032813,a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,dc239459-f250-4a95-bca7-2cffcf03359a,e0981062-6b78-4bfe-bbdb-6f28f86785c7,"West Sacramento Local",0,171a655a-2e8c-435b-abeb-23a828f2b164
e146258a-a357-4646-9909-a0ba5b032813,a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,96ed28c3-a59b-4845-9977-234f61ae2166,e0981062-6b78-4bfe-bbdb-6f28f86785c7,"West Sacramento Local",0,171a655a-2e8c-435b-abeb-23a828f2b164
e146258a-a357-4646-9909-a0ba5b032813,a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,62a08462-0b81-439b-a9a8-4a8597578f01,e0981062-6b78-4bfe-bbdb-6f28f86785c7,"West Sacramento Local",0,171a655a-2e8c-435b-abeb-23a828f2b164
e146258a-a357-4646-9909-a0ba5b032813,a5fee6e7-44e6-4332-a2e5-ace9dcff1be3,705428b5-1c8d-4212-844f-69ae3e9dd264,e0981062-6b78-4bfe-bbdb-6f28f86785c7,"West Sacramento Local",0,171a655a-2e8c-435b-abeb-23a828f2b164
