stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
c8bc4afa-d857-4d0a-86e3-c117874c6b93,"23093","Matmor at E. Gibson SB","""Matmor at E. Gibson""",38.6640358665011,-121.756478205709,0
1cde3a78-e935-4840-a880-ecd6722be049,"23062","E. Gibson at Washington WB","",38.6628261901633,-121.75946618673,0
02350227-bfd9-46b8-923a-9a4ee6f2c2a4,"23362","E. Gibson at County Fair Mall WB","",38.6628168024312,-121.76193650138,0
1bd24f10-5c90-46b4-826e-888c1b9bd29c,"23306","County Fair Mall","",38.6598878300123,-121.764565066371,0
913425c5-4421-4785-996a-e8a9d02bc97b,"23073","Industrial at E. Main SB","""Industrial at E. Main""",38.6779283689218,-121.752937689599,0
ba5a68da-afdc-4e50-8066-106fe73c6f44,"23473","West Sacramento Transit Center","",38.5809329796394,-121.522479595094,0
06f70a73-e097-4a17-b2e1-aa2390db4a6c,"23585","County Fair Mall - Depart","",38.6598878300123,-121.764011190177,0
887f25d9-008b-4191-a359-b5632a2ffefa,"23056","Gibson at Coloma","",38.6628972687064,-121.769909368152,0
7f09721d-1ace-4f1d-8abb-be19f761f57f,"23055","Gibson at College WB","",38.6629307963211,-121.775150404879,0
d5d61c06-315f-4c22-a5a6-8eff67eac502,"23061","Gibson at Spruce","",38.6629562773082,-121.778053896311,0
142b430b-a8be-4217-9491-ceec4e0e390b,"23064","W. Gibson at West WB","""Gibson at West""",38.6630018748642,-121.785002159178,0
e5936ef2-0682-4bf9-908c-f34f20283667,"23058","W. Gibson at Midway WB","""W. Gibson at Midway""",38.6630300380606,-121.787068801348,0
545437fd-de38-4037-adf1-ad64c16e8c09,"23051","W. Gibson at Amherst WB","""W. Gibson at Amherst""",38.6630716123028,-121.791554796192,0
a452026e-cf01-4c69-b6d6-7e4a73a31610,"23031","Cottonwood at W. Gibson NB","""Hospital""",38.6641900935286,-121.79336662849,0
97664ef4-ad0e-4999-b295-516030e56a4b,"23037","Cottonwood at W. Southwood NB","""""",38.6695799928653,-121.793333100875,0
3ebb3431-3bc3-4a5e-a2ef-6335b6f21eb4,"23029","Cottonwood at W. Cross NB","""""",38.6719859344951,-121.793312984306,0
15026b11-53c3-4e83-8166-b6cf70e596b5,"23033","Cottonwood at W. Lincoln NB","""""",38.6757061586205,-121.793276774483,0
eae1bf76-6946-4d27-843a-b21d58d68a40,"23075","W. Lincoln at Ashley WB","""W. Lincoln at Ashley""",38.6758925721581,-121.797255831793,0
575c87cf-d9eb-4554-84a3-aa96b04d42d6,"23305","W. Lincoln at Rd 98 WB","",38.6755371794425,-121.801319378693,0
