timetable_id,stop_id,stop_sequence,stop_name,connected_routes
21,5230,10,Railroad Ave @ Amtrak (Suisun City Amtrak Station),"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
21,28637,11,Main St. and Driftwood Dr.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
21,28638,12,Main St. and California St.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
21,28639,13,Cordelia St. and West St.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
21,795553,14,Pennsylvania Ave. & Ohio St.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
21,805482,15,Woolner Ave and Gregory St,5/FTC/Suisun Senior Center
21,28598,16,Woolner Ave and Vine Dr.,5/FTC/Suisun Senior Center
21,28599,17,Beck Ave and Woolner Ave,"5/FTC/Suisun Senior Center, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library"
21,5351,18,Fairfield Transportation Center (FTC),"1/FTC/Walmart, 20/Fairfield/Vacaville, 30/Sacramento/Davis/Fairfield, 3/FTC/Solano Town Center/Walmart, 40/WC/PH BART - Vacaville/Fairfield, 5/FTC/Suisun Senior Center, 7AT/Rodriguez High School, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
22,28628,1,Merganser Dr. and Wigeon Way (Suisun City Post Office),"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28720,2,Pintail Dr. and Wigeon Way,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28629,3,Buena Vista Ave and Village Dr.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28630,4,Buena Vista Ave. and Pittier Way,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28631,5,Buena Vista Ave and Marina Blvd.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28632,6,Marina Blvd. and Lotz Way,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28634,7,Driftwood Dr. and Josiah Way,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28623,8,Civic Center Dr @ Suisun City Hall,5/FTC/Suisun Senior Center
