service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
VNYoA,1,1,1,1,1,1,1,20110801,20250722
VNYiA,1,1,1,1,1,1,1,20110801,20250722
WWDiA,1,1,1,1,1,1,1,20110801,20250722
WWDoA,1,1,1,1,1,1,1,20110801,20250722
USTiA,1,1,1,1,1,1,1,20110801,20250722
USTiW,1,1,1,1,1,0,0,20110801,20250722
USTiE,0,0,0,0,0,1,1,20110801,20250722
USToA,1,1,1,1,1,1,1,20110801,20250722
HWDiA,1,1,1,1,1,1,1,20140903,20250722
HWDoA,1,1,1,1,1,1,1,20140903,20250722
OLViA,1,1,1,1,1,1,1,20150601,20250722
OLVoA,1,1,1,1,1,1,1,20150601,20250722
LGBiA,1,1,1,1,1,1,1,20151230,20250722
LGBoA,1,1,1,1,1,1,1,20151230,20250722

CSHTLiA,1,1,1,1,1,1,1,20110801,20240722
CSHTLoA,1,1,1,1,1,1,1,20110801,20240722
GSHTLiA,1,1,1,1,1,1,1,20110801,20240722
GSHTLoA,1,1,1,1,1,1,1,20110801,20240722
