trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
VNYiA0300,04:05:00,04:05:00,LAXT7U,70,Van Nuys to LAX,1,0,,0
VNYiA0330,03:30:00,03:30:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0330,04:10:00,04:10:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
VNYiA0330,04:13:00,04:13:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0330,04:16:00,04:16:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
VNYiA0330,04:20:00,04:20:00,LAXTBU,35,Van Nuys to LAX,1,0,,0
VNYiA0330,04:24:00,04:24:00,LAXT4U,40,Van Nuys to LAX,1,0,,0
VNYiA0330,04:27:00,04:27:00,LAXT5U,50,Van Nuys to LAX,1,0,,0
VNYiA0330,04:35:00,04:35:00,LAXT6U,60,Van Nuys to LAX,1,0,,0
VNYiA0330,04:35:00,04:35:00,LAXT7U,70,Van Nuys to LAX,1,0,,0
VNYiA0400,04:00:00,04:00:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0400,04:40:00,04:40:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
VNYiA0400,04:43:00,04:43:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0400,04:46:00,04:46:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
VNYiA0400,04:50:00,04:50:00,LAXTBU,35,Van Nuys to LAX,1,0,,0
VNYiA0400,04:54:00,04:54:00,LAXT4U,40,Van Nuys to LAX,1,0,,0
VNYiA0400,04:57:00,04:57:00,LAXT5U,50,Van Nuys to LAX,1,0,,0
VNYiA0400,05:05:00,05:05:00,LAXT6U,60,Van Nuys to LAX,1,0,,0
VNYiA0400,05:05:00,05:05:00,LAXT7U,70,Van Nuys to LAX,1,0,,0
VNYiA0430,04:30:00,04:30:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0430,05:10:00,05:10:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
