stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"89014","89014",1st Street & Chelsea Avenue,38.300278,-122.31,,"","","0","","",""
"89005","89005",1st Street & Freeway Drive,38.299722,-122.307222,,"","","0","","",""
"89015","89015",2nd Street & California Blvd,38.296944,-122.299722,,"","","0","","",""
"89016","89016",2nd Street & Patchett Street,38.296513,-122.2948694,,"","","0","","",""
"89059","89059",3rd Street & Bailey Street,38.298889,-122.278611,,"","","0","","",""
"89304","89304",3rd Street & Brown Street,38.297433,-122.28482,,"","","0","","",""
"89018","89018",3rd Street & Coombs Street,38.2971109,-122.2860503,,"","","0","","",""
"89017","89017",3rd Street & Jefferson Street,38.295556,-122.2925,,"","","0","","",""
"89102","89102",3rd Street & Juarez Street (NE),38.299444,-122.276667,,"","","0","","",""
"89060","89060",3rd Street & Juarez Street (SE),38.299167,-122.276667,,"","","0","","",""
"89264","89264",American Canyon Post Office (NE),38.168333,-122.255556,,"","","0","","",""
"89265","89265",American Canyon Post Office (NW),38.168611,-122.255833,,"","","0","","",""
"89089","89089",Beard Road & La Homa Drive,38.318611,-122.294444,,"","","0","","",""
"89208","89208",Broadway Street & Mini Drive,38.153333,-122.252778,,"","","0","","",""
"89010","89010",Browns Valley Road & Austin Way,38.304722,-122.329444,,"","","0","","",""
"89298","89298",Browns Valley Road & Dezarai Court,38.305611,-122.333109,,"","","0","","",""
"89299","89299",Browns Valley Road & Linda Vista Avenue,38.302881,-122.319006,,"","","0","","",""
"89296","89296",Browns Valley Road & Partrick Road,38.306567,-122.340824,,"","","0","","",""
"89300","89300",Browns Valley Road & Rowena Lane,38.305507,-122.336839,,"","","0","","",""
"89011","89011",Browns Valley Road & Thompson Avenue,38.303611,-122.322778,,"","","0","","",""
"89007","89007",Browns Valley Road & Thornhill Drive,38.303889,-122.323333,,"","","0","","",""
"89297","89297",Browns  Valley Road & Westview Drive,38.305856,-122.333147,,"","","0","","",""
"89148","89148",Byway Street East & El Centro Avenue,38.333333,-122.319167,,"","","0","","",""
"89150","89150",Byway Street East & Monarch Drive,38.3369858,-122.3217452,,"","","0","","",""
"89149","89149",Byway Street East & Reed Circle,38.3360601,-122.320962,,"","","0","","",""
"89151","89151",Byway Street East & Salvador Avenue,38.34,-122.322778,,"","","0","","",""
"89147","89147",Cask Way & Wise Drive,38.331944,-122.316389,,"","","0","","",""
"89301","89301",Chamberlain High School,38.279797,-122.256793,,"","","0","","",""
"89110","89110",Claremont Way & Jefferson Street,38.320833,-122.300278,,"","","0","","",""
"89111","89111",Claremont Way & Permanente Way,38.320833,-122.302222,,"","","0","","",""
"89058","89058",Coombs Street & 4th Street,38.296111,-122.285,,"","","0","","",""
"89057","89057",Coombs Street & 5th Street,38.295556,-122.284444,,"","","0","","",""
"89054","89054",Coombs Street & Elm Street,38.288611,-122.286389,,"","","0","","",""
"89056","89056",Coombs Street & Oak Street,38.293333,-122.284722,,"","","0","","",""
"89055","89055",Coombs Street & Pine Street,38.290278,-122.285833,,"","","0","","",""
"89227","89227",Devlin Road & Airport Blvd (SB),38.223347,-122.262427,,"","","0","","",""
"89228","89228",Devlin Road (NB),38.225643,-122.262779,,"","","0","","",""
"89198","89198",Devlin Road (SB),38.236667,-122.264444,,"","","0","","",""
"89223","89223",Donaldson Way & Benton Way (SE),38.170278,-122.261667,,"","","0","","",""
"89160","89160",Downtown Calistoga,38.577177,-122.579755,,"","","0","","",""
"89081","89081",East Avenue & 1st Street,38.303611,-122.273056,,"","","0","","",""
"89083","89083",East Avenue & Clark Street,38.310556,-122.274167,,"","","0","","",""
"89101","89101",East Avenue & Evans Avenue,38.302778,-122.273333,,"","","0","","",""
"89082","89082",East Avenue & Highland Drive (NW),38.306944,-122.273611,,"","","0","","",""
"89080","89080",East Avenue & Montecito Blvd,38.302222,-122.273611,,"","","0","","",""
"89079","89079",East Avenue & Silverado Trail,38.300278,-122.275,,"","","0","","",""
"89267","89267",El Cerrito BART Station,37.924167,-122.316389,,"","","0","","",""
"89203","89203",Elliott Drive & American Canyon Road (NW),38.166111,-122.261667,,"","","0","","",""
"89222","89222",Elliott Drive & American Canyon Road (SE),38.166111,-122.261389,,"","","0","","",""
"89207","89207",Elliott Drive & Maria Drive,38.1525,-122.2575,,"","","0","","",""
"89219","89219",Elliott Drive & Severus Drive,38.155,-122.258611,,"","","0","","",""
"89306","89306",Fairfield Transportation Center,38.248427,-122.06892,,"","","0","","",""
"89028","89028",Foothill Blvd & Greco Drive,38.288889,-122.31,,"","","0","","",""
"89026","89026",Foothill Blvd & Hilltop Drive,38.293056,-122.31,,"","","0","","",""
"89027","89027",Foothill Blvd & Pine Street,38.290833,-122.31,,"","","0","","",""
"89043","89043",Foster Road & Idaho Street,38.287222,-122.3075,,"","","0","","",""
"89045","89045",Foster Road & Imola Avenue,38.281667,-122.305556,,"","","0","","",""
"89044","89044",Foster Road & Indiana Street,38.284444,-122.306667,,"","","0","","",""
"89037","89037",Franklin Street & Division Street,38.295,-122.286667,,"","","0","","",""
"89050","89050",Gasser Drive & Hartle Court (NE),38.281389,-122.278333,,"","","0","","",""
"89040","89040",Health & Human Services (NE),38.249391,-122.274893,,"","","0","","",""
"89311","89311",Highway 12 & Highway 29 Gateway Junction (NB),38.223004,-122.256818,,"","","0","","",""
"89262","89262",Highway 29 & Brannan Street,38.583333,-122.574444,,"","","0","","",""
"89164","89164",Highway 29 & Byrd Hill Lane,38.525556,-122.498056,,"","","0","","",""
"89168","89168",Highway 29 & Dowdell Lane (SB),38.497778,-122.460556,,"","","0","","",""
"89161","89161",Highway 29 & Dunaweal Lane (SB),38.564722,-122.5575,,"","","0","","",""
"89165","89165",Highway 29 & Main Street & Elmhurst Avenue,38.508333,-122.475833,,"","","0","","",""
"89167","89167",Highway 29 & Main Street & Mitchell Drive,38.502778,-122.466389,,"","","0","","",""
"89162","89162",Highway 29 & Peterson Drive (SB),38.558056,-122.533889,,"","","0","","",""
"89225","89225",Highway 29 & Rio Del Mar (SW),38.178889,-122.255556,,"","","0","","",""
"89252","89252",Highway 29 & Zinfandel Lane (NB),38.482222,-122.441944,,"","","0","","",""
"89068","89068",Imola Ave & Navarre Street,38.27989,-122.260007,,"","","0","","",""
"89052","89052",Imola Avenue & Gasser Drive,38.280833,-122.2775,,"","","0","","",""
"89049","89049",Imola Avenue & Jefferson Sreet,38.281667,-122.2925,,"","","0","","",""
"89046","89046",Imola Avenue & Kent Street,38.281667,-122.303333,,"","","0","","",""
"89048","89048",Imola Avenue & Minahen Street,38.281667,-122.295556,,"","","0","","",""
"89069","89069",Imola Avenue & Parrish Road,38.280085,-122.26423,,"","","0","","",""
"89047","89047",Imola Park & Ride (Golden Gate Drive),38.281667,-122.301944,,"","","0","","",""
"89119","89119",Jefferson Street & B Street,38.302222,-122.293889,,"","","0","","",""
"89103","89103",Jefferson Street & Calistoga Avenue,38.3,-122.293056,,"","","0","","",""
"89104","89104",Jefferson Street & Cedar Avenue,38.301389,-122.293333,,"","","0","","",""
"89093","89093",Jefferson Street & Claremont Way,38.321111,-122.299444,,"","","0","","",""
"89105","89105",Jefferson Street & D Street,38.303611,-122.294167,,"","","0","","",""
"89142","89142",Jefferson Street & El Capitan Way (SE),38.327222,-122.303333,,"","","0","","",""
"89158","89158",Jefferson Street & El Capitan Way (SW),38.326667,-122.303056,,"","","0","","",""
"89033","89033",Jefferson Street & Elm Street,38.29,-122.294167,,"","","0","","",""
"89118","89118",Jefferson Street & F Street,38.305556,-122.295,,"","","0","","",""
"89107","89107",Jefferson Street & George Street,38.31,-122.296111,,"","","0","","",""
"89117","89117",Jefferson Street & H Street (NW),38.306667,-122.295278,,"","","0","","",""
"89154","89154",Jefferson Street & Joshua Court,38.338889,-122.312222,,"","","0","","",""
"89038","89038",Jefferson Street & Laurel Street,38.292222,-122.294167,,"","","0","","",""
"89314","89314",Jefferson Street & Lincoln Avenue (NE),38.308456,-122.295675,,"","","0","","",""
"893184","893184",Jefferson Street & Lincoln Avenue (SW),38.283611,-122.288333,,"","","0","","",""
"890741","890741",Jefferson Street & Lincoln Avenue (SW),38.285,-122.275556,,"","","0","","",""
"890851","890851",Jefferson Street & Lincoln Avenue (SW),38.310278,-122.283333,,"","","0","","",""
"892021","892021",Jefferson Street & Lincoln Avenue (SW),38.170833,-122.262222,,"","","0","","",""
"892261","892261",Jefferson Street & Lincoln Avenue (SW),38.184871,-122.254738,,"","","0","","",""
"893175","893175",Jefferson Street & Lincoln Avenue (SW),38.179131,-122.25482,,"","","0","","",""
"892042","892042",Jefferson Street & Lincoln Avenue (SW),38.161667,-122.260111,,"","","0","","",""
"89319","89319",Jefferson Street & Lincoln Avenue (SW),38.577376,-122.579483,,"","","0","","",""
"893173","893173",Jefferson Street & Lincoln Avenue (SW),38.301688,-122.314952,,"","","0","","",""
"893176","893176",Jefferson Street & Lincoln Avenue (SW),38.2844628,-122.2743774,,"","","0","","",""
"893177","893177",Jefferson Street & Lincoln Avenue (SW),38.3179055,-122.285074,,"","","0","","",""
"893185","893185",Jefferson Street & Lincoln Avenue (SW),38.310183,-122.285111,,"","","0","","",""
"890921","890921",Jefferson Street & Lincoln Avenue (SW),38.323333,-122.296667,,"","","0","","",""
"891161","891161",Jefferson Street & Lincoln Avenue (SW),38.309226,-122.296,,"","","0","","",""
"891401","891401",Jefferson Street & Lincoln Avenue (SW),38.3227539,-122.2992683,,"","","0","","",""
"893172","893172",Jefferson Street & Lincoln Avenue (SW),38.302366,-122.31709,,"","","0","","",""
"893174","893174",Jefferson Street & Lincoln Avenue (SW),38.287765,-122.297848,,"","","0","","",""
