stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2307267,,"Visalia Transit Center","",36.331416,-119.28844,,,0,,,0
2307220,,"Center & Court","",36.331156,-119.29152,,,0,,,0
2307221,,"Center & Encina","",36.331119,-119.294783,,,0,,,0
2307222,,"Center & Willis","",36.331119,-119.298196,,,0,,,0
2307223,,"Center & Conyer","",36.331089,-119.300873,,,0,,,0
2307224,,"Center & Recreation Park","",36.331068,-119.302995,,,0,,,0
2307225,,"Center & Giddings","",36.331047,-119.305765,,,0,,,0
2307226,,"Main & Fairway","",36.33015,-119.309507,,,0,,,0
2307227,,"Tulare County Courthouse (S)","",36.328683,-119.31421,,,0,,,0
2307228,,"Mooney & COS (S)","",36.325111,-119.314152,,,0,,,0
2307229,,"Mooney & Meadow (S)","",36.321672,-119.314113,,,0,,,0
2307230,,"Mooney & Tulare","",36.319615,-119.314165,,,0,,,0
2307231,,"Mooney & Feemster (S)","",36.317387,-119.314089,,,0,,,0
2307232,,"Mooney @ Princeton (S)","",36.315888,-119.314093,,,0,,,0
2307233,,"Mooney & Walnut (S)","",36.313743,-119.314089,,,0,,,0
2307234,,"Mooney & Visalia Mall","",36.311202,-119.314048,,,0,,,0
2307235,,"Mooney & Beech (S)","",36.308942,-119.31403,,,0,,,0
2307236,,"Mooney & Whitendale (S)","",36.307468,-119.314035,,,0,,,0
2307237,,"Mooney & Monte Vista","",36.304578,-119.313963,,,0,,,0
2307238,,"Mooney & Sequoia Mall","",36.301423,-119.313931,,,0,,,0
2307239,,"Mooney & Orchard (S)","",36.299758,-119.313898,,,0,,,0
2307240,,"Mooney & Caldwell (S)","",36.296679,-119.313882,,,0,,,0
2307241,,"Mooney & Cameron (S)","",36.294061,-119.313887,,,0,,,0
2307242,,"Mooney & Visalia Parkway (S)","",36.292293,-119.313866,,,0,,,0
2307243,,"Mooney & Avenue 274 (S)","",36.28723,-119.313681,,,0,,,0
2307244,,"Tulare County Government Plaza","",36.277143,-119.314338,,,0,,,0
2307245,,"Mooney & Avenue 274 (N)","",36.288035,-119.313362,,,0,,,0
2307246,,"Mooney & Visalia Parkway (N)","",36.292069,-119.313369,,,0,,,0
2307247,,"Mooney & Cameron (N)","",36.29377,-119.313389,,,0,,,0
2307248,,"Mooney & Caldwell (N)","",36.296928,-119.313415,,,0,,,0
2307249,,"Mooney & Orchard (N)","",36.301094,-119.313508,,,0,,,0
2307250,,"Mooney & Sunnyside","",36.303821,-119.313554,,,0,,,0
2307251,,"Mooney & Whitendale (N)","",36.306689,-119.313579,,,0,,,0
2307252,,"Mooney @ Beech (N)","",36.309637,-119.313605,,,0,,,0
2307253,,"Mooney south of Walnut (N)","",36.312244,-119.313647,,,0,,,0
2307254,,"Mooney north of Walnut (N)","",36.314735,-119.313671,,,0,,,0
2307255,,"Mooney @ Princeton (N)","",36.316025,-119.313711,,,0,,,0
2307256,,"Mooney @ Feemster (N)","",36.317867,-119.313718,,,0,,,0
2307257,,"Mooney & Meadow (N)","",36.321568,-119.313739,,,0,,,0
2307258,,"Mooney @ Kaweah","",36.325896,-119.313806,,,0,,,0
2307259,,"Tulare County Courthouse (N)","",36.328863,-119.313939,,,0,,,0
2307260,,"Main & Central","",36.32996,-119.311435,,,0,,,0
2307261,,"Main & Martin","",36.330056,-119.306465,,,0,,,0
2307262,,"Main @ Redwood High School","",36.330034,-119.302274,,,0,,,0
2307263,,"Visalia City Hall","",36.329146,-119.299561,,,0,,,0
2307264,,"Acequia & West","",36.32916,-119.296174,,,0,,,0
2307265,,"Acequia & Locust","",36.329129,-119.294027,,,0,,,0
2307266,,"Visalia Convention Center","",36.329167,-119.290006,,,0,,,0
