route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_pattern1,route_pattern2
870,870,El Cajon - Kearny Mesa,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=870,CC0000,FFFFFF,870-E,870-W
871,871,El Cajon Shuttle Loop Clockwise,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=871,000099,FFFFFF,871-L,
872,872,El Cajon Shuttle Loop Counterclockwise,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=872,000099,FFFFFF,872-L,
874,874,El Cajon Eastside Shuttle Clockwise,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=874,000099,FFFFFF,874-L,
875,875,El Cajon Eastside Shuttle Counterclockwise,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=875,000099,FFFFFF,875-L,
888,888,Jacumba - El Cajon,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=888,663300,FFFFFF,888-E,888-W
891,891,Borrego - El Cajon via Shelter Valley,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=891,663300,FFFFFF,891-E,891-W
892,892,Borrego - El Cajon via Ranchita/Lake Henshaw,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=892,663300,FFFFFF,892-E,892-W
894,894,Morena/Campo - El Cajon,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=894,663300,FFFFFF,894-E,894-W
901,901,Iris Transit Center - Downtown San Diego,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=901,000099,FFFFFF,901-1F,901-2F
904,904,Coronado Shuttle,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=904,006600,FFFFFF,904-N,904-S
905,905,Iris Transit Center - Otay Mesa Border,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=905,000099,FFFFFF,905-E,905-W
906,906,Iris Transit Center - San Ysidro Clockwise,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=906,000099,FFFFFF,906-S,906-N
907,907,Iris Transit Center - San Ysidro Counterclockwise,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=907,000099,FFFFFF,907-S,907-N
916,916,Oak Park-Emerald Hills Loop CW,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=916,000099,FFFFFF,916-L,
917,917,Oak Park-Emerald Hills Loop CCW,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=917,000099,FFFFFF,917-L,
921,921,UTC - Miramar College Transit Station,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=921,000099,FFFFFF,921-E,921-W
923,923,Downtown to Point Loma,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=923,000099,FFFFFF,923-W,923-E
928,928,Fashion Valley - Kearny Mesa,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,928-S,928-N
929,929,Iris Transit Center - Downtown San Diego,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=929,000099,FFFFFF,929-n,929-S
932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,932-N,932-S
933,933,Iris TC Loop - Imperial Beach Counterclock,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=933,000099,FFFFFF,933-L,
934,934,Iris TC Loop - Imperial Beach Clockwise,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=934,000099,FFFFFF,934-L,
936,936,Spring Valley - SDSU,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=936,000099,FFFFFF,936-N,936-S
944,944,Sabre Springs Station - Poway,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=944,000099,FFFFFF,944-E,944-W
945,945,Rancho Bernardo Station - Poway,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=945,000099,FFFFFF,945-N,945-S
946,945A,Poway HS CC Loop,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=945A,000099,FFFFFF,946,
950,950,Otay Mesa Border - Iris Transit Center,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=950,CC0000,FFFFFF,905-W,905-E
955,955,National City - San Diego State University,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=955,000099,FFFFFF,955-N,955-S
961,961,24th St Transit Center - Encanto Trolley,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=961,000099,FFFFFF,961-S,961-N
962,962,8th St Transit Center - Spring Valley,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=962,000099,FFFFFF,962 E,962 W
963,963,8th St Transit Center - Plaza Bonita,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=963,000099,FFFFFF,963-W,963-E
964,964,Mira Mesa - Alliant University via MCTS,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=964,006600,FFFFFF,964-E,964-W
965,965,City Heights Shuttle,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=965,006600,FFFFFF,965-CC,965-C
967,967,24th St Transit Center - Ava & Mariposa,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=967,000099,FFFFFF,967,
968,968,24th St Transit Center - Munda & Oriskany,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=968,000099,FFFFFF,968,
972,972,Sorrento Mesa Coaster Connection,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=972,006600,FFFFFF,972-CW,
973,973,Carroll Canyon Coaster Connection,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=973,006600,FFFFFF,973-CC,
978,978,Torrey Pines Coaster Connection,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=978,006600,FFFFFF,978-CC,
979,979,North University City Coaster Connection,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=979,006600,FFFFFF,979-N,979-S
992,992,Airport/Downtown Shuttle,3,MTS,,http://www.sdmts.com/schedules-real-time?fragment=992,006600,FFFFFF,992-L,
COR,,Coronado Ferry,4,MTS,,http://www.sdhe.com/coronado-ferry,000099,FFFFFF,COR-W,COR-E
AIR,,Trolley to Terminal Shuttle,3,SAN,,http://www.san.org/Parking-Transportation/Public-Transportation#117819-trolley-service,,,,
