stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
40938,Business 8 & El Dorado Pkwy,32.840735937532,-116.891891818364,40938,0,,2,F-E/B,,,Bus 8&El Dorado
40939,Business 8 & Lake Valley Rd,32.841434141656,-116.889223888889,40939,0,,2,F-E/B,,,Bus 8&Lake Vly
40940,Business 8 & Lake Jennings Park Rd,32.844540666429,-116.883206708632,40940,0,,2,N-E/B,,,Bus 8&Lake Jennings Park
40941,Old Hwy 80 & 15141,32.855002114522,-116.848309223261,40941,0,,2,M-Street-E/B,,,Old80&15141
40942,Old Hwy 80 & Carta Ln,32.855751163325,-116.841153639958,40942,0,,2,N-E/B,,,Old80&Carta
40943,Alpine Bl & Alpine Oaks MHP,32.833146240231,-116.739088796982,40943,0,,2,M-Street-E/B,,,Alpine&Alpine Oaks MHP
40944,Willows Rd & 4058,32.834328490044,-116.726323952029,40944,0,,2,M-Street-E/B,,,Willows&4058
40948,Poway Rd & 12900,32.956707942358,-117.049317937266,40948,0,,1,M-Street-W/B,,,Poway&12900
40951,Poway Rd & 13236,32.956635063286,-117.043563176646,40951,0,,1,M-Street-W/B,,,Poway&13236
40955,Town Center Pkwy & 140,32.841199725750,-116.988882614499,40955,0,,1,M-Street-S/B,,,Town Ctr&140
40957,Mission Gorge Rd & 10201,32.838413341712,-116.975807047598,40957,0,,1,M-Street-W/B,,,Msn Grg&10201
40959,Jamacha Bl & Lamplighter Village,32.729375830037,-116.962585144031,40959,0,,1,F-W/B,,,Jamacha&Lamplighter Vlge
40960,Calle Verde & Avocado Bl,32.748361533807,-116.961288125847,40960,0,,1,N-W/B,ranvil,,Calle Verde&Avocado
40965,Business 8 & Los Coches Rd,32.833989970504,-116.904174602342,40965,0,,1,N-S/B,,,Bus 8&Los Coches
40966,Business 8 & 13490,32.836812309341,-116.899028872763,40966,0,,2,M-Street-S/B,,,Bus 8&13490
40967,Business 8 & 13545,32.837408762150,-116.897975179861,40967,0,,2,M-Street-S/B,,,Bus 8&13545
40969,Business 8 & Lake Jennings Park Rd,32.843791641315,-116.884559029180,40969,0,,2,F-W/B,,,Bus 8&Lake Jennings Park
40970,Old Hwy 80 & 15141,32.855147982954,-116.848267882933,40970,0,,2,M-Street-W/B,,,Old80&15141
40971,Old Hwy 80 & Carta Ln,32.855952401797,-116.841027994524,40971,0,,2,F-W/B,,,Old80&Carta
40972,Alpine Bl & Alpine MHP,32.835356224442,-116.762085350608,40972,0,,2,F-W/B,,,Alpine&Alpine MHP
40973,Alpine Bl & Bay Meadows Dr,32.835091445847,-116.759651910895,40973,0,,1,F-W/B,,,Alpine&Bay Meadows
40974,Alpine Bl & Alpine Oaks MHP,32.833296704937,-116.739265429189,40974,0,,2,M-Street-W/B,,,Alpine&Alpine Oaks MHP
40979,Poway Rd & 12312,32.951752693232,-117.065275894064,40979,0,,1,M-Street-W/B,powpom,,Poway&12312
40981,Broadway & st John'S Plaza,32.744079575098,-117.021628057224,40981,0,,1,M-Street-W/B,,,Brdwy&st John'S Pza
40982,Carlton Oaks Dr & Santee Lakes Park,32.844401944753,-117.004752918502,40982,0,,1,M-Street-W/B,,,Carlton Oaks&Santee Lakes Park
40983,Grossmont College,32.815167693611,-117.005426687333,40983,0,,1,M-TC-Bus,grcoll,,Grossmont Coll
40987,Mission Gorge Rd & 10152,32.838678725744,-116.976014346764,40987,0,,1,M-Street-W/B,,,Msn Grg&10152
40988,Sweetwater Springs Bl & 3115,32.734978204413,-116.971400804558,40988,0,,1,M-Street-N/B,,,Swtwter Sprgs&3115
40989,Austin Dr & Via Orange Wy,32.730938064533,-116.969026475430,40989,0,,1,N-W/B,,,Austin&Via Orange
40991,Graves Av & Broadway,32.809461333427,-116.960606785127,40991,0,,1,N-S/B,,,Graves&Brdwy
40993,Cuyamaca College,32.744283373118,-116.942343463138,40993,0,,1,M-TC-Bus,cuycol,,Cuyamaca Coll
40999,Business 8 & 13460,32.835726014081,-116.901762080264,40999,0,,1,M-Street-S/B,,,Bus 8&13460
41001,Business 8 & Kay Jay Ln,32.838637886835,-116.896294515097,41001,0,,2,F-S/B,,,Bus 8&Kay Jay
41002,Business 8 & Lake Valley Rd,32.841071093759,-116.891392869632,41002,0,,1,F-W/B,,,Bus 8&Lake Vly
41003,Old Hwy 80 & 14310,32.845929549823,-116.874389750857,41003,0,,1,M-Street-E/B,,,Old80&14310
41004,Tavern Rd & Arnold Wy,32.835873060523,-116.775791113918,41004,0,,1,F-W/B,alpshp,,Tavern&Arnold
41005,Arnold Wy & Alpine Village Apts,32.836184144876,-116.770479837855,41005,0,,2,M-Street-W/B,,,Arnold&Alpine Vlge Apts
41006,Alpine Bl & Louise Dr,32.834833786653,-116.756811584053,41006,0,,1,F-W/B,,,Alpine&Louise
41007,Willows Rd & 4058 (Health Center),32.834423340789,-116.725959846510,41007,0,,2,M-Street-W/B,,,Willows&4058 (Health Ctr)
41011,Winter Gardens Bl & 8760,32.836168968782,-116.933208159074,41011,0,,2,M-Street-S/B,,,Wtr Gdns&8760
41014,Business 8 & Aurora Dr,32.823400319433,-116.913412146477,41014,0,,2,F-S/B,,,Bus 8&Aurora
41016,Winter Gardens Bl & Knoll Crest Pl,32.847239994646,-116.931184190315,41016,0,,2,F-S/B,,,Wtr Gdns&Knoll Crest
41017,Business 8 & 13162,32.828469068953,-116.909198876637,41017,0,,2,M-Street-S/B,,,Bus 8&13162
41019,Midland Rd & Summerlyn Apts,32.958632661837,-117.036333820716,41019,0,,1,M-Street-N/B,,,Midland&Summerlyn Apts
41024,Midland Rd & Poinsettia Dr,32.966108069730,-117.035973580187,41024,0,,1,F-N/B,,,Midland&Poinsettia
41027,Magnolia Av & Riverview Pkwy,32.844018560172,-116.969517242868,41027,0,,1,F-S/B,,,Magnolia&Riverview
41029,Winter Gardens Bl & 8755,32.836156613458,-116.932957380061,41029,0,,2,M-Street-N/B,,,Wtr Gdns&8755
41030,Winter Gardens Bl & 8661,32.834279187315,-116.932500058023,41030,0,,2,M-Street-N/B,,,Wtr Gdns&8661
41031,Winter Gardens Bl & Knoll Crest Pl,32.848222395483,-116.930967125065,41031,0,,1,F-N/B,,,Wtr Gdns&Knoll Crest
41032,E Main St & Greenfield Dr,32.811279303028,-116.919065366012,41032,0,,1,N-N/B,emagre,,E Main&Greenfield
41033,E Main St & Pepper Dr,32.815558210553,-116.916100156707,41033,0,,1,F-N/B,,,E Main&Pepper
41035,Poway Rd & Vista View Dr,32.956228111710,-117.031940524260,41035,0,,1,N-E/B,,,Poway&Vista View
41037,Olde Hwy 80 & Marina Springs Ln,32.848724788639,-116.862300230890,41037,0,,2,F-W/B,,,Olde Hwy 80&Marina Sprgs
41049,Roswell St & Hilltop Dr,32.713972082776,-117.080535205984,41049,0,,0,F-E/B,,,Roswell&Hilltop
41050,Town Center Pkwy & 101,32.841664854484,-116.988316747104,41050,0,,1,M-Street-N/B,,,Town Ctr&101
41051,Town Center Pkwy & 205,32.842744775109,-116.986053201748,41051,0,,1,M-Street-E/B,,,Town Ctr&205
41052,Cuyamaca St & River Park Dr,32.847922935000,-116.983276750612,41052,0,,0,F-N/B,,,Cuyamaca&River Park
41053,Cuyamaca St & Riverwalk Dr,32.851325771191,-116.983239979296,41053,0,,1,N-N/B,,,Cuyamaca&Riverwalk
41054,Mast Bl & West Hills Pkwy,32.848128458091,-117.020404315645,41054,0,,1,F-E/B,,,Mast&WHills
41055,Mast Bl & 8756 (West Hills Hs),32.848956390051,-117.017210800128,41055,0,,1,M-Street-E/B,whilhs,,Mast&8756 (WHills Hs)
41056,Mast Bl & Medina Dr,32.849617707278,-117.010271217928,41056,0,,1,F-E/B,,,Mast&Medina
41057,Mast Bl & Pebble Beach Dr,32.849570779894,-117.007620316654,41057,0,,1,F-E/B,,,Mast&Pebble Bch
41059,Mast Bl & Dunbarton Rd,32.850788010186,-117.002280888990,41059,0,,1,N-E/B,,,Mast&Dunbarton
41071,El Nopal & Aquilla Dr,32.863438199276,-116.962117369997,41071,0,,1,N-E/B,,,El Nopal&Aquilla
41072,El Nopal & Los Ranchitos Rd,32.863449783401,-116.960104859923,41072,0,,2,N-E/B,,,El Nopal&Los Ranchitos
41073,2nd St & Los Ranchitos Rd,32.858838280827,-116.960028570045,41073,0,,1,F-W/B,2ndlos,,2nd&Los Ranchitos
41077,Magnolia Av & Alexander Wy,32.836015102537,-116.965714360725,41077,0,,1,F-N/B,,,Magnolia&Alexander
41078,Graves Av & 8253,32.826962154949,-116.961340518444,41078,0,,2,M-Street-N/B,,,Graves&8253
41079,Bradley Av & Graves Av,32.819019729036,-116.956436165214,41079,0,,1,F-E/B,,,Bradley&Graves
41080,Bradley Av & 425,32.819014711251,-116.954909531982,41080,0,,1,M-Street-E/B,,,Bradley&425
41081,Bradley Av & Sams Hill Rd,32.819017284390,-116.953011890266,41081,0,,1,N-E/B,,,Bradley&Sams Hill
41084,Mollison Av & Pepper Dr,32.823145073147,-116.949698561499,41084,0,,2,N-N/B,,,Mollison&Pepper
41085,Pepper Dr & Marlinda Wy,32.825240391160,-116.953878648216,41085,0,,1,N-W/B,,,Pepper&Marlinda
41087,Pepper Dr & Graves Av,32.825020447206,-116.960608680574,41087,0,,1,F-E/B,pepgra,,Pepper&Graves
41088,Pepper Dr & Vulcan St,32.825024004530,-116.958554666298,41088,0,,2,F-E/B,,,Pepper&Vulcan
41089,Pepper Dr & Garywood St,32.825031720663,-116.953841172373,41089,0,,1,N-E/B,,,Pepper&Garywood
41090,Pepper Dr & Bates Ln,32.824792182024,-116.951983788262,41090,0,,1,N-E/B,,,Pepper&Bates
41091,Mollison Av & Pepper Dr,32.822344583763,-116.949819148887,41091,0,,2,F-S/B,,,Mollison&Pepper
41093,Bradley Av & Sams Hill Rd,32.819252104116,-116.953283930682,41093,0,,1,F-W/B,,,Bradley&Sams Hill
41094,Bradley Av & 360,32.819246648327,-116.955204339425,41094,0,,1,M-Street-W/B,,,Bradley&360
41095,Prospect Av & Olive Ln,32.833782514368,-116.989644007728,41095,0,,1,F-W/B,,,Prospect&Olive
41096,Prospect Av & Ellsworth Ln,32.833958343786,-116.996508197998,41096,0,,1,F-W/B,,,Prospect&Ellsworth
