fare_id,route_id,origin_id,destination_id,contains_id
DAYPASS_1200,932,,,
DAYPASS_500,932,,,
CASH_225,933,,,
DAYPASS_1200,933,,,
DAYPASS_500,933,,,
CASH_225,934,,,
DAYPASS_1200,934,,,
DAYPASS_500,934,,,
CASH_225,936,,,
DAYPASS_1200,936,,,
DAYPASS_500,936,,,
CASH_225,944,,,
DAYPASS_1200,944,,,
DAYPASS_500,944,,,
CASH_225,945,,,
DAYPASS_1200,945,,,
DAYPASS_500,945,,,
DAYPASS_1200,946,,,
CASH_250,946,,,
DAYPASS_500,946,,,
DAYPASS_1200,950,,,
CASH_250,950,,,
DAYPASS_500,950,,,
CASH_225,955,,,
DAYPASS_1200,955,,,
DAYPASS_500,955,,,
CASH_225,961,,,
DAYPASS_1200,961,,,
DAYPASS_500,961,,,
CASH_225,962,,,
DAYPASS_1200,962,,,
DAYPASS_500,962,,,
CASH_225,963,,,
DAYPASS_1200,963,,,
DAYPASS_500,963,,,
CASH_225,964,,,
DAYPASS_1200,964,,,
DAYPASS_500,964,,,
CASH_225,965,,,
DAYPASS_1200,965,,,
DAYPASS_500,965,,,
CASH_225,967,,,
DAYPASS_1200,967,,,
DAYPASS_500,967,,,
CASH_225,968,,,
DAYPASS_1200,968,,,
DAYPASS_500,968,,,
FREE,972,,,
FREE,973,,,
FREE,978,,,
FREE,979,,,
CASH_225,992,,,
DAYPASS_1200,992,,,
DAYPASS_500,992,,,
CASH_475,COR,,,
FREEAIR,AIR,,,
