trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,stop_headsign
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:00:00,09:00:00,10243,0,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:02:00,09:02:00,10259,27,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:03:00,09:03:00,10260,36,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:04:00,09:04:00,10235,50,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:05:00,09:05:00,10229,59,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:06:00,09:06:00,10214,73,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:07:00,09:07:00,10217,79,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:08:00,09:08:00,10218,96,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:09:00,09:09:00,10219,103,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:10:00,09:10:00,10220,112,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:11:00,09:11:00,10212,129,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:11:00,09:11:00,10211,139,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:12:00,09:12:00,10206,152,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:13:00,09:13:00,10196,166,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:15:00,09:15:00,10190,184,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:17:00,09:17:00,10164,220,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:18:00,09:18:00,10165,246,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:20:00,09:20:00,10184,273,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:21:00,09:21:00,10195,300,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:22:00,09:22:00,10205,314,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:23:00,09:23:00,10210,327,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:24:00,09:24:00,10232,338,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:25:00,09:25:00,10249,354,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:25:00,09:25:00,10290,361,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:27:00,09:27:00,10291,386,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:28:00,09:28:00,10290,396,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:31:00,09:31:00,10308,419,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:33:00,09:33:00,10311,440,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:33:00,09:33:00,10317,445,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:34:00,09:34:00,10326,460,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:35:00,09:35:00,10324,477,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:36:00,09:36:00,10338,491,0,0,
1000.1-10-0-851-0900-0957-3262-0-0-0-0_AV_5LB,09:37:00,09:37:00,10351,504,0,0,
