timetable_id,stop_id,stop_sequence,stop_name,connected_routes
3,757073,5,Mendocino Ave. & Ridgeway,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 29A/Santa Rosa - Sonoma Coast, 30/Santa Rosa, Kenwood, Glen Ellen, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Santa Rosa, Rohnert Park, SSU, Petaluma, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757074,6,Ac. Santa Rosa Junior College,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 29A/Santa Rosa - Sonoma Coast, 30/Santa Rosa, Kenwood, Glen Ellen, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Santa Rosa, Rohnert Park, SSU, Petaluma, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 57/Kaiser, County Center, SRJC Shuttle, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757075,7,Mendocino Ave. & Dexter St.,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 29A/Santa Rosa - Sonoma Coast, 30/Santa Rosa, Kenwood, Glen Ellen, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Santa Rosa, Rohnert Park, SSU, Petaluma, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 57/Kaiser, County Center, SRJC Shuttle, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757076,8,Mendocino Ave. & Silva Ave.,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 29A/Santa Rosa - Sonoma Coast, 30/Santa Rosa, Kenwood, Glen Ellen, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Santa Rosa, Rohnert Park, SSU, Petaluma, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 57/Kaiser, County Center, SRJC Shuttle, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757077,9,Mendocino Ave. & Steele Ln.,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 30/Santa Rosa, Kenwood, Glen Ellen, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Santa Rosa, Rohnert Park, SSU, Petaluma, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 57/Kaiser, County Center, SRJC Shuttle, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757087,10,Mendocino Ave. & Chanate Rd.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757088,11,Mendocino Ave. & Bicentennial Way,"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757089,12,Mendocino Ave. & Fountain Grove Pkwy.,"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757090,13,Old Redwood Hwy. &,"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757091,14,Old Redwood Hwy. (Kaiser Stein Bldg.),"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757092,15,Old Redwood Hwy. & Cardinal Newman HS,"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757093,16,Old Redwood Hwy. & La Mancha Apartments,"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757094,17,Old Redwood Hwy. & Chelsea Drive,"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757264,18,Mark West Springs Rd. & Old Redwood Hwy.,"20X/Russian River Area, Santa Rosa, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Windsor, County Airport, Santa Rosa"
3,757102,19,Old Redwood Hwy. & Mark West Springs Rd.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757103,20,Larkfield Shopping Center,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757104,21,Old Redwood Hwy. & Ascot Dr.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757105,22,Old Redwood Hwy. & Deerwood Dr.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757106,23,Old Redwood Hwy. & Faught Rd.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757107,24,Old Redwood Hwy. & Airport Blvd,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757108,25,Old Redwood Hwy. & Fulton Rd.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757109,26,Old Redwood Hwy. & Plymouth Way,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757110,27,Old Redwood Hwy. & Shiloh Rd.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757116,28,Old Redwood Hwy. & Shiloh Rd.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757117,29,Old Redwood Hwy. & Savannah Way,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757118,30,Old Redwood Hwy. & Shamrock Circle,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757119,31,Old Redwood Hwy. & Thrushwing,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
3,757120,32,Old Redwood Hwy. & Pleasant Ave.,"60/Cloverdale, Healdsburg, Windsor, Santa Rosa"
