stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"79179","79179",Dyer St & Jean Dr,37.579783621,-122.078537755,,"Far Side","","","","","1"
"79034","79034",Dyer St & Jean Dr,37.580267,-122.077817,,"Far Side","","","","","1"
"79037","79037",Dyer St & Meteor Dr,37.586888821,-122.071999362,,"Far Side","","","","","1"
"79038","79038",Dyer St Mid-Block,37.588665,-122.070516,,"Nearside","","","","","1"
"79191","79191",Dyer St & Ratekin Dr,37.59993,-122.070309,,"Nearside","","","","","1"
"79036","79036",Dyer St & Regents Bl,37.583863,-122.074675,,"Nearside","","","","","1"
"79177","79177",Dyer St & Regents Bl,37.584863315,-122.074053455,,"Nearside","","","","","1"
"79014","79014",Dyer St & San Carlos Ave,37.59583,-122.070812,,"Far Side","","","","","1"
"79015","79015",Dyer St & Santa Susana Wy,37.593124,-122.069137,,"Nearside","","","","","1"
"79040","79040",Dyer St & Santa Susana Wy,37.592801,-122.068722,,"Nearside","","","","","1"
"79033","79033",Dyer St & Union City Bl,37.577914,-122.080032,,"Far Side","","","","","1"
"79136","79136",Dyer St & Whipple Rd,37.604348,-122.069326,,"Far Side","","","","","1"
"79192","79192",Dyer St & Whipple Rd,37.604453183,-122.068922568,,"Nearside","","","","","1"
"79163","79163",East Plaza Transit Loop,37.591154597,-122.016976453,,"Terminal","","","","","1"
"79109","79109",E St & 6th St,37.602274716,-122.021924489,,"Far Side","","","","","1"
"79059","79059",E St & 6th St,37.60220097,-122.02178222,,"Nearside","","","","","1"
"79195","79195",Fredi St & Alvarado Bl,37.592045537,-122.077841299,,"Nearside","","","","","1"
"79194","79194",Horner St & Fredi St,37.593920406,-122.077370034,,"Nearside","","","","","1"
"79193","79193",Horner St & Union City Bl,37.595385084,-122.080064254,,"Far Side","","","","","1"
"79056","79056",H St & 10th St,37.596833581,-122.022046422,,"Nearside","","","","","1"
"79112","79112",H St & 10th St,37.597070897,-122.021973537,,"Nearside","","","","","1"
"79135","79135",Industrial Parkway Southwest Mid-Block,37.608901,-122.065989,,"Nearside","","","","","1"
"79133","79133",Industrial Parkway Southwest & Whipple Rd,37.608043894,-122.065103338,,"Far Side","","","","","1"
"79025","79025",Jean Dr & Blythe St,37.573846,-122.070154,,"Far Side","","","","","1"
"79024","79024",Jean Dr & Dinuba St,37.574637034,-122.071746516,,"Nearside","","","","","1"
"79072","79072",Kohoutek St & Mid-Block,37.607894,-122.080481,,"Mid-Block","","","","","1"
"79095","79095",Kohoutek St & Union City Bl,37.608709,-122.081931,,"Far Side","","","","","1"
"79096","79096",Kohoutek St & Whipple Rd,37.607553,-122.080528,,"Nearside","","","","","1"
"79071","79071",Kohoutek St & Whipple Rd,37.606527,-122.080256,,"Far Side","","","","","1"
"79153","79153",Mann Ave & Perry Rd,37.582601703,-122.018113696,,"Nearside","","","","","1"
"79175","79175",Mann Ave & Perry Rd,37.582612797,-122.01794541,,"Far Side","","","","","1"
"79152","79152",Mann Ave & Skylark Dr,37.584990566,-122.017509123,,"Nearside","","","","","1"
"79176","79176",Mann Ave & Skylark Dr,37.58456929,-122.017295077,,"Nearside","","","","","1"
"79124","79124",Masonic Home Main Entrance Gate,37.597487353,-122.009849469,,"Mid-Block","","","","","1"
"79086","79086",Medallion Ave & Brenda Dr,37.593605,-122.052209,,"Nearside","","","","","1"
"79087","79087",Medallion Ave & Brenda Dr,37.593972,-122.052294,,"Nearside","","","","","1"
"79019","79019",Meteor Dr & Chippendale Dr,37.583357,-122.066396,,"Far Side","","","","","1"
"79189","79189",Meteor Dr & Chippendale Dr,37.583625,-122.066662,,"Far Side","","","","","1"
"79018","79018",Meteor Dr & Galaxy Dr,37.585133,-122.069696,,"Far Side","","","","","1"
"79190","79190",Meteor Dr & Galaxy Dr,37.58481,-122.068915,,"Nearside","","","","","1"
"79205","79205",Mission Bl & Daggett Ave,37.598303,-122.011438,,"Far Side","","","","","1"
"79204","79204",Mission Bl & F St,37.603814,-122.017593,,"Nearside","","","","","1"
"79202","79202",Mission Bl & Tamarack Dr,37.608313,-122.022623,,"Far Side","","","","","1"
"79128","79128",Mission Bl & Whipple Rd,37.607141,-122.020846,,"Far Side","","","","","1"
"79203","79203",Mission Bl & Whipple Rd,37.605783,-122.019771,,"Far Side","","","","","1"
"79173","79173",Perry Rd & Decoto Rd,37.583316363,-122.022270178,,"Far Side","","","","","1"
"79155","79155",Perry Rd & Decoto Rd,37.583787491,-122.023404614,,"Far Side","","","","","1"
"79154","79154",Perry Rd & Kennedy Ave,37.5830219,-122.020493229,,"Nearside","","","","","1"
"79174","79174",Perry Rd & Kennedy Ave,37.582893029,-122.020512052,,"Far Side","","","","","1"
"79172","79172",Perry Rd & Maraschino Ct,37.584176183,-122.025849461,,"Nearside","","","","","1"
"79156","79156",Perry Rd & Maraschino Pl,37.584251951,-122.025477246,,"Nearside","","","","","1"
"79157","79157",Perry Rd & Royal Ann Dr,37.585008176,-122.028906495,,"Nearside","","","","","1"
"79145","79145",Regents Bl & Cabello St,37.586056615,-122.076069767,,"Nearside","","","","","1"
"79146","79146",Regents Bl & Queensboro Wy,37.587555,-122.078869,,"Nearside","","","","","1"
"79026","79026",Regents Bl & Rocklin Dr,37.573035,-122.068778,,"Nearside","","","","","1"
"79029","79029",Rocklin Dr & Anaheim Loop,37.569045,-122.072226,,"Far Side","","","","","1"
"79028","79028",Rocklin Dr & Antioch Loop,37.570478,-122.071712,,"Far Side","","","","","1"
"79027","79027",Rocklin Dr & Danville Ave,37.57244,-122.069078,,"Nearside","","","","","1"
"79169","79169",Royal Ann Dr & Alvarado-Niles Rd,37.588674893,-122.027861973,,"Far Side","","","","","1"
"79158","79158",Royal Ann Dr & Arizona St,37.586774532,-122.028240048,,"Nearside","","","","","1"
"79170","79170",Royal Ann Dr & Arizona St,37.58717077,-122.028288771,,"Nearside","","","","","1"
"79171","79171",Royal Ann Dr & Perry Rd,37.585146152,-122.029167734,,"Nearside","","","","","1"
"79078","79078",Smith St & Dyer St,37.596724314,-122.071378836,,"Nearside","","","","","1"
"79077","79077",Smith St & Fredi St,37.596423939,-122.076532945,,"Far Side","","","","","1"
"79091","79091",Smith St & Granger Ave,37.596559,-122.075872,,"Far Side","","","","","1"
"79076","79076",Smith St & Union City Bl,37.596425,-122.080497,,"Far Side","","","","","1"
"79129","79129",Tamarack Dr & Castro St,37.608262217,-122.023487471,,"Far Side","","","","","1"
"79132","79132",Tamarack Dr & Ithaca St,37.607580375,-122.03113144,,"Nearside","","","","","1"
"79199","79199",Tamarack Dr & Moccasin Dr,37.607757651,-122.030635564,,"Nearside","","","","","1"
"79130","79130",Tamarack Dr & Pulaski St,37.608105851,-122.024539118,,"Far Side","","","","","1"
"79201","79201",Tamarack Dr & Pulaski St,37.60798121,-122.024488527,,"Nearside","","","","","1"
"79200","79200",Tamarack Dr & Sumac Dr,37.607881531,-122.027892041,,"Nearside","","","","","1"
"79131","79131",Tamarack Dr & Sumac Dr,37.608020168,-122.027542626,,"Nearside","","","","","1"
"79084","79084",Tropics,37.588931,-122.050784,,"Far Side","","","","","1"
"79001","79001",Union City BART Station,37.590588,-122.017616,,"Terminal","","","","","1"
"79142","79142",Union City Bl & Alvarado Bl,37.590974,-122.081284,,"Far Side","","","","","1"
"79148","79148",Union City Bl & Alvarado Bl,37.590696,-122.080687,,"Nearside","","","","","1"
"79212","79212",Union City Bl & Bay Colony Dr,37.571572539,-122.077841848,,"Far Side","","","","","1"
"79031","79031",Union City Bl & Bay Colony Dr,37.572965303,-122.078237488,,"Far Side","","","","","1"
"79075","79075",Union City Bl & Bettencourt Rd,37.59891,-122.081857,,"Nearside","","","","","1"
"79214","79214",Union City Bl & Delores Dr,37.571182966,-122.077149841,,"Far Side","","","","","1"
"79180","79180",Union City Bl & Dyer St,37.577098279,-122.080816348,,"Far Side","","","","","1"
"79197","79197",Union City Bl & Horner St,37.595333175,-122.08076109,,"Nearside","","","","","1"
"79144","79144",Union City Bl & Jean Dr,37.580713,-122.081013,,"Far Side","","","","","1"
"79073","79073",Union City Bl & Kohoutek St,37.607096,-122.082792,,"Far Side","","","","","1"
"79147","79147",Union City Bl & Montevideo Ct,37.588438,-122.080702,,"Nearside","","","","","1"
"79143","79143",Union City Bl & Regents Bl,37.58698,-122.081239,,"Far Side","","","","","1"
