stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3279,3279,Quail Lakes Dr & Silver Creek SB,,37.997512,-121.327791,,,,,,0
3280,3280,Quail Lakes Dr & Passero Wy SB,,37.997150,-121.332430,,,,,,0
3281,3281,Quail Lakes Dr & Grouse Run Dr SB,,37.995607,-121.335399,,,,,,0
3282,3282,Quail Lakes Dr & Meadow Lake SB,,37.995265,-121.340066,,,,,,0
3283,3283,Quail Lakes Dr & Grizzy Hollow SB,,37.993853,-121.342375,,,,,,0
3284,3284,Quail Lakes Dr & Round Valley SB,,37.990214,-121.340911,,,,,,0
3285,3285,Quail Lakes Dr @ Shopping Ctr SB,,37.98595,-121.340032,,,,,,0
3286,3286,March Ln @ I-5 76 Gas Station WB,,37.984501,-121.344697,,,,,,0
3287,3287,March Ln & Deer Park Dr WB,,37.983995,-121.352397,,,,,,0
3293,3293,Ben Holt Dr & Plymouth Rd EB,,38.0048301,-121.349570,,,,,,0
3294,3294,Ben Holt Dr & Belmont Pl EB,,38.005077,-121.343401,,,,,,0
3295,3295,Ben Holt Dr Alexandria Pl EB,,38.005713,-121.338768,,,,,,0
3296,3296,Ben Holt Dr & Harrisburg Pl EB,,38.007198,-121.333998,,,,,,0
3298,3298,Pershing Av & Swain Rd SB,,38.002447,-121.327107,,,,,,0
3297,3297,Pershing Av & Douglas Rd SB,,38.004570,-121.328110,,,,,,0
3299,3299,Pershing Av & Longview Av SB,,38.000966,-121.326496,,,,,,0
3291,3291,Driftwood Pl & Brookside Rd EB,,37.989454,-121.353957,,,,,,0
3292,3292,Driftwood Pl & Bike Trail EB,,37.98985,-121.350152,,,,,,0
3301,3301,Pershing Av & Douglas Rd NB,,38.004770,-121.327920,,,,,,0
3303,3303,Fremont St & Madison St WB,,37.95703,-121.295394,,,,,,0
7085,7085,Holman Rd & Windflower NB,,38.010141,-121.273131,,,,,,0
3323,3323,Hammertown & Montauban Av WB,,38.016588,-121.28899,,,,,,0
3355,3355,Fremont St & Eastland Plaza EB,,37.961105,-121.27044,,,,,,0
3356,3356,Fremont St & E St EB,,37.963801,-121.260248,,,,,,0
3357,3357,Fremont St & Filbert St EB,,37.965514,-121.25618,,,,,,0
7098,7098,Filbert St & Poplar St NB,,37.968931,-121.257732,,,,,,0
7096,7096,Wilson Wy & Lindsay St SB,,37.95982,-121.272668,,,,,,0
3363,3363,Sanguinetti Ln & Wilson Wy SB,,37.98333,-121.271319,,,,,,0
3364,3364,Funston Av & Jersey Av SB,,37.980306,-121.271536,,,,,,0
3389,3389,Fremont St & E St WB,,37.963801,-121.260294,,,,,,0
3382,3382,California St & Washington St SB,,37.951618,-121.284051,,,,,,0
3383,3383,California St & Hazelton Av SB,,37.947666,-121.282981,,,,,,0
3384,3384,California St & Jefferson St SB,,37.942696,-121.281635,,,,,,0
3385,3385,MLK Blvd & San Joaquin St WB,,37.939404,-121.283437,,,,,,0
3386,3386,Center St & 1st St SB,,37.937476,-121.286756,,,,,,0
3387,3387,Center St & 3rd St SB,,37.935067,-121.285457,,,,,,0
3388,3388,El Dorado & 5th St SB,,37.932953,-121.284434,,,,,,0
3391,3391,Fremont St & Golden Gate Av EB,,37.967852,-121.250757,,,,,,0
3442,3442,Swain Rd & Porter Wy SB,,37.999981,-121.344625,,,,,,0
3451,3451,Herndon Pl & Blue Ridge SB,,38.005164,-121.356427,,,,,,0
7114,7114,Ben Holt Dr & Vicksburg Pl EB,,38.008852,-121.328263,,,,,,0
7115,7115,El Dorado & Hammer Ln NB,,38.02103,-121.315189,,,,,,0
7121,7121,Douglas Rd & Pacific Av Arr WB,Douglas Rd & Pacific Ave,38.008099,-121.320271,,,,,,0
3522,3522,Wigwam Dr & Cherokee Rd SB,,37.986589,-121.257274,,,,,,0
7016,7016,Mt Diablo Av & Ryde Av EB,,37.956538,-121.333183,,,,,,0
7021,7021,Mall Transfer Arr (South),,37.997012,-121.313053,,,,,,0
3633,3633,Cordova Ln & Kermit Ln EB,,38.016160,-121.303880,,,,,,0
3639,3639,Holiday Dr & Yorkshire Dr SB,,38.002408,-121.298227,,,,,,0
3644,3644,Pock Ln & 8th St SB,,37.935901,-121.247621,,,,,,0
3648,3648,B & 8th St NB,,37.933912,-121.25542,,,,,,0
3656,3656,Stanislaus & Miner Av SB,,37.956490,-121.282780,,,,,,0
3660,3660,Pershing Av & Vine St NB,,37.961734,-121.31269,,,,,,0
7144,7144,Wilson Wy & Jackson St SB,,37.943420,-121.268310,,,,,,0
3678,3678,Pock Ln & 11th St NB,,37.931752,-121.245944,,,,,,0
7146,7146,8th St & Nightingale Av EB,,37.936829,-121.244416,,,,,,0
3624,3624,Holiday Dr & Holiday Ct NB,,38.003112,-121.298572,,,,,,0
7150,7150,Main & Filbert St EB,Main St & Filbert St,37.954843,-121.251768,,,,,,0
3711,3711,Cardinal Av & Ardelle Av SB,Cardinal Ave & Ardelle Ave,37.963182,-121.221409,,,,,,0
7155,7155,DTC Weber Av Depart,,37.954446,-121.285971,,,,,,0
7154,7154,Fremont St & Eastland Plaza WB,,37.961064,-121.270997,,,,,,0
3728,3728,Hammer Ln & Kelley Dr EB,,38.021323,-121.356094,,,,,,0
3730,3730,Hammer Ln & Kelley Dr WB,,38.02134,-121.356186,,,,,,0
3729,3729,Hammer Ln & Richland Wy EB,,38.0213,-121.351471,,,,,,0
3737,3737,Don Av & Portola Av NB,,38.026845,-121.345521,,,,,,0
3740,3740,A.G. Spanos Blvd & Thornton Rd WB,,38.054945,-121.35162,,,,,,0
3741,3741,A.G. Spanos Blvd & Stoney Gorge Dr NB,,38.053860,-121.357650,,,,,,0
3742,3742,A.G. Spanos Blvd & Banyon Dr SB,,38.051013,-121.358943,,,,,,0
3743,3743,Iron Canyon Dr & Freshwater Pl WB,,38.049259,-121.365268,,,,,,0
7177,7177,Scott Creek & Ridgeview Cir WB,,38.05604,-121.382145,,,,,,0
3744,3744,Scott Creek & Trinity Pkwy WB,,38.053959,-121.376262,,,,,,0
3745,3745,Mokelumne Cir & Hennessey Dr SB,,38.053309,-121.383152,,,,,,0
3746,3746,Mokelumne Cir & Melones Wy SB,,38.050246,-121.385528,,,,,,0
3747,3747,Mokelumne Cir & Havencrest Ct SB,,38.046794,-121.38459,,,,,,0
3748,3748,Mokelumne Cir & Pasadena SB,,38.047486,-121.380001,,,,,,0
7178,7178,Cosumnes Dr & Trinity Pkwy EB,,38.048403,-121.373285,,,,,,0
3749,3749,Iron Canyon Dr & Freshwater Pl,,38.049259,-121.365245,,,,,,0
3750,3750,A.G. Spanos Blvd & Banyon Dr SB,,38.05104,-121.35892,,,,,,0
3751,3751,A.G. Spanos Blvd & Stoney Gorge Dr SB,,38.053970,-121.357000,,,,,,0
3752,3752,A.G. Spanos Blvd & Siskiyou Ln SB,,38.054577,-121.353875,,,,,,0
7326,7326,Thornton Rd & Whistler Wy SB,,38.049289,-121.350991,,,,,,0
3784,3784,Don Av & Wagner Heights Rd SB,,38.033822,-121.346002,,,,,,0
3785,3785,Don Av & Waudman Av SB,,38.029905,-121.345513,,,,,,0
3786,3786,Don Av & Marseille Wy SB,,38.026479,-121.345521,,,,,,0
7186,7186,Pershing Av & Ben Holt Dr SB,,38.008566,-121.32932,,,,,,0
7193,7193,Commerce & Steamboat Landing SB,Commerce St & Steamboat Landing,37.951393,-121.292151,,,,,,0
3808,3808,Lathrop Rd & Cambridge Dr EB,,37.826348,-121.285648,,,,,,0
3838,3838,Kelley Dr & Hammer Ln SB,,38.020910,-121.356230,,,,,,0
3859,3859,Lincoln St & Sonora St NB,,37.947483,-121.296549,,,,,,0
3913,3913,Thornton Rd & Wagner Heights Rd NB,,38.035656,-121.339275,,,,,,0
7249,7249,Togninali Ln & 99 Frontage WB,,37.918322,-121.228731,,,,,,0
3961,3961,Holman Rd & Snow Creek,,38.034767,-121.269699,,,,,,0
3971,3971,East St & Carlton SB,,37.74611,-121.421193,,,,,,0
3972,3972,Grigsby Pl & Polk Wy SB,,38.001536,-121.352801,,,,,,0
7258,7258,DTC C&s Dpt EB,,37.955436,-121.285593,,,,,,0
7301,7301,Robinhood Dr & Pacific Arr EB,Robinhood & Pacific Arr EB,38.000642,-121.316217,,,,,,0
7304,7304,Myrtle St & Oro Ave WB,,37.965746,-121.238898,,,,,,0
4001,4001,Hammer Ln & Alexandria Pl EB,,38.021213,-121.336084,,,,,,0
4002,4002,Hammer Ln & Amber Wy EB,,38.021037,-121.332162,,,,,,0
4003,4003,Hammer Ln & El Dorado St EB,,38.020994,-121.315154,,,,,,0
4004,4004,Hammer Ln & Lan Ark Dr EB,,38.020934,-121.30937,,,,,,0
4005,4005,Hammer Ln & Tam O Shanter EB,,38.020938,-121.300481,,,,,,0
3978,3978,Hammer Ln & El Dorado St WB,,38.021012,-121.315304,,,,,,0
3979,3979,Hammer Ln & Misty Ln WB,,38.021038,-121.331599,,,,,,0
7526,7526,Holman Rd & Windflower SB,,38.01007,-121.273131,,,,,,0
7263,7263,El Dorado & Iris Ave SB,,38.02243,-121.315524,,,,,,0
7708,7708,Carolyn Weston & Manthey WB,,37.912259,-121.294702,,,,,,0
7019,7019,West Lane & Stadium NB,,37.985514,-121.284411,,,,,,0
7175,7175,Thornton Rd & Whistler NB,,38.049316,-121.35098,,,,,,0
7783,7783,Kirk St & Alpine Ave NB,,37.968861,-121.343792,,,,,,0
7784,7784,MLK Blvd & French Camp Trpk EB,,37.938179,-121.289904,,,,,,0
4008,4008,Oro & Guernsey Ave NB,Oro Ave & Guernsey Ave,37.952308,-121.233546,,,,,,0
7766,7766,11th St & D St WB,,37.931262,-121.250148,,,,,,0
7769,7769,10th St & Anne St WB,,37.930137,-121.261576,,,,,,0
7765,7765,11th St & D St EB,,37.931244,-121.250148,,,,,,0
7780,7780,Alpine & Sanguinetti Ln WB,,37.986676,-121.273228,,,,,,0
7776,7776,Montauban Ave & March Ln NB,,38.003617,-121.284707,,,,,,0
4020,4020,Montauban Ave & Swain Rd NB,,38.01251,-121.290127,,,,,,0
7778,7778,Montauban Ave & Hammertown Dr NB,,38.016588,-121.288956,,,,,,0
7779,7779,Montauban Ave & Hammertown Dr SB,,38.016553,-121.288979,,,,,,0
4022,4022,Lorraine Ave & Swain Rd SB,,38.013145,-121.28501,,,,,,0
7777,7777,Bianchi Rd & March Ln SB,,38.003554,-121.284707,,,,,,0
4023,4023,Alpine & El Pinal Dr EB,,37.986087,-121.275469,,,,,,0
7787,7787,Cherokee Rd & Myran Av SB,Cherokee Rd & Myran Ave,37.983483,-121.260388,,,,,,0
