route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Sunset Beach - Tustin Station,3,,00AFF2,1,70,http://www.octa.net/eBusBook/RoutePDF/route070.pdf,Sunset Beach - Tustin Station via Edinger,70
Laguna Hills - San Clemente,3,,00AFF2,1,91,http://www.octa.net/eBusBook/RoutePDF/route091.pdf,Laguna Hills - San Clemente via Valencia/Camino Capistrano/Del O,91
La Habra - Anaheim,3,,938177,1,129,http://www.octa.net/eBusBook/RoutePDF/route129.pdf,La Habra - Anaheim via Central - Birch - Kraemer,129
Orange - Irvine,3,,938177,1,167,http://www.octa.net/eBusBook/RoutePDF/route167.pdf,Orange - Irvine via Hewes/Bryan/Jeffrey,167
Tustin - Newport Beach,3,,00AFF2,1,79,http://www.octa.net/eBusBook/RoutePDF/route079.pdf,Tustin - Newport Beach via Irvine/Culver/University,79
Irvine Metrolink Station - Lake Forest **,3,,CF1429,1,480,http://www.octa.net/eBusBook/RoutePDF/route480.pdf,Irvine Metrolink Station - Lake Forest ** via Alton/Bake,480
Lakewood - Anaheim Hills,3,,00AFF2,1,38,http://www.octa.net/eBusBook/RoutePDF/route038.pdf,Lakewood - Anaheim Hills via Del Amo / La Palma,38
Anaheim - Irvine,3,,00AFF2,1,59,http://www.octa.net/eBusBook/RoutePDF/route059.pdf,Anaheim - Irvine via Kraemer/Glassell/Grand,59
Rancho Viejo & Junipero Serra - OC Fairgrounds,3,,8080FF,1,691A,,OC FAIR EXPRESS - Rancho Viejo & Junipero Serra,691A
GWTC - OC Fairgrounds,3,,8080FF,1,670A,,OC FAIR EXPRESS - GWTC,670A
Garden Grove - Orange,3,,00AFF2,1,54,http://www.octa.net/eBusBook/RoutePDF/route054.pdf,Garden Grove - Orange via Chapman Ave,54
Brea - Newport Beach,3,,00AFF2,1,57,http://www.octa.net/eBusBook/RoutePDF/route057.pdf,Brea - Newport Beach via State College/Bristol,57
Garden Grove - Orange,3,,00AFF2,1,56,http://www.octa.net/eBusBook/RoutePDF/route056.pdf,Garden Grove - Orange via Garden Grove Blvd,56
La Habra - Fountain Valley,3,,00AFF2,1,37,http://www.octa.net/eBusBook/RoutePDF/route037.pdf,La Habra - Fountain Valley via Euclid St,37
Long Beach - Orange,3,,00AFF2,1,50,http://www.octa.net/eBusBook/RoutePDF/route050.pdf,Long Beach - Orange via Katella Ave,50
Orange - Irvine,3,,00AFF2,1,53,http://www.octa.net/eBusBook/RoutePDF/route053.pdf,Orange - Irvine via Main St,53
Santa Ana - OC Fairgrounds,3,,8080FF,1,662A,,OC FAIR EXPRESS - Santa Ana,662A
Long Beach - Santa Ana,3,,F48221,1,560,http://www.octa.net/eBusBook/RoutePDF/route560.pdf,Long Beach - Santa Ana via Westminster / 17th,560
Santa Ana - Newport Beach,3,,00AFF2,1,55,http://www.octa.net/eBusBook/RoutePDF/route055.pdf,Santa Ana - Newport Beach via Standard/Bristol/Fairview/17th,55
LHTC - OC Fairgrounds,3,,8080FF,1,683A,,OC FAIR EXPRESS - LHTC,683A
Fullerton - Los Angeles Express,3,,614474,1,721,http://www.octa.net/eBusBook/RoutePDF/route721.pdf,Fullerton - Los Angeles Express via 110 Fwy / 91 Fwy,721
FPNR - OC Fairgrounds,3,,8080FF,1,633A,,OC FAIR EXPRESS - FPNR,633A
Orange - Irvine Xpress,3,,672d99,1,53x,http://www.octa.net/eBusBook/RoutePDF/route053.pdf,Orange - Irvine via Main St - Xpress,53x
Fullerton - Huntington Beach,3,,00AFF2,1,33,http://www.octa.net/eBusBook/RoutePDF/route033.pdf,Fullerton - Huntington Beach via Magnolia St,33
Tustin Station - Dana Point Harbor,3,,00AFF2,1,90,http://www.octa.net/eBusBook/RoutePDF/route090.pdf,Tustin Station - Dana Point Harbor via Moulton / Golden Lantern,90
Village of Orange - OC Fairgrounds,3,,8080FF,1,642A,,OC FAIR EXPRESS - Village of Orange,642A
