"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"4818","64818","MIDDLEFIELD STATION (0)","","37.395428162000002","-122.052209914","1"
"4786","64786","MOUNTAIN VIEW STATION (1)","","37.395283241999998","-122.07759622899999","1"
"4821","64821","MOUNTAIN VIEW STATION (0)","","37.394951503000001","-122.076788642","1"
"4801","64801","BAYPOINTE STATION (0)","","37.41087684","-121.941523399","1"
"4806","64806","BAYPOINTE STATION (1)","","37.410531278000001","-121.942316918","1"
"4788","64788","WHISMAN STATION (1)","","37.392204665999998","-122.058220334","1"
"4819","64819","WHISMAN STATION (0)","","37.391772631000002","-122.058999988","1"
"4802","64802","CISCO STATION (0)","","37.412348244999997","-121.92831160999999","1"
"4803","64803","I-880 STATION (0)","","37.413571593999997","-121.917117909","1"
"4804","64804","I-880 STATION (1)","","37.413129347999998","-121.91770005799999","1"
"4805","64805","CISCO STATION (1)","","37.412658911999998","-121.929051105","1"
"5023","65023","MOFFETT PARK STATION (1)","","37.402367022","-122.033459859","1"
"5024","65024","MOFFETT PARK STATION (0)","","37.402439401999999","-122.03433104600001","1"
"5235","65235","GREAT MALL STATION (0)","","37.413925310000003","-121.90143430000001","1"
"5250","65250","GREAT MALL STATION (1)","","37.414389679999999","-121.90212329000001","1"
"5236","65236","MONTAGUE STATION (0)","","37.408549219999998","-121.89061812999999","1"
"5249","65249","MONTAGUE STATION (1)","","37.408945029999998","-121.89136533","1"
"5237","65237","CROPLEY STATION (0)","","37.402644049999999","-121.88106857","1"
"5248","65248","CROPLEY STATION (1)","","37.404005810000001","-121.88307687","1"
"5238","65238","HOSTETTER STATION (0)","","37.395648780000002","-121.87028961","1"
"5247","65247","HOSTETTER STATION (1)","","37.395115990000001","-121.86962911000001","1"
"5239","65239","BERRYESSA STATION (0)","","37.387385950000002","-121.86147712","1"
"5246","65246","BERRYESSA STATION (1)","","37.389085379999997","-121.86311282","1"
"5240","65240","PENITENCIA CREEK STATION (0)","","37.380958489999998","-121.85441732","1"
"5245","65245","PENITENCIA CREEK STATION (1)","","37.382024999999999","-121.8554","1"
"5241","65241","MCKEE STATION (0)","","37.371056760000002","-121.84403639","1"
"5244","65244","MCKEE STATION (1)","","37.37264794","-121.84547695000001","1"
"5242","65242","ALUM ROCK STATION (0)","","37.358134139999997","-121.83212036","1"
"5813","65813","ALUM ROCK STATION STORAGE TRACK","","37.358134999999997","-121.832121","1"
"5243","65243","ALUM ROCK STATION (1)","","37.358369000000003","-121.832239","1"
"5381","65381","DIRIDON STATION (1)","","37.328392999999998","-121.903407","1"
"5374","65374","DIRIDON STATION (0)","","37.32894718","-121.90351130000001","1"
"5382","65382","RACE STATION (1)","","37.317154960000003","-121.91075288","1"
"5375","65375","RACE STATION (0)","","37.317567349999997","-121.91031372","1"
"5383","65383","FRUITDALE STATION (1)","","37.310121680000002","-121.91848277","1"
"5376","65376","FRUITDALE STATION (0)","","37.310481760000002","-121.91801691000001","1"
"5384","65384","BASCOM STATION (1)","","37.299466649999999","-121.93030419","1"
"5377","65377","BASCOM STATION (0)","","37.299850560000003","-121.92983014000001","1"
"5385","65385","HAMILTON STATION (1)","","37.293691039999999","-121.93657641999999","1"
"5378","65378","HAMILTON STATION (0)","","37.294064050000003","-121.93616684","1"
"5386","65386","CAMPBELL STATION (1)","","37.285483069999998","-121.94339544","1"
"5379","65379","CAMPBELL STATION (0)","","37.285899929999999","-121.94302734999999","1"
"5387","65387","WINCHESTER STATION (1)","","37.279177959999998","-121.94830663","1"
"5380","65380","WINCHESTER STATION (0)","","37.27960951","-121.94790653","1"
"5389","65389","SAN FERNANDO STATION (1)","","37.330248490000002","-121.89904461","1"
"5388","65388","SAN FERNANDO STATION (0)","","37.330366660000003","-121.89811631000001","1"
"1564","61564","ARBORETUM & SAND HILL","","37.440556809","-122.173638697","1"
"1565","61565","SAND HILL & STANFORD SHOPPING CTR","","37.443449786999999","-122.17356866900001","1"
"5058","65058","QUARRY & PALO","","37.442075054999997","-122.169486165","1"
