stop_id,stop_city
768639,El Nido
768640,Le Grand
768641,Le Grand
768642,Planada
768643,Planada
768644,Planada
770323,Gustine
770324,Newman
770325,Los Banos
770326,Los Banos
770327,Gustine
781812,
781813,
781814,
781815,
781816,
781906,
781907,
781908,
781909,
781911,
781912,
781913,
781915,
781916,
781917,
781921,
781922,
781923,
781924,
781925,
781926,
781927,
781928,
781929,
781930,
781931,
781932,
781933,
781934,
781935,
781936,
781937,
781938,
781939,
781940,
781941,
781942,
781943,
781944,
781945,
781946,
781947,
781948,
781949,
781950,
781952,
781953,
781954,
781955,
781956,
781994,
782478,
782479,
782480,
782481,
782482,
782483,
782484,
782485,
782486,
782487,
782488,
782489,
835001,
835719,
844203,
844204,
