fare_id,route_id,origin_id,destination_id,contains_id
860,,570,570,
860,,559,559,
860,,568,568,
861,,562,563,
861,,564,559,
861,,564,568,
861,,564,570,
861,,572,569,
861,,561,565,
861,,560,567,
861,,562,565,
861,,562,560,
861,,570,566,
861,,559,566,
861,,568,566,
861,,565,567,
861,,561,563,
860,,559,561,
861,,564,561,
861,,559,572,
861,,568,572,
861,,570,572,
861,,572,564,
861,,563,567,
861,,566,562,
860,,561,559,
861,,569,561,
861,,562,566,
861,,568,560,
861,,570,560,
861,,570,565,
861,,559,565,
861,,568,565,
861,,566,569,
860,,560,559,
861,,567,566,
861,,561,566,
861,,570,563,
861,,559,563,
861,,568,563,
861,,566,564,
860,,561,561,
861,,563,566,
861,,569,559,
861,,569,568,
861,,569,570,
861,,560,572,
861,,572,561,
861,,565,572,
861,,572,562,
861,,562,572,
860,,562,562,
861,,561,572,
860,,560,561,
860,,572,572,
861,,567,572,
861,,567,562,
861,,561,562,
861,,567,561,
861,,570,564,
860,,564,564,
861,,559,564,
861,,568,564,
861,,565,562,
861,,560,562,
861,,563,559,
861,,563,568,
861,,563,570,
861,,565,561,
861,,569,566,
861,,562,561,
861,,570,569,
861,,559,569,
861,,561,568,
861,,561,570,
861,,568,569,
861,,564,567,
860,,559,560,
861,,564,560,
861,,566,563,
861,,567,559,
861,,567,568,
861,,567,570,
861,,564,565,
861,,569,572,
861,,560,568,
861,,560,570,
861,,563,562,
861,,566,567,
861,,563,561,
861,,565,559,
861,,565,568,
861,,565,570,
861,,566,560,
861,,566,565,
861,,562,559,
861,,562,568,
861,,562,570,
861,,564,563,
861,,572,566,
861,,570,561,
860,,569,569,
861,,566,572,
861,,568,561,
861,,560,564,
861,,569,567,
860,,563,563,
861,,569,560,
861,,565,564,
861,,559,562,
861,,568,562,
861,,562,564,
861,,569,565,
861,,570,562,
861,,564,572,
861,,561,564,
861,,563,569,
861,,567,564,
861,,569,563,
861,,570,559,
861,,570,568,
861,,572,567,
861,,559,568,
861,,559,570,
861,,561,569,
861,,568,559,
861,,568,570,
860,,561,560,
860,,567,567,
861,,563,564,
861,,572,565,
861,,567,569,
861,,572,560,
861,,560,569,
860,,565,565,
861,,564,566,
861,,565,569,
861,,572,563,
860,,560,560,
861,,562,569,
861,,567,565,
861,,561,567,
861,,565,563,
861,,567,560,
860,,566,566,
861,,560,563,
861,,565,560,
861,,566,559,
861,,566,568,
861,,566,570,
861,,567,563,
861,,569,564,
861,,560,565,
861,,562,567,
861,,564,562,
861,,563,560,
861,,566,561,
861,,563,565,
861,,564,569,
861,,565,566,
861,,559,567,
861,,568,567,
861,,570,567,
861,,572,559,
861,,572,568,
861,,572,570,
861,,563,572,
861,,560,566,
861,,569,562,
