route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
66,1053612,21001053612,New York Penn Station,2100,0,42
66,1053614,21001053614,New York Penn Station,2100,0,42
66,1053615,21001053615,New York Penn Station,2100,0,42
66,1053618,21001053618,New York Penn Station,2100,0,42
66,1053606,21031053606,Washington Union Station Amtrak,2103,1,40
66,1053608,21031053608,Washington Union Station Amtrak,2103,1,40
66,1053611,21031053611,Washington Union Station Amtrak,2103,1,40
66,1053619,21041053619,New York Penn Station,2104,0,42
66,1053621,21041053621,New York Penn Station,2104,0,42
66,1053622,21041053622,New York Penn Station,2104,0,42
66,1053625,21041053625,New York Penn Station,2104,0,42
66,1053632,21071053632,Washington Union Station Amtrak,2107,1,40
66,1053634,21071053634,Washington Union Station Amtrak,2107,1,40
66,1053637,21071053637,Washington Union Station Amtrak,2107,1,40
66,1053626,21091053626,Washington Union Station Amtrak,2109,1,40
66,1053628,21091053628,Washington Union Station Amtrak,2109,1,40
66,1053631,21091053631,Washington Union Station Amtrak,2109,1,40
66,1053638,21101053638,New York Penn Station,2110,0,42
66,1053640,21101053640,New York Penn Station,2110,0,42
66,1053643,21101053643,New York Penn Station,2110,0,42
66,1053644,21171053644,Washington Union Station Amtrak,2117,1,40
66,1053646,21171053646,Washington Union Station Amtrak,2117,1,40
66,1053649,21171053649,Washington Union Station Amtrak,2117,1,40
66,1053650,21191053650,Washington Union Station Amtrak,2119,1,40
66,1053652,21191053652,Washington Union Station Amtrak,2119,1,40
66,1053655,21191053655,Washington Union Station Amtrak,2119,1,40
66,1053662,21211053662,Washington Union Station Amtrak,2121,1,40
66,1053664,21211053664,Washington Union Station Amtrak,2121,1,40
66,1053667,21211053667,Washington Union Station Amtrak,2121,1,40
66,1053656,21221053656,New York Penn Station,2122,0,42
66,1053658,21221053658,New York Penn Station,2122,0,42
66,1053661,21221053661,New York Penn Station,2122,0,42
66,1053668,21241053668,New York Penn Station,2124,0,42
66,1053670,21241053670,New York Penn Station,2124,0,42
66,1053671,21241053671,New York Penn Station,2124,0,42
66,1053673,21241053673,New York Penn Station,2124,0,42
66,1053674,21261053674,New York Penn Station,2126,0,42
