route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
66,51,,Acela Express,2,http://www.amtrak.com/acela-express-train,CAE4F1,000000
95,51,,Adirondack,2,http://www.amtrak.com/adirondack-train,CAE4F1,000000
60,51,,Amtrak Cascades,2,http://www.amtrak.com/cascades-train,CAE4F1,000000
77,51,,Auto Train,2,http://www.amtrak.com/auto-train,CAE4F1,000000
71,51,,Blue Water,2,http://www.amtrak.com/michigan-services-train,CAE4F1,000000
96,51,,California Zephyr,2,http://www.amtrak.com/california-zephyr-train,CAE4F1,000000
84,51,,Capitol Corridor,2,http://www.amtrak.com/capitol-corridor-train,CAE4F1,000000
53,51,,Capitol Limited,2,http://www.amtrak.com/capitol-limited-train,CAE4F1,000000
58,51,,Cardinal,2,http://www.amtrak.com/cardinal-hoosier-state-train,CAE4F1,000000
72,51,,Carl Sandburg,2,http://www.amtrak.com/illinois-services-train,CAE4F1,000000
85,51,,Carolinian,2,http://www.amtrak.com/carolinian-piedmont-train,CAE4F1,000000
62,51,,City Of New Orleans,2,http://www.amtrak.com/city-of-new-orleans-train,CAE4F1,000000
65,51,,Coast Starlight,2,http://www.amtrak.com/coast-starlight-train,CAE4F1,000000
89,51,,Crescent,2,http://www.amtrak.com/crescent-train,CAE4F1,000000
61,51,,Downeaster,2,http://www.amtrak.com/downeaster-train,CAE4F1,000000
75,51,,Empire Builder,2,http://www.amtrak.com/empire-builder-train,CAE4F1,000000
74,51,,Empire Service,2,http://www.amtrak.com/empire-service-train,CAE4F1,000000
82,51,,Ethan Allen Express,2,http://www.amtrak.com/ethan-allen-express-train,CAE4F1,000000
86,51,,Heartland Flyer,2,http://www.amtrak.com/heartland-flyer-train,CAE4F1,000000
54,51,,Hiawatha Service,2,http://www.amtrak.com/hiawatha-train,CAE4F1,000000
59,51,,Hoosier State,2,http://www.amtrak.com/cardinal-hoosier-state-train,CAE4F1,000000
56,51,,Illini,2,http://www.amtrak.com/illinois-services-train,CAE4F1,000000
93,51,,Illinois Zephyr,2,http://www.amtrak.com/illinois-services-train,CAE4F1,000000
94,51,,Keystone Service,2,http://www.amtrak.com/keystone-service-train,CAE4F1,000000
81,51,,Lake Shore Limited,2,http://www.amtrak.com/lake-shore-limited-train,CAE4F1,000000
76,51,,Lincoln Service,2,http://www.amtrak.com/illinois-services-train,CAE4F1,000000
68,51,,Maple Leaf,2,http://www.amtrak.com/maple-leaf-train,CAE4F1,000000
83,51,,Missouri River Runner,2,http://www.amtrak.com/missouri-river-runner-train,CAE4F1,000000
88,51,,Northeast Regional,2,http://www.amtrak.com/northeast-regional-train,CAE4F1,000000
78,51,,Pacific Surfliner,2,http://www.amtrak.com/pacific-surfliner-train,CAE4F1,000000
69,51,,Palmetto,2,http://www.amtrak.com/silver-service-palmetto-train,CAE4F1,000000
64,51,,Pennsylvanian,2,http://www.amtrak.com/pennsylvanian-train,CAE4F1,000000
55,51,,Pere Marquette,2,http://www.amtrak.com/michigan-services-train,CAE4F1,000000
79,51,,Piedmont,2,http://www.amtrak.com/carolinian-piedmont-train,CAE4F1,000000
63,51,,Saluki,2,http://www.amtrak.com/illinois-services-train,CAE4F1,000000
26025,51,,San Joaquins,2,http://www.amtrak.com/san-joaquins-train,CAE4F1,000000
57,51,,Shuttle,2,http://www.amtrak.com/northeast-regional-train,CAE4F1,000000
91,51,,Silver Meteor,2,http://www.amtrak.com/silver-service-palmetto-train,CAE4F1,000000
70,51,,Silver Star,2,http://www.amtrak.com/silver-service-palmetto-train,CAE4F1,000000
51,51,,Southwest Chief,2,http://www.amtrak.com/southwest-chief-train,CAE4F1,000000
73,51,,Sunset Limited,2,http://www.amtrak.com/sunset-limited-train,CAE4F1,000000
87,51,,Texas Eagle,2,http://www.amtrak.com/texas-eagle-train,CAE4F1,000000
90,51,,Vermonter,2,http://www.amtrak.com/vermonter-train,CAE4F1,000000
80,51,,Wolverine,2,http://www.amtrak.com/michigan-services-train,CAE4F1,000000
42,42,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
28,28,,Temporary Substitute Service For Train,3,http://www.amtrak.com,CAE4F1,000000
18172,115,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
16,16,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
18650,117,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
45,45,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
4,4,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
15159,108,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
16694,112,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
18181,116,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
12,12,,Amtrak Thruway Connecting Service,3,http://www.amtrak.com,CAE4F1,000000
