route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
CC,520,Sacramento,,0,,a463c8fb-9596-4564-8468-d8813a5621dd,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,521,San Jose,,1,,3f8aadde-5337-40ea-b1a5-4d84ebe003e8,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,522,Sacramento,,0,,a463c8fb-9596-4564-8468-d8813a5621dd,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,523,San Jose,,1,,3f8aadde-5337-40ea-b1a5-4d84ebe003e8,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,524,Sacramento,,0,,f019880c-cb37-4d0a-9e61-c3d81d1c022c,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,525,San Jose,,1,,3f8aadde-5337-40ea-b1a5-4d84ebe003e8,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,527,San Jose,,1,,3f8aadde-5337-40ea-b1a5-4d84ebe003e8,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,528,Sacramento,,0,,f019880c-cb37-4d0a-9e61-c3d81d1c022c,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,529,Oakland Jack London,,1,,4fee6c34-aac3-4a33-b5b4-05a27e0af4a6,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,530,Sacramento,,0,,a463c8fb-9596-4564-8468-d8813a5621dd,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,531,Oakland Coliseum,,1,,fd8cd3ed-d3f7-41c9-8f2d-5907491929a8,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,532,Sacramento,,0,,f019880c-cb37-4d0a-9e61-c3d81d1c022c,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,534,Sacramento,,0,,a463c8fb-9596-4564-8468-d8813a5621dd,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,535,Oakland Coliseum,,1,,697df859-e8c6-4adf-ad98-b98a5d406323,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
CC,536,Auburn,,0,,2f89a36e-6c54-4c8a-8815-c0d3d162b753,0,1,a9afbb6f-a77d-46d6-9f77-ec3ada3630bc
