trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
750635,13:30:00,13:30:00,22273,1,,,,
750635,13:32:00,13:32:00,22160,2,,,,
750635,,,22301,3,,,,
750635,,,22157,4,,,,
750635,,,22153,5,,,,
750635,13:35:00,13:35:00,22154,6,,,,
750635,,,22134,7,,,,
750635,,,22136,8,,,,
750635,,,22139,9,,,,
750635,,,22140,10,,,,
750635,,,22142,11,,,,
750635,13:42:00,13:42:00,22144,12,,,,
750635,,,22143,13,,,,
750635,,,22141,14,,,,
750635,,,22138,15,,,,
750635,13:44:00,13:44:00,22137,16,,,,
750635,,,22135,17,,,,
750635,13:47:00,13:47:00,22155,18,,,,
750635,,,22156,19,,,,
750635,,,22158,20,,,,
750635,,,22302,21,,,,
750635,13:49:00,13:49:00,22159,22,,,,
750635,14:00:00,14:00:00,22167,23,,1,,
750634,12:30:00,12:30:00,22273,1,,,,
750634,12:32:00,12:32:00,22160,2,,,,
750634,,,22301,3,,,,
750634,,,22157,4,,,,
750634,,,22153,5,,,,
750634,12:35:00,12:35:00,22154,6,,,,
750634,,,22134,7,,,,
750634,,,22136,8,,,,
750634,,,22139,9,,,,
750634,,,22140,10,,,,
750634,,,22142,11,,,,
750634,12:42:00,12:42:00,22144,12,,,,
750634,,,22143,13,,,,
750634,,,22141,14,,,,
750634,,,22138,15,,,,
750634,12:44:00,12:44:00,22137,16,,,,
750634,,,22135,17,,,,
750634,12:47:00,12:47:00,22155,18,,,,
750634,,,22156,19,,,,
750634,,,22158,20,,,,
750634,,,22302,21,,,,
750634,12:49:00,12:49:00,22159,22,,,,
750634,13:00:00,13:00:00,22167,23,,1,,
750637,15:30:00,15:30:00,22273,1,,,,
750637,15:32:00,15:32:00,22160,2,,,,
750637,,,22301,3,,,,
750637,,,22157,4,,,,
750637,,,22153,5,,,,
750637,15:35:00,15:35:00,22154,6,,,,
750637,,,22134,7,,,,
750637,,,22136,8,,,,
750637,,,22139,9,,,,
750637,,,22140,10,,,,
750637,,,22142,11,,,,
750637,15:42:00,15:42:00,22144,12,,,,
750637,,,22143,13,,,,
750637,,,22141,14,,,,
750637,,,22138,15,,,,
750637,15:44:00,15:44:00,22137,16,,,,
750637,,,22135,17,,,,
750637,15:47:00,15:47:00,22155,18,,,,
750637,,,22156,19,,,,
750637,,,22158,20,,,,
750637,,,22302,21,,,,
750637,15:49:00,15:49:00,22159,22,,,,
750637,16:00:00,16:00:00,22167,23,,1,,
750636,14:30:00,14:30:00,22273,1,,,,
750636,14:32:00,14:32:00,22160,2,,,,
750636,,,22301,3,,,,
750636,,,22157,4,,,,
750636,,,22153,5,,,,
750636,14:35:00,14:35:00,22154,6,,,,
750636,,,22134,7,,,,
750636,,,22136,8,,,,
750636,,,22139,9,,,,
750636,,,22140,10,,,,
750636,,,22142,11,,,,
750636,14:42:00,14:42:00,22144,12,,,,
750636,,,22143,13,,,,
750636,,,22141,14,,,,
750636,,,22138,15,,,,
750636,14:44:00,14:44:00,22137,16,,,,
750636,,,22135,17,,,,
750636,14:47:00,14:47:00,22155,18,,,,
750636,,,22156,19,,,,
750636,,,22158,20,,,,
750636,,,22302,21,,,,
750636,14:49:00,14:49:00,22159,22,,,,
750636,15:00:00,15:00:00,22167,23,,1,,
750631,20:10:00,20:10:00,22273,1,,,,
750631,20:12:00,20:12:00,22160,2,,,,
750631,,,22301,3,,,,
750631,,,22157,4,,,,
750631,,,22153,5,,,,
750631,20:15:00,20:15:00,22154,6,,,,
750631,,,22134,7,,,,
750631,,,22136,8,,,,
750631,,,22139,9,,,,
750631,,,22140,10,,,,
750631,,,22142,11,,,,
750631,20:22:00,20:22:00,22144,12,,,,
750631,,,22143,13,,,,
750631,,,22141,14,,,,
750631,,,22138,15,,,,
750631,20:24:00,20:24:00,22137,16,,,,
750631,,,22135,17,,,,
750631,20:27:00,20:27:00,22155,18,,,,
750631,,,22156,19,,,,
750631,,,22158,20,,,,
750631,,,22302,21,,,,
750631,20:29:00,20:29:00,22159,22,,,,
750631,20:40:00,20:40:00,22167,23,,1,,
750630,19:10:00,19:10:00,22273,1,,,,
750630,19:12:00,19:12:00,22160,2,,,,
750630,,,22301,3,,,,
750630,,,22157,4,,,,
750630,,,22153,5,,,,
750630,19:15:00,19:15:00,22154,6,,,,
750630,,,22134,7,,,,
750630,,,22136,8,,,,
750630,,,22139,9,,,,
750630,,,22140,10,,,,
750630,,,22142,11,,,,
750630,19:22:00,19:22:00,22144,12,,,,
750630,,,22143,13,,,,
750630,,,22141,14,,,,
750630,,,22138,15,,,,
750630,19:24:00,19:24:00,22137,16,,,,
750630,,,22135,17,,,,
750630,19:27:00,19:27:00,22155,18,,,,
750630,,,22156,19,,,,
750630,,,22158,20,,,,
750630,,,22302,21,,,,
750630,19:29:00,19:29:00,22159,22,,,,
750630,19:40:00,19:40:00,22167,23,,1,,
750633,22:10:00,22:10:00,22273,1,,,,
750633,22:12:00,22:12:00,22160,2,,,,
750633,,,22301,3,,,,
750633,,,22157,4,,,,
750633,,,22153,5,,,,
750633,22:15:00,22:15:00,22154,6,,,,
750633,,,22134,7,,,,
750633,,,22136,8,,,,
750633,,,22139,9,,,,
750633,,,22140,10,,,,
750633,,,22142,11,,,,
750633,22:22:00,22:22:00,22144,12,,,,
750633,,,22143,13,,,,
750633,,,22141,14,,,,
750633,,,22138,15,,,,
750633,22:24:00,22:24:00,22137,16,,,,
750633,,,22135,17,,,,
750633,22:27:00,22:27:00,22155,18,,,,
750633,,,22156,19,,,,
750633,,,22158,20,,,,
750633,,,22302,21,,,,
750633,22:29:00,22:29:00,22159,22,,,,
750633,22:35:00,22:35:00,22167,23,,1,,
750632,21:10:00,21:10:00,22273,1,,,,
750632,21:12:00,21:12:00,22160,2,,,,
750632,,,22301,3,,,,
750632,,,22157,4,,,,
750632,,,22153,5,,,,
750632,21:15:00,21:15:00,22154,6,,,,
750632,,,22134,7,,,,
750632,,,22136,8,,,,
750632,,,22139,9,,,,
750632,,,22140,10,,,,
750632,,,22142,11,,,,
750632,21:22:00,21:22:00,22144,12,,,,
750632,,,22143,13,,,,
750632,,,22141,14,,,,
750632,,,22138,15,,,,
