stop_lat,stop_code,stop_lon,stop_id,stop_desc,stop_name,location_type,zone_id
38.53704,22285,-121.761074,22285,Buses head SB,La Rue Rd & Hutchison (SB),0,0
38.552776,22105,-121.734357,22105,Buses head EB,8th St & L St (EB),0,0
38.54136,22042,-121.720724,22042,Buses head WB,Lillard Dr & Farragut Cir (WB),0,0
38.54402,22175,-121.759833,22175,Buses head NB,La Rue Rd & Orchard (NB),0,0
38.541664,22174,-121.717347,22174,Buses head EB,Lillard Dr & Evans Ct (EB),0,0
38.546237,22177,-121.761999,22177,Buses head EB,Russell Blvd & Sycamore Ln (EB),0,0
38.542506,22176,-121.760887,22176,Buses head SB,La Rue Rd & Orchard (SB),0,0
38.548896,22078,-121.730801,22078,Buses head WB,5th St & Davis PW Corp Yard (WB),0,0
38.564067,22079,-121.708874,22079,Buses head EB,Covell Blvd & Alhambra Dr (EB),0,0
38.53903,22173,-121.755774,22173,Buses head EB,Hutchison Dr & Bioletti Way (EB),0,0
38.548641,22172,-121.693596,22172,Buses head EB,Cowell Blvd & Mace Blvd (EB),0,0
38.54904,22074,-121.725533,22074,Buses head WB,5th St & Post Office / Pole Line Rd (WB),0,0
38.548741,22075,-121.725653,22075,Buses head EB,5th St & Post Office / Pole Line (EB),0,0
38.548562,22076,-121.727627,22076,Buses head EB,5th St & Pole Line Rd (EB),0,0
38.548835,22077,-121.727775,22077,Buses head WB,5th St & Pole Line Rd (WB),0,0
38.554599,22070,-121.709777,22070,Buses head EB,5th St & Windmere Apts. (EB),0,0
38.552633,22071,-121.716511,22071,Buses head WB,5th St & San Rafael St (WB),0,0
38.551533,22072,-121.721356,22072,Buses head WB,5th St & Cantrill (WB),0,0
38.551779,22073,-121.719045,22073,Buses head EB,5th St & Cantrill  (EB),0,0
38.562669,22081,-121.714597,22081,Buses head SB,Monarch Ln & Campbell (SB),0,0
38.550929,22121,-121.744008,22121,Buses head EB,8th St & D St (EB),0,0
38.540044,22036,-121.727536,22036,Buses head WB,Cowell Blvd & Drew Ave (WB),0,0
38.539742,22037,-121.726847,22037,Buses head EB,Cowell Blvd & Drew Ave (EB),0,0
38.547353,22048,-121.712628,22048,Buses head EB,Cowell Blvd & Drummond Ave (EB),0,0
38.554912,22188,-121.764838,22188,Buses head NB,Sycamore Ln & Bucknell Dr (NB),0,0
38.553481,22189,-121.764886,22189,Buses head NB,Sycamore Ln & Cornell Dr (NB),0,0
38.539287,22168,-121.748917,22168,Buses head WB,Hutchison & Shields Library (WB),0,0
38.542589,22039,-121.72519,22039,Buses head SB,Pole Line Rd & Cowell Blvd (SB),0,0
38.534458,22269,-121.759012,22269,Buses head SB,Dairy Rd & La Rue Rd (SB),0,0
38.547933,22181,-121.763945,22181,Buses head EB,Wake Forest Dr & Oxford Cir (EB),0,0
38.549228,22182,-121.766869,22182,Buses head SB,Wake Forest Dr & 8th Street (SB),0,0
38.539195,22169,-121.748375,22169,Buses head EB,Hutchison Dr & Art Building (EB),0,0
38.550582,22184,-121.764706,22184,Buses head WB,8th St & Sycamore Ln (WB),0,0
38.550965,22185,-121.764404,22185,Buses head NB,Sycamore Ln & 8th St (NB),0,0
38.556476,22186,-121.764806,22186,Buses head NB,Sycamore Ln & Villanova Dr (NB),0,0
38.555308,22187,-121.765045,22187,Buses head SB,Sycamore Ln & Colby Dr. (SB),0,0
38.562652,22362,-121.73024,22362,Buses head WB,Covell Blvd & Pole Line Rd (WB),0,0
38.56108,22199,-121.770763,22199,Buses head WB,Covell Blvd & John Jones Rd (WB),0,0
38.54333,22009,-121.74093,22009,Buses head WB,2nd St & E St (WB),0,0
38.543983,22167,-121.749798,22167,Buses head NB,Memorial Union Terminal Arrival & Howard Way (NB),0,0
38.55044,22164,-121.752853,22164,Buses head SB,Oak Ave & 8th St (SB),0,0
38.546644,22165,-121.752651,22165,Buses head NB,Oak Ave & Russell Blvd (NB),0,0
38.552723,22162,-121.752779,22162,Buses head SB,Oak Ave & Antioch Dr (SB),0,0
38.551035,22163,-121.752611,22163,Buses head NB,Oak Ave & 8th St (NB),0,0
38.546911,22160,-121.758572,22160,Buses head NB,Anderson Rd & Russell Blvd (NB),0,0
38.553345,22161,-121.752569,22161,Buses head NB,Oak Ave & Antioch Dr (NB),0,0
38.540158,22001,-121.746139,22001,Buses head WB,Hutchison Drive & Old Davis Road (WB),0,0
38.540031,22000,-121.746053,22000,Buses head EB,Hutchison Dr & Old Davis Road (EB),0,0
38.541818,22003,-121.742051,22003,Buses head WB,1st St & D St (WB),0,0
38.541523,22002,-121.742543,22002,Buses head EB,1st St & C St (EB),0,0
38.542661,22005,-121.743914,22005,Buses head EB,2nd St & B St (EB),0,0
38.540645,22004,-121.738537,22004,Buses head SB,Richards Blvd & Olive Dr (SB),0,0
38.543139,22007,-121.741185,22007,Buses head EB,2nd St & E St (EB),0,0
38.541913,22006,-121.74309,22006,Buses head SB,C St & 1st St (SB),0,0
38.57313,22128,-121.7486,22128,Buses head EB,Anderson & Sandpiper (EB),0,0
38.552806,22217,-121.771111,22217,Buses head EB,Humboldt Ave & Arthur St (EB),0,0
38.54386,22272,-121.750044,22272,Buses head NB,Memorial Union  & Main Island (NB),0,0
38.543593,22273,-121.749755,22273,Buses head SB,Memorial Union & Main Island (SB),0,0
38.543621,22274,-121.749574,22274,Buses head SB,Memorial Union & East Island (SB),0,0
38.560235,22112,-121.744662,22112,Buses head NB,F St & Covell Blvd (NB),0,0
38.572335,22129,-121.755542,22129,Buses head NB,Anderson & Oriole (NB),0,0
38.556573,22153,-121.758419,22153,Buses head NB,Anderson Rd & Villanova Dr (NB),0,0
38.544507,22018,-121.741143,22018,Buses head EB,3rd St & E St (EB),0,0
38.545691,22019,-121.740698,22019,Buses head SB,F St & 4th St  (SB),0,0
38.55267,22157,-121.758497,22157,Buses head NB,Anderson Rd & Amherst Dr (NB),0,0
38.555919,22156,-121.758736,22156,Buses head SB,Anderson Rd & Villanova Dr (SB),0,0
38.558559,22155,-121.758707,22155,Buses head SB,Anderson Rd & Hanover Dr (SB),0,0
38.559455,22154,-121.758402,22154,Buses head NB,Anderson Rd & Hanover Dr (NB),0,0
38.543941,22012,-121.738245,22012,Buses head SB,H St Alley & 2nd St (SB),0,0
38.544903,22013,-121.74487,22013,Buses head NB,B St & 4th St (NB),0,0
38.547301,22159,-121.758874,22159,Buses head SB,Anderson Rd & Russell Blvd (SB),0,0
38.543988,22011,-121.738023,22011,Buses head NB,H St & Amtrak Station (NB),0,0
38.544133,22016,-121.743222,22016,Buses head EB,3rd St & C St (EB),0,0
38.54455,22017,-121.741693,22017,Buses head WB,3rd St & E St (WB),0,0
