stop_id,stop_name,stop_lat,stop_lon
1101,MLK Blvd. @ Magic Johnson Theater,34.01177,-118.337122
1104,Santa Rosalia Dr. & Stocker St.,34.007391,-118.337806
1105,Santa Rosalia Dr. & Medical Plaza,34.008962,-118.338857
1106,Santa Rosalia Dr. & Marlton Ave.,34.010301,-118.339707
1107,Santa Rosalia Dr. & Buckingham Rd.,34.012136,-118.342098
1108,Santa Rosalia Dr. & West Blvd.,34.012787,-118.344524
1109,Hillcrest Dr. & Santa Rosalia Dr.,34.01363,-118.346794
1110,Hillcrest Dr. & Pinafore St.,34.012518,-118.348008
1111,Hillcrest Dr. & Santo Tomas Dr.,34.011609,-118.348785
1112,Santo Tomas Dr. & Nicolet Ave.,34.011904,-118.351524
1113,Pinafore St. & Nicolet Ave.,34.014695,-118.351632
1114,Pinafore St. & Stevely Ave.,34.01495,-118.353503
1115,Stevely Ave. & August St.,34.017157,-118.353609
1116,Coliseum St. & La Brea Ave.,34.01839,-118.355217
1122,Coliseum St. & Wellington Rd.,34.018165,-118.338522
1124,Crenshaw Blvd. & 39th St.,34.015061,-118.334952
1125,Crenshaw Blvd. & 39th St.,34.014811,-118.335406
1133,La Brea Ave. & Rodeo Rd.,34.021194,-118.35577
1134,Coliseum St. & La Brea Ave.,34.018235,-118.355052
1135,Stevely Ave. & August St.,34.017435,-118.353664
1136,Pinafore St. & Stevely Ave.,34.014882,-118.353352
1137,Pinafore St. & Nicolet Ave.,34.014776,-118.351986
1138,Santo Tomas Dr. & Nicolet Ave.,34.011807,-118.35143
1139,Hillcrest Dr. & Santo Tomas Dr.,34.011652,-118.348564
1140,Hillcrest Dr. & Pinafore Dt.,34.012833,-118.347543
1141,Santa Rosalia Dr. & Hillcrest Dr.,34.013498,-118.346258
1142,Santa Rosalia Dr. & West Blvd.,34.012749,-118.344806
1143,Santa Rosalia Dr. & Buckingham Rd.,34.011992,-118.342117
1144,Santa Rosalia Dr. & Marlton Ave.,34.010513,-118.339947
1145,Santa Rosalia Dr. & Medical Plaza,34.009079,-118.338977
1147,Crenshaw Blvd. & Stocker St.,34.008924,-118.33531
1202,Hill St. & 35th St.,34.018337,-118.275659
1204,Grand Ave.& 30th St.,34.023246,-118.274306
1205,Grand Ave.& 28th,34.024871,-118.273281
1206,Adams Blvd. & Grand Ave.,34.026759,-118.272791
1212,23rd St. & Maple Ave.,34.0259,-118.264131
1213,Trinity St. & 23rd St.,34.025192,-118.261716
1214,Trinity St. & 21st St.,34.026597,-118.260657
1215,San Pedro St. & 21st St.,34.026096,-118.258424
1216,San Pedro St. & Washington Blvd.,34.026907,-118.257887
1217,Griffith Ave.& Washington Blvd.,34.025761,-118.253849
1218,Griffith Ave. & 21st St.,34.024259,-118.254772
1219,Griffith Ave. & 23rd St.,34.022262,-118.256051
1220,Adams Blvd. & Griffith Ave.,34.019762,-118.257353
1221,Adams Blvd. & Central Ave.,34.018783,-118.255166
1222,Central Ave. & 28th St.,34.01701,-118.255729
1225,M.L. King Blvd & Wadsworth Ave.,34.011061,-118.258808
1226,M.L. King Blvd & McKinley Ave.,34.011079,-118.260636
1227,M.L. King Blvd & Avalon Blvd.,34.011178,-118.265722
1228,M.L. King Blvd. & San Pedro St,34.011239,-118.267641
1229,M.L. King Blvd & Trinity St.,34.011251,-118.269949
1230,M.L. King Blvd & Main St.,34.011218,-118.274251
1231,M.L. King Blvd & S. Broadway,34.01118,-118.278142
1235,M.L. King Blvd & S. Broadway,34.011053,-118.27866
1236,M.L. King Blvd & Main St.,34.011056,-118.274251
1237,M.L. King Blvd & Trinity St.,34.011089,-118.270683
1239,M.L. King Blvd & Avalon Blvd.,34.010983,-118.265538
1240,M.L. King Blvd & McKinley Ave.,34.010912,-118.261105
1241,M.L. King Blvd & Wadsworth Ave.,34.010897,-118.258723
1244,Central Ave. & 28th St.,34.016557,-118.255784
1245,Adams Blvd. & Central Ave.,34.01888,-118.255093
1246,Adams Blvd. & Griffith St.,34.019861,-118.257292
1247,Griffith Ave. & 23rd St.,34.022232,-118.255923
1248,Griffith Ave. & 21st St.,34.024003,-118.254835
1249,Griffith Ave. & Washington Blvd.,34.025595,-118.253821
1251,San Pedro St. & 21st St.,34.026073,-118.258539
1253,Trinity St. & 23rd St.,34.025173,-118.261798
1254,23rd St. & Maple Ave.,34.025994,-118.264148
1255,23rd St. & Main St.,34.027292,-118.266919
1256,23rd St. & S. Broadway,34.027992,-118.267789
1257,23rd St. & Grand Ave.,34.029238,-118.270807
1259,Adams Blvd. & Figueroa St.,34.027942,-118.275745
1260,Adams Blvd. & Grand Ave.,34.026473,-118.27249
1261,Grand Ave. & 27th St.,34.025557,-118.272959
1262,Grand Ave. & 28th St.,34.024775,-118.273398
1263,Grand Ave. & 30th St.,34.023538,-118.274226
1265,Hill St. & 35th St.,34.018474,-118.2757
1302,MLK Blvd. & Crenshaw Blvd.,34.01084,-118.334823
1303,MLK Blvd. & Degnan Blvd.,34.010847,-118.331632
1304,MLK Blvd. & 9th St.,34.010809,-118.327317
1305,MLK Blvd. & Sutro Ave.,34.010788,-118.323587
1306,MLK Blvd. & 4th Ave.,34.01065,-118.321668
1307,MLK Blvd. & Arlington Ave.,34.010735,-118.318596
1308,MLK Blvd. & Gramercy Pl.,34.010761,-118.313985
1309,MLK Blvd. & St. Andrews  Pl.,34.010789,-118.31149
1310,MLK Blvd. & Western Ave.,34.010779,-118.308598
1311,MLK Blvd. & Denker Ave.,34.010775,-118.304732
1312,MLK Blvd. & Halldale Ave.,34.010736,-118.302491
1313,MLK Blvd. & Nomandie Ave.,34.010691,-118.300465
1314,MLK Blvd. & Budlong Ave.,34.010763,-118.295564
1318,Vernon Ave. & Kansas Ave.,34.003743,-118.294019
1319,Vernon Ave. & Budlong Ave.,34.00376,-118.295738
1320,Vernon Ave. & Raymond Ave.,34.003777,-118.297944
1321,Vernon Ave. & Normandie Ave.,34.003741,-118.299928
1322,Vernon Ave. & Halldale Ave.,34.003771,-118.30222
1323,Denker Ave. & Vernon Ave.,34.003401,-118.304607
1324,Denker Ave. & 46th St.,34.001711,-118.304604
1325,Denker Ave. & 48th St.,33.999879,-118.30463
1326,Denker Ave. & 50th St.,33.998353,-118.304611
1327,Denker Ave. & 52nd St.,33.995191,-118.304607
1328,Denker Ave. & 54th St.,33.993396,-118.304655
1330,54th St. & Ruthelen St.,33.993298,-118.312483
