shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2964250742505,34.0592237604923,-118.236925899982,0,0
2964250742505,34.0581260357264,-118.237116336823,1,405.0322
2964250742505,34.056730527038,-118.23744893074,2,924.5424
2964250742505,34.0564638667122,-118.237513303757,3,1023.8607
2964250742505,34.0565216431873,-118.238116800785,4,1207.6822
2964250742505,34.0564638667122,-118.238285779953,5,1262.9943
2964250742505,34.0563127588219,-118.238371610641,6,1323.9869
2964250742505,34.0555838816854,-118.238993883133,7,1650.0482
2964250742505,34.0548105539687,-118.239659070969,8,1996.8654
2964250742505,34.0547661096327,-118.239787817001,9,2039.069
2964250742505,34.0542772203984,-118.240195512772,10,2256.0937
2964250742505,34.0541749977476,-118.240262567997,11,2298.5867
2964250742505,34.054099441796,-118.24030816555,12,2329.4392
2964250742505,34.0535127697628,-118.24090898037,13,2610.4392
2964250742505,34.0539816632666,-118.241458833218,14,2849.2048
2964250742505,34.0540816639153,-118.241504430771,15,2888.2466
2964250742505,34.0548061095361,-118.242411017418,16,3269.3724
2964250742505,34.0552772180901,-118.242942094803,17,3504.8032
2964250742505,34.0557483240258,-118.24349462986,18,3744.7114
2964250742505,34.0560105422332,-118.24387550354,19,3894.5547
2964250742505,34.0563483136439,-118.24422955513,20,4057.94
2964250742505,34.0565616422624,-118.244476318359,21,4165.8537
2964250742505,34.0574816157796,-118.245565295219,22,4636.4527
2964250742505,34.0582504748759,-118.24646115303,23,5026.7437
2964250742505,34.057997152129,-118.246740102768,24,5151.9776
2964250742505,34.0576816087012,-118.247126340866,25,5316.108
2964250742505,34.057219402123,-118.247619867325,26,5541.4864
2964250742505,34.0566371960194,-118.24815094471,27,5808.0112
2964250742505,34.0561794281068,-118.248435258865,28,5996.0332
2964250742505,34.0558149897487,-118.248730301857,29,6156.3014
2964250742505,34.0555794372933,-118.248944878578,30,6264.0808
2964250742505,34.0549883310798,-118.249427676201,31,6524.7485
2964250742505,34.0547438874559,-118.249695897102,32,6645.4009
2964250742505,34.0542283313199,-118.250221610069,33,6891.8936
2964250742505,34.0541127752041,-118.250318169594,34,6943.225
2964250742505,34.0540683305022,-118.250468373299,35,6991.4871
2964250742505,34.053752772449,-118.250779509544,36,7140.3017
2964250742505,34.0533705456282,-118.251138925552,37,7317.2629
2964250742505,34.0526860886431,-118.251755833626,38,7629.2496
2964250742505,34.0523483026399,-118.252050876617,39,7781.5323
2964250742505,34.0518105089892,-118.25253367424,40,8026.3211
2964250742505,34.0511749302764,-118.253102302551,41,8315.2672
2964250742505,34.0510682592562,-118.253107666969,42,8354.2604
2964250742505,34.0502015522423,-118.2539498806,43,8760.6456
2964250742505,34.0502904456772,-118.254067897797,44,8808.9097
2964250742505,34.0503793390188,-118.254185914993,45,8857.1738
2964250742505,34.0504237856547,-118.254223465919,46,8876.9882
2964250742505,34.0516060576154,-118.25607419014,47,9584.1494
2964250742505,34.0510860377689,-118.256578445435,48,9827.7751
2964250742505,34.050792691833,-118.256873488426,49,9967.2355
2964250742505,34.0501704395181,-118.257468938828,50,10257.259
2964250742505,34.048668125821,-118.258783221245,51,10934.9166
2964250742505,34.0483569924382,-118.25827896595,52,11125.1711
2964250742505,34.0471080026537,-118.256331682205,53,11870.3698
2964250742505,34.0465523963034,-118.255510926247,54,12191.0965
2964250742505,34.0467879738405,-118.255296349525,55,12298.8876
2964250742505,34.047396916517,-118.254733085632,56,12579.0928
2964250742505,34.0478413974615,-118.254309296608,57,12785.9715
2964250742505,34.0480769714174,-118.254094719887,58,12893.7613
2964250742505,34.0491703815871,-118.253096938133,59,13394.397
2964250742505,34.0494859566969,-118.252839446068,60,13533.5193
2964250742505,34.0496148532349,-118.253027200699,61,13607.3039
2964250742505,34.0498326434918,-118.253354430199,62,13734.3162
2964250742505,34.0500015416732,-118.253611922264,63,13833.6962
2964250742505,34.0501437714597,-118.253831863403,64,13918.123
2964250742505,34.0510238129582,-118.253043293953,65,14318.4293
2964250742505,34.0510638146275,-118.252903819084,66,14363.0909
2964250742505,34.0517260617424,-118.252297639847,67,14666.6462
2964250742505,34.0520638502248,-118.251975774765,68,14823.8264
2964250742505,34.0527127559018,-118.2513910532,69,15119.583
2964250742505,34.0531216528185,-118.251047730446,70,15301.5016
2964250742505,34.0537438834727,-118.250430822372,71,15595.5928
2964250742505,34.0539483296908,-118.250237703323,72,15690.4091
2964250742505,34.054032774724,-118.250189423561,73,15724.5356
2964250742505,34.0545261098154,-118.249679803848,74,15961.6912
2964250742505,34.0548016651033,-118.249325752258,75,16108.6788
2964250742505,34.0551527745756,-118.249030709267,76,16264.9281
2964250742505,34.0555883260771,-118.248676657677,77,16456.712
2964250742505,34.0559572097822,-118.248445987701,78,16608.4427
2964250742505,34.0565705309432,-118.248054385185,79,16861.8503
2964250742505,34.0571971805894,-118.24746966362,80,17151.1286
2964250742505,34.0575349472715,-118.247137069702,81,17310.3304
2964250742505,34.0577616057378,-118.246842026711,82,17432.0778
2964250742505,34.0580727046065,-118.246487975121,83,17588.2375
2964250742505,34.0573016217467,-118.245576024055,84,17982.5059
2964250742505,34.0565571979217,-118.244685530663,85,18365.2839
2964250742505,34.0561083183063,-118.244197368622,86,18585.9517
2964250742505,34.0559172104219,-118.24395596981,87,18686.9802
2964250742505,34.0556638807017,-118.243596553802,88,18829.7649
2964250742505,34.0549794422331,-118.242781162262,89,19180.9901
2964250742505,34.054943886837,-118.242738246918,90,19199.3556
2964250742505,34.0545261098154,-118.242244720459,91,19412.8545
