trip_id,route_id,service_id,trip_headsign,block_id,shape_id
641,16,2,Loop,605,12
321,7,1,Loop,116,1
456,11,1,Loop,121,15
64,1,2,Loop,601,10
258,5,1,Loop,113,6
244,4,3,Loop,708,13
91,1,3,Loop,702,10
68,1,2,Loop,602,10
324,7,1,Loop,118,1
518,13,1,Loop,116,7
412,10,1,Loop,120,8
66,1,2,Loop,603,10
137,3,1,Loop,103,0
357,8,1,Loop,116,2
106,2,1,Loop,106,9
535,13,2,Loop,609,20
180,3,2,Loop,602,0
232,4,2,Loop,612,13
644,16,3,Loop,704,12
375,8,2,Loop,610,2
183,3,2,Loop,602,0
37,1,1,Loop,106,10
476,11,1,Loop,117,15
311,7,1,Loop,120,1
659,17,1,Inbound,110,19
353,8,1,Loop,124,2
355,8,1,Loop,120,2
432,10,1,Loop,124,8
275,5,2,Loop,613,6
