route_id,service_id,trip_id,trip_headsign,block_id,shape_id,trip_index,trp_time_end,trp_place_end,trp_place_end_descr,trp_trip_ST,trp_block,trp_operating_days
68-119,20182D-vs20182D-Weekday-12,3432062-20182D-vs20182D-Weekday-12,"68 - Broadway - Portola - SC Metro",588435,680012,4431,13:03:00,scmc,"Santa Cruz Metro Center",0,6804,
40-119,20182D-vs20182D-Weekday-12,3432063-20182D-vs20182D-Weekday-12,"40 - Davenport - North Coast Beaches",588416,400016,4432,08:48:00,scmc,"Santa Cruz Metro Center",0,3503,
41-119,20182D-vs20182D-Weekday-12,3432064-20182D-vs20182D-Weekday-12,"41 - Bonny Doon",588414,410007,4433,09:30:00,scmc,"Santa Cruz Metro Center",0,4101,
68-119,20182D-vs20182D-Weekday-12,3432065-20182D-vs20182D-Weekday-12,"68 - Broadway - Portola - Capitola Mall",588436,680011,4434,11:48:00,cpmal1,"Capitola Mall Lane 1",0,6602,
68-119,20182D-vs20182D-Weekday-12,3432066-20182D-vs20182D-Weekday-12,"68 - Broadway - Portola - SC Metro",588434,680012,4435,14:03:00,scmc,"Santa Cruz Metro Center",0,3508,
68-119,20182D-vs20182D-Weekday-12,3432067-20182D-vs20182D-Weekday-12,"68 - Broadway - Portola - SC Metro",588435,680012,4436,12:00:00,scmc,"Santa Cruz Metro Center",0,6804,
68-119,20182D-vs20182D-Weekday-12,3432068-20182D-vs20182D-Weekday-12,"68 - Broadway - Portola - Capitola Mall",588435,680011,4437,13:48:00,cpmal1,"Capitola Mall Lane 1",0,6804,
68-119,20182D-vs20182D-Weekday-12,3432069-20182D-vs20182D-Weekday-12,"68 - Broadway - Portola - Capitola Mall",588433,680011,4438,12:48:00,cpmal1,"Capitola Mall Lane 1",0,6803,
74S-119,20182D-vs20182D-Weekday-12,3432070-20182D-vs20182D-Weekday-12,"74S - PVHS/Watsonville Hospital",588425,74S0001,4439,08:02:00,wtc,"Watsonville Transit Center",0,7501,
74S-119,20182D-vs20182D-Weekday-12,3432071-20182D-vs20182D-Weekday-12,"74S - PVHS/Watsonville Hospital",588423,74S0002,4440,16:05:00,wtc,"Watsonville Transit Center",0,7201,
69W-119,20182D-vs20182D-Weekday-12,3432072-20182D-vs20182D-Weekday-12,"69W - Cabrillo College-Santa Cruz Metro",588499,69W0008,4441,08:40:00,scmc,"Santa Cruz Metro Center",0,6904,
55-119,20182D-vs20182D-Weekday-12,3432073-20182D-vs20182D-Weekday-12,"55 - Cabrillo / Rio Del Mar",588426,550010,4442,17:30:00,cpmal,"Capitola Mall",0,7202,
55-119,20182D-vs20182D-Weekday-12,3432074-20182D-vs20182D-Weekday-12,"55 - Cabrillo / Rio Del Mar",588435,550010,4443,15:30:00,cpmal,"Capitola Mall",0,6804,
35-119,20182D-vs20182D-Weekday-12,3432075-20182D-vs20182D-Weekday-12,"35 - Santa Cruz Metro via Glen Arbor",588418,350061,4444,12:15:00,scmc,"Santa Cruz Metro Center",0,3505,
35-119,20182D-vs20182D-Weekday-12,3432076-20182D-vs20182D-Weekday-12,"35 - Santa Cruz Metro via Glen Arbor",588422,350061,4445,13:15:00,scmc,"Santa Cruz Metro Center",0,3502,
