route_id,service_id,trip_id,trip_headsign,block_id,shape_id,trip_index,trp_time_end,trp_place_end,trp_place_end_descr,trp_trip_ST,trp_block,trp_operating_days
16-119,20182D-vs20182D-Weekday-12-0101000,3432268-20182D-vs20182D-Weekday-12-0101000,"16 - University via Laurel East",588443,160014,4597,15:35:00,scmc,"Santa Cruz Metro Center",1,1578,Tu/Th
35A-119,20182D-vs20182D-Weekday-12,3432269-20182D-vs20182D-Weekday-12,"35A - Glen Arbor - Country Club",588441,35A0035,4598,20:00:00,cnclb,"Country Club",0,3511,
35-119,20182D-vs20182D-Weekday-12,3432270-20182D-vs20182D-Weekday-12,"35 - Santa Cruz Metro via Glen Arbor",588441,350061,4599,21:15:00,scmc,"Santa Cruz Metro Center",0,3511,
35-119,20182D-vs20182D-Weekday-12,3432274-20182D-vs20182D-Weekday-12,"35 - Santa Cruz Metro",588427,350039,4600,21:35:00,scmc,"Santa Cruz Metro Center",0,3507,
35A-119,20182D-vs20182D-Weekday-12,3432287-20182D-vs20182D-Weekday-12,"35A - Hwy 9 - Mt. Store",588453,35A0033,4601,22:24:00,mtnstr,"Mountain Store",0,3512,
35-119,20182D-vs20182D-Weekday-12,3432294-20182D-vs20182D-Weekday-12,"35 - Santa Cruz Metro",588453,350039,4602,23:35:00,scmc,"Santa Cruz Metro Center",0,3512,
35A-119,20182D-vs20182D-Weekday-12,3432295-20182D-vs20182D-Weekday-12,"35A - Hwy 9 - Mt. Store",588427,35A0033,4603,20:24:00,mtnstr,"Mountain Store",0,3507,
22-119,20182D-vs20182D-Weekday-12,3432296-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588450,220003,4604,08:50:00,mrnlab,"Seymour Center",1,1552,
22-119,20182D-vs20182D-Weekday-12,3432297-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588450,220003,4605,09:50:00,mrnlab,"Seymour Center",1,1552,
22-119,20182D-vs20182D-Weekday-12,3432298-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588450,220003,4606,10:50:00,mrnlab,"Seymour Center",1,1552,
22-119,20182D-vs20182D-Weekday-12,3432299-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588444,220003,4607,11:50:00,mrnlab,"Seymour Center",1,1558,
22-119,20182D-vs20182D-Weekday-12,3432300-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588444,220003,4608,12:50:00,mrnlab,"Seymour Center",1,1558,
