stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,is_trans_ctr,at_trans_ctr,direction
1052,1052,"College Rd & Parker Dr",,  36.933037,-121.734009,,http://scmtd.com/stop/1052,0,,,,0,0,1
1053,1053,"College Rd & Cutter Dr",,  36.934174,-121.738052,,http://scmtd.com/stop/1053,0,,,,0,0,1
1054,1054,"College Rd & E Lake Ave",,  36.935867,-121.742928,,http://scmtd.com/stop/1054,0,,,,0,0,1
1056,1056,"Corralitos Rd (Bradley Elementary)",,  36.975407,-121.806442,,http://scmtd.com/stop/1056,0,,,,0,0,2
1057,1057,"Corralitos Rd & Varni Rd",,  36.968040,-121.807327,,http://scmtd.com/stop/1057,0,,,,0,0,2
1059,1059,"E Beach & Marchant",,  36.912575,-121.753555,,http://scmtd.com/stop/1059,0,,,,0,0,2
1060,1060,"E Beach & Blackburn",,  36.915508,-121.749451,,http://scmtd.com/stop/1060,0,,,,0,0,1
1061,1061,"E Beach & Beck",,  36.916798,-121.747749,,http://scmtd.com/stop/1061,0,,,,0,0,1
1062,1062,"E Beach & Hushbeck Ave",,  36.918560,-121.745316,,http://scmtd.com/stop/1062,0,,,,0,0,1
1064,1064,"E Lake & Sudden",,  36.913342,-121.756165,,http://scmtd.com/stop/1064,0,,,,0,0,1
1069,1069,"E Lake & Martinelli (East Lake Village)",,  36.924847,-121.746262,,http://scmtd.com/stop/1069,0,,,,0,0,2
1070,1070,"E Lake & Martinelli (East Lake Village)",,  36.925247,-121.745865,,http://scmtd.com/stop/1070,0,,,,0,0,1
1077,1077,"Freedom Blvd & Brennan",,  36.916782,-121.760345,,http://scmtd.com/stop/1077,0,,,,0,0,2
1078,1078,"Freedom Blvd & Stanford",,  36.920795,-121.760757,,http://scmtd.com/stop/1078,0,,,,0,0,2
1080,1080,"Freedom Blvd & Atkinson Ln",,  36.929951,-121.767693,,http://scmtd.com/stop/1080,0,,,,0,0,2
1081,1081,"Freedom Blvd & Sydney Ave",,  36.931419,-121.769493,,http://scmtd.com/stop/1081,0,,,,0,0,1
1082,1082,"Freedom Blvd & Blanca Ln",,  36.931553,-121.769249,,http://scmtd.com/stop/1082,0,,,,0,0,2
1083,1083,"Freedom Blvd & Davis Ave",,  36.933136,-121.771362,,http://scmtd.com/stop/1083,0,,,,0,0,1
1084,1084,"Freedom Blvd & Green Valley Rd",,  36.935398,-121.773621,,http://scmtd.com/stop/1084,0,,,,0,0,1
1086,1086,"Freedom Blvd & Airport Blvd (Freedom Centre)",,  36.937725,-121.776543,,http://scmtd.com/stop/1086,0,,,,0,0,1
