shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
DB0073,-122.164294,37.442845,30033,
DB0073,-122.164297,37.442813,30034,
DB0073,-122.1643,37.442771,30035,
DB0073,-122.16431,37.442732,30036,
DB0073,-122.164344,37.442635,30037,
DB0073,-122.164406,37.442506,30038,
DB0073,-122.164423,37.442474,30039,
DB0073,-122.164479,37.442381,30040,
DB0073,-122.164523,37.442322,30041,
DB0073,-122.164551,37.442294,30042,
DB0073,-122.164603,37.442257,30043,
DB0073,-122.164663,37.442236,30044,
DB0073,-122.164717,37.442222,30045,
DB0073,-122.164803,37.442227,30046,
DB0073,-122.164858,37.442234,30047,
DB0073,-122.164907,37.442251,30048,
DB0073,-122.164929,37.442264,30049,
DB0073,-122.164995,37.442317,30050,
DB0073,-122.16497,37.442356,30051,
DB0073,-122.164868,37.442495,30052,
DB0073,-122.1648384,37.4425307,30053,
DB0073,-122.164712,37.442683,30054,
DB0073,-122.164503,37.442921,30055,
DB0073,-122.164424,37.443004,30056,
DB0073,-122.164344,37.443081,30057,
DB0073,-122.164271,37.443156,30058,
DB0073,-122.164146,37.443288,30059,
DB0073,-122.164065,37.443365,30060,
DB0073,-122.164024,37.443406,30061,
DB0073,-122.163985,37.443447,30062,
DB0073,-122.163934,37.443499,30063,
DB0073,-122.163867,37.443544,30064,
DB0073,-122.163821,37.443563,30065,
DB0073,-122.163776,37.44357,30066,
DB0073,-122.163733,37.44356,30067,
DB0073,-122.163701,37.44354,30068,
DB0073,-122.163678,37.443513,30069,
DB0073,-122.163668,37.443478,30070,
DB0073,-122.163673,37.44344,30071,
DB0073,-122.163693,37.443396,30072,
DB0073,-122.163731,37.443332,30073,
DB0073,-122.163825,37.443189,30074,
DB0073,-122.163907,37.443205,30075,
DB0073,-122.163945,37.443212,30076,
DB0073,-122.164039,37.44324,30077,
DB0073,-122.164124,37.443277,30078,
DB0073,-122.164146,37.443288,30079,
DB0073,-122.164184,37.44331,30080,
DB0073,-122.164223,37.443336,30081,
DB0073,-122.164268,37.443377,30082,
DB0073,-122.164333,37.443446,30083,
DB0073,-122.164395,37.443536,30084,
DB0073,-122.164423,37.443579,30085,
DB0073,-122.164475,37.443663,30086,
DB0073,-122.164533,37.44375,30087,
DB0073,-122.164603,37.443831,30088,
DB0073,-122.164697,37.443914,30089,
DB0073,-122.164743,37.443945,30090,
DB0073,-122.165293,37.444284,30091,
DB0073,-122.164617,37.44489,30092,
DB0073,-122.164306,37.445236,30093,
DB0073,-122.164054,37.445487,30094,
DB0073,-122.16378,37.445762,30095,
DB0073,-122.163434,37.446079,30096,
DB0073,-122.1632205,37.4463082,30097,
DB0073,-122.1632205,37.4463082,40001,
DB0073,-122.162849,37.446707,40002,
DB0073,-122.162259,37.4473,40003,
DB0073,-122.161675,37.44792,40004,
DB0073,-122.1611492,37.4484537,40005,
DB0073,-122.1611492,37.4484537,50001,
DB0073,-122.161076,37.448528,50002,
DB0073,-122.160481,37.449135,50003,
DB0073,-122.1603024,37.4493058,50004,
DB0073,-122.1603024,37.4493058,60001,
DB0073,-122.159861,37.449728,60002,
DB0073,-122.159498,37.450093,60003,
DB0073,-122.159294,37.450321,60004,
DB0073,-122.158693,37.450929,60005,
DB0073,-122.158071,37.451536,60006,
DB0073,-122.1583095,37.4516854,60007,
DB0073,-122.1583095,37.4516854,70001,
DB0073,-122.1587,37.45193,70002,
DB0073,-122.159083,37.452183,70003,
