stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00547,,"7th St and Valley Blvd S",,  34.034565,-117.975066,,,0,
00548,,"7th St and Valley Blvd W",,  34.034378,-117.974928,,,0,
00549,,"Aliso St and Los Angeles St E",,  34.054884,-118.239690,,,0,
00553,,"Amar Rd and Amber Valley Dr E",,  34.030068,-117.888884,,,0,
00554,,"Amar Rd and Amber Valley Dr W",,  34.029862,-117.889478,,,0,
00555,,"Amar Rd and Azusa Ave E",,  34.030536,-117.913323,,,0,
00556,,"Amar Rd and Azusa Ave W",,  34.031826,-117.915183,,,0,
00560,,"Amar Rd and Braes River Dr E",,  34.034661,-117.879042,,,0,
00561,,"Amar Rd and Braes River Dr W",,  34.034799,-117.879339,,,0,
00563,,"Amar Rd and Countryside Dr W",,  34.036673,-117.869395,,,0,
00565,,"Amar Rd and California Ave E",,  34.041878,-117.958629,,,0,
00566,,"Amar Rd and Countryside Dr W",,  34.036478,-117.869329,,,0,
00567,,"Amar Rd and Creekside Dr E",,  34.033005,-117.885263,,,0,
00568,,"Amar Rd and Creekside Dr W",,  34.033098,-117.885527,,,0,
00569,,"Amar Rd and Del Valle Ave E",,  34.036607,-117.943554,,,0,
00570,,"Amar Rd and Del Valle Ave W",,  34.036843,-117.943580,,,0,
00571,,"Amar Rd and Echelon Ave E",,  34.036075,-117.934276,,,0,
00572,,"Amar Rd and Echelon Ave W",,  34.036292,-117.934900,,,0,
00576,,"Amar Rd and Mt. SAC Way W",,  34.043869,-117.845314,,,0,
00577,,"Amar Rd and Greycliff Ave E",,  34.036200,-117.937445,,,0,
00578,,"Amar Rd and Greycliff Ave W",,  34.036492,-117.938349,,,0,
00579,,"Amar Rd and Hacienda Blvd E",,  34.037005,-117.949551,,,0,
00580,,"Amar Rd and Hacienda Blvd W",,  34.037311,-117.950459,,,0,
00581,,"Amar Rd and Heidleburg Ave E",,  34.039646,-117.854936,,,0,
00582,,"Amar Rd and Heidleburg Ave W",,  34.039817,-117.855087,,,0,
00583,,"Amar Rd and Indian Summer Ave E",,  34.035855,-117.929926,,,0,
00584,,"Amar Rd and Indian Summer Ave W",,  34.036072,-117.929929,,,0,
00587,,"Amar Rd and Meadow Pass Dr  E",,  34.037918,-117.859319,,,0,
00591,,"Amar Rd and Nogales Ave E",,  34.027597,-117.895138,,,0,
00593,,"Amar Rd and Orange Ave E",,  34.048550,-117.967717,,,0,
00594,,"Amar Rd and Orange Ave W",,  34.049116,-117.968080,,,0,
00595,,"Amar Rd and Puente Ave E",,  34.054548,-117.978365,,,0,
00596,,"Amar Rd and Puente Ave W",,  34.054438,-117.977764,,,0,
00598,,"Amar Rd and Shadow Oak Dr E",,  34.026235,-117.902602,,,0,
00599,,"Amar Rd and Shadow Oak Dr W",,  34.026483,-117.903436,,,0,
00600,,"Amar Rd and Sunkist Ave W",,  34.050499,-117.969961,,,0,
00601,,"Amar Rd and Sunset Ave E",,  34.044982,-117.962843,,,0,
00602,,"Amar Rd and Sunset Ave W",,  34.045152,-117.962681,,,0,
00603,,"Amar Rd and Temple Ave E",,  34.029212,-117.910298,,,0,
00604,,"Amar Rd and Temple Ave W",,  34.029547,-117.910347,,,0,
00605,,"Amar Rd and Tonopah Ave E",,  34.046829,-117.965364,,,0,
00606,,"Amar Rd and Tonopah Ave W",,  34.047310,-117.965615,,,0,
00607,,"Amar Rd and Unruh Ave E",,  34.038422,-117.953934,,,0,
00608,,"Amar Rd and Unruh Ave W",,  34.038705,-117.953930,,,0,
00609,,"Amar Rd and Valinda Ave E",,  34.035595,-117.925920,,,0,
00610,,"Amar Rd and Valinda Ave W",,  34.035806,-117.925857,,,0,
00611,,"Amar Rd and Vineland Ave E",,  34.057830,-117.983227,,,0,
00612,,"Amar Rd and Vineland Ave W",,  34.057786,-117.982762,,,0,
00614,,"Amar Rd and Westport St E",,  34.027115,-117.906340,,,0,
00615,,"Amar Rd and Westport St W",,  34.027701,-117.906834,,,0,
00616,,"Amar Rd and Willow Ave E",,  34.052338,-117.972849,,,0,
00617,,"Amar Rd and Willow Ave W",,  34.052274,-117.972377,,,0,
00618,,"Arcadia and Los Angeles St W",,  34.055250,-118.239047,,,0,
00624,,"Arrow Hwy and Ayon Ave E",,  34.106882,-117.930435,,,0,
00625,,"Arrow Hwy and Morada St W",,  34.107070,-117.928682,,,0,
00626,,"Arrow Hwy and Azusa Ave E",,  34.106713,-117.906749,,,0,
00627,,"Arrow Hwy and Azusa Ave W",,  34.106867,-117.908183,,,0,
00628,,"Arrow Hwy and Azusa Canyon Rd E",,  34.106982,-117.942638,,,0,
00629,,"Arrow Hwy and Santa Fe Dam W",,  34.107172,-117.942800,,,0,
00630,,"Arrow Hwy and Barranca Ave E",,  34.106476,-117.881062,,,0,
00631,,"Arrow Hwy and Barranca Ave W",,  34.106704,-117.881197,,,0,
00635,,"Arrow Hwy and Bonnie Cove Ave N",,  34.106569,-117.855698,,,0,
00636,,"Arrow Hwy and Bonnie Cove Ave S",,  34.106780,-117.855566,,,0,
00638,,"Arrow Hwy and Cambridge Ave W",,  34.090458,-117.728152,,,0,
00639,,"Arrow Hwy and Cerritos Ave W",,  34.106885,-117.898610,,,0,
00641,,"Arrow Hwy and Citrus Ave E",,  34.106718,-117.890685,,,0,
00642,,"Arrow Hwy and Citrus Ave W",,  34.106913,-117.890711,,,0,
00643,,"Arrow Hwy and Claremont Blvd N",,  34.092581,-117.706452,,,0,
00644,,"Arrow Hwy and Claremont Blvd E",,  34.092582,-117.706640,,,0,
00645,,"Arrow Hwy and Clydebank Ave E",,  34.106948,-117.920597,,,0,
00646,,"Arrow Hwy and Clydebank Ave W",,  34.107140,-117.920072,,,0,
00649,,"Arrow Hwy and Enid St E",,  34.106968,-117.914334,,,0,
00650,,"Arrow Hwy and Enid St W",,  34.107125,-117.914046,,,0,
00653,,"Arrow Hwy and Fair Ave E",,  34.091383,-117.760226,,,0,
00654,,"Arrow Hwy and Fair Ave W",,  34.091653,-117.760226,,,0,
00655,,"Arrow Hwy and Fairvalley Ave  E",,  34.106667,-117.885238,,,0,
00656,,"Arrow Hwy and Fairvalley Ave  W",,  34.106851,-117.885587,,,0,
00663,,"Arrow Hwy and Garey Ave E",,  34.089918,-117.748833,,,0,
00664,,"Arrow Hwy and Garey Ave W",,  34.090105,-117.748878,,,0,
00665,,"Arrow Hwy and Gayhurst Ave E",,  34.106927,-117.948637,,,0,
00666,,"Arrow Hwy and Gayhurst Ave W",,  34.107106,-117.949307,,,0,
00667,,"Arrow Hwy and Glendora Ave E",,  34.106590,-117.864059,,,0,
00669,,"Arrow Hwy and Glendora Ave W",,  34.106768,-117.864194,,,0,
00670,,"Arrow Hwy and Grand Ave E",,  34.106041,-117.872910,,,0,
00671,,"Arrow Hwy and Grand Ave W",,  34.106261,-117.873085,,,0,
00674,,"Arrow Hwy and Heintz St E",,  34.106890,-117.952515,,,0,
00675,,"Arrow Hwy and Heintz St W",,  34.107066,-117.953189,,,0,
00676,,"Arrow Hwy and Hollenbeck Ave E",,  34.106695,-117.898511,,,0,
00677,,"Arrow Hwy and Indian Hill Blvd W",,  34.090574,-117.719759,,,0,
00678,,"Arrow Hwy and Irwindale Ave E",,  34.106895,-117.933742,,,0,
00679,,"Arrow Hwy and Irwindale Ave W",,  34.107096,-117.933923,,,0,
00680,,"Arrow Hwy and Lark Ellen Ave E",,  34.107003,-117.916283,,,0,
00681,,"Arrow Hwy and Lark Ellen Ave W",,  34.107187,-117.916355,,,0,
00682,,"Arrow Hwy and Lone Hill Ave E",,  34.106588,-117.828481,,,0,
00683,,"Arrow Hwy and Lone Hill Ave W",,  34.106814,-117.828461,,,0,
00685,,"Arrow Hwy and Lyman Ave N",,  34.106570,-117.849964,,,0,
00686,,"Arrow Hwy and Lyman Ave S",,  34.106804,-117.852167,,,0,
