timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
50,1714,0,20170101,20190101,1,1,1,1,1,1,1,Canyon Line,Year Round Schedule (All days of week),Inbound,horizontal
51,1714,1,20170101,20190101,1,1,1,1,1,1,1,Canyon Line,Year Round Schedule (All days of week),Outbound,horizontal
52,2118,0,20171226,20190101,1,1,1,1,1,1,1,Costa Mesa/South Coast Plaza Line,Line 22 Year Round (All days of week),Northbound,horizontal
53,2118,1,20171226,20190101,1,1,1,1,1,1,1,Costa Mesa/South Coast Plaza Line,Line 22 Year Round (All days of week),Southbound,horizontal
54,2118,,20171226,20190101,1,1,1,1,1,1,1,Costa Mesa/South Coast Plaza Line,Line 22 Year Round (All days of week),,horizontal
55,1705,,20171223,20171230,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8-12 (All days of week),,horizontal
56,1705,,20171231,20171231,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8 - 2 (All days of week),,horizontal
57,1705,,20180101,20180101,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 9-11 (All days of week),,horizontal
58,1705,,20180102,20180107,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8-12 (All days of week),,horizontal
59,1705,,20180108,20180111,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 9-9 (All days of week),,horizontal
60,1705,,20180112,20180112,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 9-12 (All days of week),,horizontal
61,1705,,20180113,20180114,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8-12 (All days of week),,horizontal
62,1705,,20180115,20180115,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8-11 (All days of week),,horizontal
63,1705,,20180116,20180117,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 10-9 (All days of week),,horizontal
64,1705,,20180118,20180118,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 10-8 (All days of week),,horizontal
65,1705,,20180119,20180119,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 9-11 (All days of week),,horizontal
66,1705,,20180120,20180121,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8-12 (All days of week),,horizontal
67,1705,,20180122,20180124,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 10-9 (All days of week),,horizontal
68,1705,,20180125,20180125,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 9-9 (All days of week),,horizontal
69,1705,,20180126,20180128,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8-12 (All days of week),,horizontal
70,1705,,20180129,20180131,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 10-9 (All days of week),,horizontal
71,1716,,20171223,20171230,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 8-12 (All days of week),,horizontal
72,1716,,20171231,20171231,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 8 - 2 (All days of week),,horizontal
73,1716,,20180101,20180101,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 9-11 (All days of week),,horizontal
74,1716,,20180102,20180107,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 8-12 (All days of week),,horizontal
75,1716,,20180108,20180111,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 9-9 (All days of week),,horizontal
76,1716,,20180112,20180112,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 9-12 (All days of week),,horizontal
77,1716,,20180113,20180114,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 8-12 (All days of week),,horizontal
78,1716,,20180115,20180115,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 8-11 (All days of week),,horizontal
79,1716,,20180116,20180117,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 10-9 (All days of week),,horizontal
80,1716,,20180118,20180118,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 10-8 (All days of week),,horizontal
81,1716,,20180119,20180119,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 9-11 (All days of week),,horizontal
82,1716,,20180120,20180121,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 8-12 (All days of week),,horizontal
83,1716,,20180122,20180124,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 10-9 (All days of week),,horizontal
84,1716,,20180125,20180125,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 9-9 (All days of week),,horizontal
85,1716,,20180126,20180128,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 8-12 (All days of week),,horizontal
86,1716,,20180129,20180131,1,1,1,1,1,1,1,Extension of Canyon Line,Disney Hours 10-9 (All days of week),,horizontal
87,1698,,20171223,20171230,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 8-12 (All days of week),,horizontal
88,1699,,20171223,20171230,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 8-12 (All days of week),,horizontal
89,1700,,20171223,20171230,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 8-12 (All days of week),,horizontal
90,1698,,20171231,20171231,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 8 - 2 (All days of week),,horizontal
91,1699,,20171231,20171231,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 8 - 2 (All days of week),,horizontal
92,1700,,20171231,20171231,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 8 - 2 (All days of week),,horizontal
93,1698,,20180101,20180101,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 9-11 (All days of week),,horizontal
94,1699,,20180101,20180101,1,1,1,1,1,1,1,Grand Plaza Line,Disney Hours 9-11 (All days of week),,horizontal
