timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
1,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
1,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
1,780803,4,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
2,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
2,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
2,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
2,780803,4,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
3,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
3,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
3,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
3,780803,4,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
4,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
4,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
4,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
4,780803,4,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
5,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
5,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
5,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
5,780803,4,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
6,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
6,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
6,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
6,780803,4,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
7,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
7,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
7,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
7,780803,4,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
8,780803,1,Disneyland Main Transportation Center,14/ALO/Ayres Orange Line
8,778180,2,ALO Hotel,14/ALO/Ayres Orange Line
8,778213,3,Convention Way N/B,"14/ALO/Ayres Orange Line, 16/Orange Line, 1/Harbor Blvd. Line, 2/Harbor Blvd. Line, 3/Grand Plaza Line"
