route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"200",1,"200","Martinez / Pittsburg",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=200"
"201",1,"201","Pittsburg / Concord BART",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=201"
"300",1,"300","Express BART / Brentwood",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=300"
"379",1,"379","Antioch Deer Valley",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=379"
"380",1,"380","Pittsburg BART / Antioch",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=380"
"381",1,"381","Los Medanos College / Pittsburg Marina",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=381"
"383",1,"383","Antioch / Oakley",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=383"
"385",1,"385","Antioch / Brentwood",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=385"
"386",1,"386","Brentwood / Disc. Bay",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=386"
"387",1,"387","Pittsburg BART / Antioch",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=387"
"388",1,"388","Pittsburg BART / Kaiser Deer Valley",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=388"
"389",1,"389","Pittsburg BART / Bay Point",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=389"
"390",1,"390","Pittsburg BART / Antioch",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=390"
"391",1,"391","Pittsburg BART / Brentwood",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=391"
"392",1,"392","Weekend BART / Antioch",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=392"
"393",1,"393","Weekend Bay Point / Brentwood",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=393"
"394",1,"394","Weekend BART / Antioch",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=394"
"395",1,"395","Weekend Antioch / Brentwood",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=395"
