stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_id,ext_userfield1
256,,Thompson Avenue at East Branch Street NB,,35.04405100,-120.47701800,nipomo,,0,,0,,,,
264,,Thompson Avenue at Highway 101 NB,,35.07189200,-120.51351800,nipomo,,0,,0,,,,
265,,Thompson Avenue at Highway 101 SB,,35.07164800,-120.51313800,nipomo,,0,,0,,,,
261,,Thompson Avenue at West Branch Street SB,,35.04381800,-120.47715000,nipomo,,0,,0,,,,
150,,Town Center Driver/Walmart Shopping Center,,35.12819400,-120.59652900,pisgrov,,0,,0,,,,
110,,Traffic Way @ Nelson Street,,35.12113400,-120.57766000,pisgrov,,0,,0,,,,
prC_TCH.,,Twin Cities Hospital,,35.55486133,-120.72000353,temparo,,0,,0,,,,
227,,Viejo Camino at Bocina Lane NB,,35.45451543,-120.63772020,smatas,,0,,0,,,,
241,,Viejo Camino at Bocina Lane SB,,35.45434282,-120.63774700,smatas,,0,,0,,,,
076,,Viejo Camino at El Camino Real NB,,35.44098124,-120.62899770,smatas,,0,,0,,,,
229,,Viejo Camino at El Camino Real SB,,35.44110361,-120.62912910,smatas,,0,,0,,,,
231,,Viejo Camino at Santa Barbara Road NB,,35.45034441,-120.63296470,smatas,,0,,0,,,,
230,,Viejo Camino at Santa Barbara Road SB,,35.44968455,-120.63264820,smatas,,0,,0,,,,
046,,Vons Center,,35.48496229,-120.66299200,smatas,,0,,0,,,3517,
151,,West Branch @ South County Library NB,,35.12390000,-120.59029800,pisgrov,,0,,0,,,,
600,,West Branch St @ Vernon St,,35.12247900,-120.58503000,pisgrov,,0,,0,,,,
103,,West Grand Avenue @ 13th Street EB,,35.12117700,-120.61584300,pisgrov,,0,,0,,,,
120,,West Grand Avenue @ 13th Street WB,,35.12139100,-120.61557100,pisgrov,,0,,0,,,,
104,,West Grand Avenue @ 16th Street EB,,35.12097900,-120.61202100,pisgrov,,0,,0,,,,
119,,West Grand Avenue @ 16th Street WB,,35.12121600,-120.61182600,pisgrov,,0,,0,,,,
122,,West Grand Avenue @ 2nd Street WB,,35.12203300,-120.62859700,pisgrov,,0,,0,,,,
100,,West Grand Avenue @ 3rd Street EB,,35.12172400,-120.62743100,pisgrov,,0,,0,,,,
121,,West Grand Avenue @ 6th Street WB,,35.12179100,-120.62381300,pisgrov,,0,,0,,,,
101,,West Grand Avenue @ 7th Street EB,,35.12153474,-120.62289691,pisgrov,,0,,0,,,,
105,,West Grand Avenue @ Oak Park Boulevard EB,,35.12080300,-120.60834200,pisgrov,,0,,0,,,,
10522652,,Wilmar at 13th St. (WB),,35.10416046,-120.61542989,pisgrov,,0,,0,,,,
10522647,,Wilmar at 19th (EB),,35.10406902,-120.61092764,pisgrov,,0,,0,,,,
a120,,Woodstone Market,,35.18899626,-120.71888924,avila,,0,,0,,,,
pr_ysabel,,Ysabel St. (at Starbucks),,35.64196309,-120.68741620,temparo,,0,,0,,,,
